site,roi_panel,n_folds,n_folds_at_epoch_ceiling,pct_at_epoch_ceiling,min_n_epochs,run_id,predictions_sha256
NYU,12,50,50,100.0,300,NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,b4af0f109c6f9c156a00699b78c239ca32a25ac7810e93d41ce35fefbd0e2963
Peking,12,50,49,98.0,31,Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,a82502af96a13e00dca79c189fc686c49631645ff0afedcab2ef9ca21d0620b1
NeuroIMAGE,12,50,44,88.0,26,NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,72058547e68803bc05fe1ba6b8eb5d639e5471e336a9742b90d50bb87888e876
OHSU,12,50,49,98.0,27,OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,a0fe3b52e10e168af48f403d9edca2d6e9cd3e085a842199a382abd921f4ca37
NYU,18,50,50,100.0,300,NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,046ef3b28a8d68099382e9c6a98c6c73571bf5563c0e4ac222be4b4b0245d58e
Peking,18,50,50,100.0,300,Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,f5a8cceffaa5c849886201c105696282f65b270af31c50bd447a33ce2486ae01
NeuroIMAGE,18,50,48,96.0,44,NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,bde017fa6064a9137ab3d51fe79d9315756e6730a38ff105a7efcb753023b736
OHSU,18,50,47,94.0,27,OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,e09bd14969c9390db4a1590ff0615b9e3e3654db83deca17b978ef6ce3cec07b
NYU,39,50,44,88.0,220,NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,bd00c4b1de7016748bade5198c18c4214577ab6cab4e7c0af8aa5f5e575393f8
Peking,39,50,47,94.0,139,Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,b055ba080efbd57e86bf469dd509b32fc26ca45847e2a7735ca022a0aafec524
NeuroIMAGE,39,50,31,62.0,26,NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,e37184eba3d5e7eaf08794cd9eefbacb22e485ac4939a67e16a5dbdf9e5acb44
OHSU,39,50,41,82.0,26,OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,09a1044a6994f0880e9dcfd75e9b8103d39f839618dbb3d74a195609f8ab474f
NYU,116,50,28,56.0,44,NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,2bea2332dc9cb5e8f51642c8ad94e38bd6c21ae3ab1d13d4fee4b37b66f8c73c
Peking,116,50,43,86.0,71,Peking_rois116_w60s6_brainnetcnn_240732d1,83a571c8dfaed651d59346727b60aacaa23113f03082fb3977c1738f31ab4b51
NeuroIMAGE,116,50,20,40.0,26,NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,6f502d254ddbf7e29172171a9b8d7c41e1311be43e083821958ad74044620f1a
OHSU,116,50,19,38.0,33,OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,9292cd33083cc52eaba938bc0b0f56a60cd8cc127db8bfc8b7733ff9d4d2444f
