contrast,held_out_site,condition_a,condition_b,delta_point,delta_ci_low,delta_ci_high
dimensionality,NYU,brainnetcnn_116,brainnetcnn_12,-0.0302681992337164,-0.1104252873563217,0.0486609195402298
dimensionality,Peking,brainnetcnn_116,brainnetcnn_12,-0.0439871063724275,-0.1115552938259361,0.0276996032729979
dimensionality,NeuroIMAGE,brainnetcnn_116,brainnetcnn_12,-0.1326203208556149,-0.3032219251336898,0.0465240641711229
dimensionality,OHSU,brainnetcnn_116,brainnetcnn_12,-0.1349624060150376,-0.2855263157894737,0.018796992481203
model_family_at_12,NYU,logreg_12,brainnetcnn_12,-0.0156577266922096,-0.1097330779054917,0.075198595146871
model_family_at_12,Peking,logreg_12,brainnetcnn_12,-0.0338457723778825,-0.1001531118274238,0.0329308207289858
model_family_at_12,NeuroIMAGE,logreg_12,brainnetcnn_12,0.0058823529411764,-0.1706016042780749,0.1796791443850266
model_family_at_12,OHSU,logreg_12,brainnetcnn_12,-0.0981203007518797,-0.2178618421052631,0.0169172932330827
model_family_at_116,NYU,logreg_116,brainnetcnn_116,0.0111621966794378,-0.0413295019157088,0.0642158365261813
model_family_at_116,Peking,logreg_116,brainnetcnn_116,0.0243987106372427,-0.0377640714108604,0.0865360773617653
model_family_at_116,NeuroIMAGE,logreg_116,brainnetcnn_116,0.071657754010695,-0.0679278074866309,0.2112433155080212
model_family_at_116,OHSU,logreg_116,brainnetcnn_116,-0.0524436090225563,-0.1387265037593984,0.0308317669172931
