held_out_site,roi_set,model,model_seed,run_id,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
NYU,116,brainnetcnn,42.0,loso_static_v1_holdout-NYU_roi-116_brainnetcnn_seed-42_ffcb20e1,0.7040210415354464,0.559322033898305,0.5614942528735632,0.5909090909090909,0.4333333333333333,0.6896551724137931,0.5,0.553030303030303,0.5701149425287356,39.0,60.0,27.0,51.0
NYU,116,brainnetcnn,43.0,loso_static_v1_holdout-NYU_roi-116_brainnetcnn_seed-43_ae4d0ccb,0.8210178131378876,0.576271186440678,0.5766283524904214,0.5882352941176471,0.5555555555555556,0.5977011494252874,0.5714285714285714,0.5762170790103751,0.567816091954023,50.0,52.0,35.0,40.0
NYU,116,brainnetcnn,44.0,loso_static_v1_holdout-NYU_roi-116_brainnetcnn_seed-44_c45c1bf5,0.8270913942688095,0.5141242937853108,0.5189655172413793,0.5526315789473685,0.2333333333333333,0.8045977011494253,0.328125,0.4737970132743362,0.5634738186462324,21.0,70.0,17.0,69.0
NYU,116,brainnetcnn,45.0,loso_static_v1_holdout-NYU_roi-116_brainnetcnn_seed-45_a149bc34,0.7489407967183962,0.5254237288135594,0.5258620689655172,0.5357142857142857,0.5,0.5517241379310345,0.5172413793103449,0.5252873563218391,0.5219667943805876,45.0,48.0,39.0,45.0
NYU,116,brainnetcnn,46.0,loso_static_v1_holdout-NYU_roi-116_brainnetcnn_seed-46_cce028a4,0.9006173143342889,0.519774011299435,0.525095785440613,0.5757575757575758,0.2111111111111111,0.8390804597701149,0.3089430894308943,0.4704888607327632,0.5037037037037038,19.0,73.0,14.0,71.0
NYU,116,logreg,,loso_static_v1_holdout-NYU_roi-116_logreg_seed-deterministic_20f4ca6d,1.6788300210299636,0.5480225988700564,0.5503831417624521,0.578125,0.4111111111111111,0.6896551724137931,0.4805194805194805,0.5402597402597402,0.5565772669220944,37.0,60.0,27.0,53.0
NYU,12,brainnetcnn,42.0,loso_static_v1_holdout-NYU_roi-12_brainnetcnn_seed-42_3e255d4b,0.7045375295765272,0.4858757062146893,0.4942528735632184,0.0,0.0,0.9885057471264368,0.0,0.3269961977186312,0.5466155810983397,0.0,86.0,1.0,90.0
NYU,12,brainnetcnn,43.0,loso_static_v1_holdout-NYU_roi-12_brainnetcnn_seed-43_09a85c15,0.6832169520170364,0.5310734463276836,0.5386973180076629,0.8888888888888888,0.0888888888888888,0.9885057471264368,0.1616161616161616,0.4180629827688651,0.6490421455938697,8.0,86.0,1.0,82.0
NYU,12,brainnetcnn,44.0,loso_static_v1_holdout-NYU_roi-12_brainnetcnn_seed-44_7537a829,0.7000685392507888,0.4858757062146893,0.4942528735632184,0.0,0.0,0.9885057471264368,0.0,0.3269961977186312,0.5355044699872287,0.0,86.0,1.0,90.0
NYU,12,brainnetcnn,45.0,loso_static_v1_holdout-NYU_roi-12_brainnetcnn_seed-45_2b3f1b3c,0.6848730806810979,0.5423728813559322,0.5398467432950191,0.5391304347826087,0.6888888888888889,0.3908045977011494,0.6048780487804878,0.5306269438533311,0.5662835249042146,62.0,34.0,53.0,28.0
