contrast,held_out_site,condition_a,condition_b,delta_point,delta_ci_low,delta_ci_high
dimensionality,NYU,brainnetcnn_116,brainnetcnn_12,-0.030268199233716486,-0.11042528735632172,0.048660919540229865
dimensionality,Peking,brainnetcnn_116,brainnetcnn_12,-0.04398710637242753,-0.11155529382593617,0.027699603272997912
dimensionality,NeuroIMAGE,brainnetcnn_116,brainnetcnn_12,-0.13262032085561493,-0.3032219251336898,0.04652406417112298
dimensionality,OHSU,brainnetcnn_116,brainnetcnn_12,-0.13496240601503767,-0.28552631578947374,0.018796992481203034
model_family_at_12,NYU,logreg_12,brainnetcnn_12,-0.01565772669220966,-0.1097330779054917,0.075198595146871
model_family_at_12,Peking,logreg_12,brainnetcnn_12,-0.033845772377882555,-0.1001531118274238,0.03293082072898583
model_family_at_12,NeuroIMAGE,logreg_12,brainnetcnn_12,0.00588235294117645,-0.17060160427807491,0.17967914438502663
model_family_at_12,OHSU,logreg_12,brainnetcnn_12,-0.09812030075187972,-0.2178618421052631,0.016917293233082775
model_family_at_116,NYU,logreg_116,brainnetcnn_116,0.011162196679437852,-0.041329501915708826,0.06421583652618133
model_family_at_116,Peking,logreg_116,brainnetcnn_116,0.02439871063724275,-0.037764071410860425,0.08653607736176538
model_family_at_116,NeuroIMAGE,logreg_116,brainnetcnn_116,0.07165775401069507,-0.06792780748663091,0.21124331550802125
model_family_at_116,OHSU,logreg_116,brainnetcnn_116,-0.05244360902255635,-0.13872650375939846,0.030831766917293103
