held_out_site,roi_set,model,auc_point,auc_ci_low,auc_ci_high,seed_sd,seed_min,seed_max,balanced_accuracy_point,balanced_accuracy_seed_sd,f1_macro_point,f1_macro_seed_sd,sensitivity_point,sensitivity_seed_sd,specificity_point,specificity_seed_sd
NYU,12,brainnetcnn,0.575683269476373,0.5085561941251596,0.6418914431673052,0.04460129615871455,0.5355044699872287,0.6490421455938697,0.5155938697318008,0.02266438168986894,0.3930732892891421,0.08544202430377155,0.1622222222222222,0.2966479394838265,0.8689655172413794,0.2673000800689404
NYU,12,logreg,0.5600255427841634,0.47164431673052365,0.6463601532567049,,,,0.5473180076628352,,0.5468509984639017,,0.5888888888888889,,0.5057471264367817,
NYU,116,brainnetcnn,0.5454150702426566,0.48127650063856964,0.6075357598978289,0.030527313990981665,0.5037037037037038,0.5701149425287356,0.5416091954022988,0.025764111347143785,0.5197641224739233,0.04707735052677013,0.38666666666666666,0.1564261352922495,0.6965517241379311,0.12528208361782722
NYU,116,logreg,0.5565772669220944,0.47011494252873565,0.6390836526181354,,,,0.5503831417624521,,0.5402597402597402,,0.4111111111111111,,0.6896551724137931,
Peking,12,brainnetcnn,0.5622365484750806,0.48616290602529133,0.635234316885693,0.023502262405287265,0.5428961071162907,0.5928589139598314,0.514009422266303,0.012954578038528947,0.48202153944529347,0.04437074577763777,0.37297297297297294,0.24652441623765148,0.6550458715596331,0.24338742351670625
Peking,12,logreg,0.5283907760971981,0.4406118274237541,0.6151748078353583,,,,0.5269650384329283,,0.5200995850622407,,0.3108108108108108,,0.7431192660550459,
Peking,116,brainnetcnn,0.5182494421026531,0.4582389040416564,0.5787013389536325,0.02779321368183344,0.47694024299528887,0.5504587155963303,0.5262087775849243,0.036562615333142374,0.5186954802246388,0.03280198895787052,0.44324324324324327,0.12619045978301352,0.6091743119266055,0.16495912882380256
Peking,116,logreg,0.5426481527398959,0.45288556905529387,0.6286914207785766,,,,0.5554178031242252,,0.5556039850560399,,0.4594594594594595,,0.6513761467889908,
NeuroIMAGE,12,brainnetcnn,0.6331550802139038,0.4780748663101605,0.7732620320855614,0.01797618857109261,0.6122994652406417,0.6577540106951871,0.5256684491978609,0.02203653062474817,0.44622487270814215,0.0569324791566642,0.30588235294117644,0.3706349176946674,0.7454545454545454,0.3470656212512923
NeuroIMAGE,12,logreg,0.6390374331550802,0.4572192513368984,0.8048128342245989,,,,0.5922459893048129,,0.5883180858550316,,0.4117647058823529,,0.7727272727272727,
NeuroIMAGE,116,brainnetcnn,0.5005347593582888,0.3882219251336899,0.6144385026737967,0.13000812782419313,0.2914438502673797,0.6443850267379679,0.5080213903743316,0.07955949635646009,0.48955294264244903,0.09529199979173712,0.27058823529411763,0.1219790667842807,0.7454545454545455,0.051826155686324475
NeuroIMAGE,116,logreg,0.5721925133689839,0.3877005347593583,0.7460561497326194,,,,0.4786096256684491,,0.4786096256684491,,0.4117647058823529,,0.5454545454545454,
OHSU,12,brainnetcnn,0.631015037593985,0.5039426691729324,0.7526315789473684,0.037237501559785995,0.5714285714285714,0.6625939849624061,0.5875939849624061,0.020935664597112467,0.5567941289853376,0.039437557417051634,0.6857142857142857,0.2148801279498761,0.4894736842105263,0.2068762527056163
OHSU,12,logreg,0.5328947368421053,0.3919172932330827,0.6710526315789473,,,,0.5103383458646616,,0.4805555555555555,,0.6785714285714286,,0.3421052631578947,
OHSU,116,brainnetcnn,0.49605263157894736,0.3928571428571429,0.6007518796992481,0.07559920434096404,0.42857142857142855,0.6127819548872182,0.5050751879699249,0.07848335262072434,0.49309493163536866,0.0803610348975963,0.5785714285714285,0.07742672638813856,0.43157894736842106,0.09951405474310021
OHSU,116,logreg,0.443609022556391,0.3016917293233083,0.5892857142857143,,,,0.4971804511278195,,0.4636638031112143,,0.6785714285714286,,0.3157894736842105,
