site,roi_set,baseline_run_id,baseline_relative_path,comparator_run_id,comparator_relative_path,comparator_representation,representation_confound,split_fingerprint,include
NYU,116,NYU_rois116_static_logreg_baseline_aafd45ca,results/runs/116/NYU_rois116_static_logreg_baseline_aafd45ca,NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,results/runs/116/NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,ordered,True,aafd45ca73662139,true
NYU,12,NYU_rois12_static_logreg_baseline_aafd45ca,results/runs/12/NYU_rois12_static_logreg_baseline_aafd45ca,NYU_rois12_static_brainnetcnn_rev32_static_r12_f78fe9f1,results/runs/12/NYU_rois12_static_brainnetcnn_rev32_static_r12_f78fe9f1,static,False,aafd45ca73662139,true
NYU,18,NYU_rois18_static_logreg_baseline_aafd45ca,results/runs/18/NYU_rois18_static_logreg_baseline_aafd45ca,NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,results/runs/18/NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,ordered,True,aafd45ca73662139,true
NYU,39,NYU_rois39_static_logreg_baseline_aafd45ca,results/runs/39/NYU_rois39_static_logreg_baseline_aafd45ca,NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,results/runs/39/NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,ordered,True,aafd45ca73662139,true
NeuroIMAGE,116,NeuroIMAGE_rois116_static_logreg_baseline_bc5c92b2,results/runs/116/NeuroIMAGE_rois116_static_logreg_baseline_bc5c92b2,NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,results/runs/116/NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,ordered,True,bc5c92b29b429f9d,true
NeuroIMAGE,12,NeuroIMAGE_rois12_static_logreg_baseline_bc5c92b2,results/runs/12/NeuroIMAGE_rois12_static_logreg_baseline_bc5c92b2,NeuroIMAGE_rois12_static_brainnetcnn_rev32_static_r12_2dcba12c,results/runs/12/NeuroIMAGE_rois12_static_brainnetcnn_rev32_static_r12_2dcba12c,static,False,bc5c92b29b429f9d,true
NeuroIMAGE,18,NeuroIMAGE_rois18_static_logreg_baseline_bc5c92b2,results/runs/18/NeuroIMAGE_rois18_static_logreg_baseline_bc5c92b2,NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,results/runs/18/NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,ordered,True,bc5c92b29b429f9d,true
NeuroIMAGE,39,NeuroIMAGE_rois39_static_logreg_baseline_bc5c92b2,results/runs/39/NeuroIMAGE_rois39_static_logreg_baseline_bc5c92b2,NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,results/runs/39/NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,ordered,True,bc5c92b29b429f9d,true
OHSU,116,OHSU_rois116_static_logreg_baseline_a59dca47,results/runs/116/OHSU_rois116_static_logreg_baseline_a59dca47,OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,results/runs/116/OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,ordered,True,a59dca47e72dc24d,true
OHSU,12,OHSU_rois12_static_logreg_baseline_a59dca47,results/runs/12/OHSU_rois12_static_logreg_baseline_a59dca47,OHSU_rois12_static_brainnetcnn_rev32_lstm128_ordered_85129048,results/runs/12/OHSU_rois12_static_brainnetcnn_rev32_lstm128_ordered_85129048,static,False,a59dca47e72dc24d,true
OHSU,18,OHSU_rois18_static_logreg_baseline_a59dca47,results/runs/18/OHSU_rois18_static_logreg_baseline_a59dca47,OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,results/runs/18/OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,ordered,True,a59dca47e72dc24d,true
OHSU,39,OHSU_rois39_static_logreg_baseline_a59dca47,results/runs/39/OHSU_rois39_static_logreg_baseline_a59dca47,OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,results/runs/39/OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,ordered,True,a59dca47e72dc24d,true
Peking,116,Peking_rois116_static_logreg_baseline_1e9626ad,results/runs/116/Peking_rois116_static_logreg_baseline_1e9626ad,Peking_rois116_w60s6_brainnetcnn_240732d1,results/runs/116/Peking_rois116_w60s6_brainnetcnn_240732d1,ordered,True,1e9626ad3839ff46,true
Peking,12,Peking_rois12_static_logreg_baseline_1e9626ad,results/runs/12/Peking_rois12_static_logreg_baseline_1e9626ad,Peking_rois12_static_brainnetcnn_rev32_lstm128_ordered_61d3f2af,results/runs/12/Peking_rois12_static_brainnetcnn_rev32_lstm128_ordered_61d3f2af,static,False,1e9626ad3839ff46,true
Peking,18,Peking_rois18_static_logreg_baseline_1e9626ad,results/runs/18/Peking_rois18_static_logreg_baseline_1e9626ad,Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,results/runs/18/Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,ordered,True,1e9626ad3839ff46,true
Peking,39,Peking_rois39_static_logreg_baseline_1e9626ad,results/runs/39/Peking_rois39_static_logreg_baseline_1e9626ad,Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,results/runs/39/Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,ordered,True,1e9626ad3839ff46,true
