site,roi_set,run_id,relative_path,include,rationale
NYU,12,NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,true,baseline aprobado para comparación ROI
NYU,18,NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,results/runs/18/NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,true,baseline aprobado para comparación ROI
NYU,39,NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,results/runs/39/NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,true,baseline aprobado para comparación ROI
NYU,116,NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,results/runs/116/NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,true,baseline aprobado para comparación ROI
Peking,12,Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,results/runs/12/Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,true,baseline aprobado; procedencia documental aceptada
Peking,18,Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,results/runs/18/Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,true,baseline aprobado para comparación ROI
Peking,39,Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,results/runs/39/Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,true,baseline aprobado para comparación ROI
Peking,116,Peking_rois116_w60s6_brainnetcnn_240732d1,results/runs/116/Peking_rois116_w60s6_brainnetcnn_240732d1,true,baseline aprobado; conservar identificador real
NeuroIMAGE,12,NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,results/runs/12/NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,true,baseline aprobado; procedencia documental aceptada
NeuroIMAGE,18,NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,results/runs/18/NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,true,baseline aprobado para comparación ROI
NeuroIMAGE,39,NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,results/runs/39/NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,true,baseline aprobado para comparación ROI
NeuroIMAGE,116,NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,results/runs/116/NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,true,baseline aprobado para comparación ROI
OHSU,12,OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,results/runs/12/OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,true,baseline aprobado para comparación ROI
OHSU,18,OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,results/runs/18/OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,true,baseline aprobado para comparación ROI
OHSU,39,OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,results/runs/39/OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,true,baseline aprobado; procedencia documental aceptada
OHSU,116,OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,results/runs/116/OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,true,baseline aprobado para comparación ROI
