site,roi_set,ref_run,new_run,comparator_representation,representation_confound,n_subjects,n_iter,ref_auc_point,ref_ci_low,ref_ci_high,new_auc_point,new_ci_low,new_ci_high,delta,delta_ci_low,delta_ci_high
NYU,12,NYU_rois12_static_brainnetcnn_rev32_static_r12_f78fe9f1,NYU_rois12_static_logreg_baseline_aafd45ca,static,False,177,2000,0.5499361430395913,0.5021296296296296,0.6001564495530013,0.5750702426564496,0.49872286079182643,0.6472349936143039,0.025134099616858308,-0.04586206896551732,0.0948422733077906
NYU,18,NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,NYU_rois18_static_logreg_baseline_aafd45ca,ordered,True,177,2000,0.5999744572158365,0.5455427841634738,0.6535031928480203,0.5608939974457214,0.485382503192848,0.633390804597701,-0.039080459770115095,-0.1106545338441889,0.030448275862068996
NYU,39,NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,NYU_rois39_static_logreg_baseline_aafd45ca,ordered,True,177,2000,0.5283014048531289,0.4720785440613027,0.5801839080459769,0.5295274584929757,0.45136398467432953,0.6049980842911876,0.0012260536398467359,-0.06318007662835252,0.06355427841634731
NYU,116,NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,NYU_rois116_static_logreg_baseline_aafd45ca,ordered,True,177,2000,0.5393103448275862,0.4874527458492975,0.5887630906768838,0.5631928480204342,0.484867816091954,0.6383665389527459,0.023882503192848015,-0.03808429118773938,0.09111813537675617
NeuroIMAGE,12,NeuroIMAGE_rois12_static_brainnetcnn_rev32_static_r12_2dcba12c,NeuroIMAGE_rois12_static_logreg_baseline_bc5c92b2,static,False,39,2000,0.527807486631016,0.4454545454545455,0.6171122994652407,0.6320855614973262,0.48502673796791446,0.7775534759358288,0.10427807486631024,-0.04975935828877017,0.2556417112299463
NeuroIMAGE,18,NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,NeuroIMAGE_rois18_static_logreg_baseline_bc5c92b2,ordered,True,39,2000,0.6197860962566846,0.516042780748663,0.7214037433155079,0.5647058823529412,0.40586898395721926,0.7182219251336895,-0.0550802139037434,-0.20001336898395727,0.08129679144385021
NeuroIMAGE,39,NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,NeuroIMAGE_rois39_static_logreg_baseline_bc5c92b2,ordered,True,39,2000,0.5074866310160429,0.41602941176470587,0.602139037433155,0.5112299465240642,0.3582754010695187,0.6802540106951869,0.0037433155080213165,-0.1347860962566846,0.15191176470588222
NeuroIMAGE,116,NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,NeuroIMAGE_rois116_static_logreg_baseline_bc5c92b2,ordered,True,39,2000,0.5192513368983958,0.41066844919786105,0.625668449197861,0.5497326203208556,0.3935561497326203,0.7021390374331551,0.030481283422459815,-0.10427807486631008,0.17596256684491973
OHSU,12,OHSU_rois12_static_brainnetcnn_rev32_lstm128_ordered_85129048,OHSU_rois12_static_logreg_baseline_a59dca47,static,False,66,2000,0.5148496240601504,0.4351362781954887,0.5845864661654134,0.49586466165413545,0.37123590225563907,0.6152396616541351,-0.018984962406014994,-0.1370347744360902,0.10075657894736842
OHSU,18,OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,OHSU_rois18_static_logreg_baseline_a59dca47,ordered,True,66,2000,0.5221804511278195,0.44322838345864657,0.6047086466165414,0.6285714285714287,0.4977161654135339,0.7428853383458646,0.10639097744360915,-0.009624060150375991,0.216921992481203
OHSU,39,OHSU_rois39_w48s5_brainnetcnn_control_baseline_v13_299719fe,OHSU_rois39_static_logreg_baseline_a59dca47,ordered,True,66,2000,0.5013157894736843,0.4003712406015037,0.5954981203007519,0.36296992481203005,0.24077067669172933,0.4840272556390977,-0.13834586466165422,-0.2334586466165413,-0.04339285714285732
OHSU,116,OHSU_rois116_w48s5_brainnetcnn_control_baseline_v13_f82f17b4,OHSU_rois116_static_logreg_baseline_a59dca47,ordered,True,66,2000,0.5582706766917294,0.4757518796992482,0.6359163533834586,0.5462406015037594,0.4131531954887218,0.6765131578947369,-0.012030075187969946,-0.10246240601503755,0.08477913533834583
Peking,12,Peking_rois12_static_brainnetcnn_rev32_lstm128_ordered_61d3f2af,Peking_rois12_static_logreg_baseline_1e9626ad,static,False,183,2000,0.528861889412348,0.4830839325564096,0.5754060252913463,0.5921646417059261,0.5216185221919167,0.6645183486238533,0.06330275229357807,-0.010788494916935312,0.14100359533845758
Peking,18,Peking_rois18_w60s6_brainnetcnn_control_baseline_v13_0bf7fa0e,Peking_rois18_static_logreg_baseline_1e9626ad,ordered,True,183,2000,0.5675179766922887,0.5060178527151005,0.6294117282420035,0.5043639970245475,0.43128254401190186,0.5813432928341185,-0.06315397966774117,-0.13513885445078125,0.018371559633027397
Peking,39,Peking_rois39_w60s6_brainnetcnn_control_baseline_v13_396e34d2,Peking_rois39_static_logreg_baseline_1e9626ad,ordered,True,183,2000,0.622216712124969,0.5641296801388545,0.6761852219191666,0.6237788246962558,0.5481719563600297,0.6952398958591619,0.0015621125712868,-0.06616476568311432,0.06511467889908251
Peking,116,Peking_rois116_w60s6_brainnetcnn_240732d1,Peking_rois116_static_logreg_baseline_1e9626ad,ordered,True,183,2000,0.6032977932060501,0.5431973716836102,0.6616414579717331,0.5922886188941235,0.5134099925613687,0.6680907513017605,-0.011009174311926606,-0.0724274733449044,0.049690057029506574
