site,roi_set,repeat,n_subjects,n_control,n_adhd,auc,balanced_accuracy,f1_macro,sensitivity,specificity,accuracy
NYU,12,1,177,87,90,0.6242656449553001,0.5883141762452107,0.5870961556897709,0.5444444444444444,0.632183908045977,0.5875706214689266
NYU,12,2,177,87,90,0.6015325670498085,0.6097701149425288,0.6097210238711532,0.6333333333333333,0.5862068965517241,0.6101694915254238
NYU,12,3,177,87,90,0.5514687100893998,0.5365900383141762,0.5365900383141762,0.5444444444444444,0.5287356321839081,0.536723163841808
NYU,12,4,177,87,90,0.5781609195402299,0.5597701149425287,0.5591954022988506,0.5333333333333333,0.5862068965517241,0.559322033898305
NYU,12,5,177,87,90,0.5969348659003831,0.5779693486590038,0.5727802272068998,0.4777777777777778,0.6781609195402298,0.576271186440678
NYU,18,1,177,87,90,0.6651340996168582,0.6170498084291187,0.614329659061779,0.5444444444444444,0.6896551724137931,0.615819209039548
NYU,18,2,177,87,90,0.5784163473818646,0.5304597701149425,0.5301135454981609,0.5666666666666667,0.4942528735632184,0.5310734463276836
NYU,18,3,177,87,90,0.6003831417624521,0.5877394636015325,0.5875706214689266,0.5777777777777777,0.5977011494252874,0.5875706214689266
NYU,18,4,177,87,90,0.5932311621966794,0.5584291187739464,0.5576134324532172,0.6111111111111112,0.5057471264367817,0.559322033898305
NYU,18,5,177,87,90,0.5627075351213282,0.5413793103448276,0.5402597402597402,0.6,0.4827586206896552,0.5423728813559322
NYU,39,1,177,87,90,0.5499361430395913,0.5544061302681993,0.5531588534176972,0.5111111111111111,0.5977011494252874,0.5536723163841808
NYU,39,2,177,87,90,0.513154533844189,0.5310344827586206,0.5310135674381484,0.5333333333333333,0.5287356321839081,0.5310734463276836
NYU,39,3,177,87,90,0.5361430395913154,0.5218390804597701,0.5135633224481878,0.4,0.6436781609195402,0.519774011299435
NYU,39,4,177,87,90,0.5199233716475096,0.503448275862069,0.5024278047533861,0.4666666666666667,0.5402298850574713,0.5028248587570622
NYU,39,5,177,87,90,0.5223499361430396,0.5026819923371647,0.5026819923371647,0.5111111111111111,0.4942528735632184,0.5028248587570622
NYU,116,1,177,87,90,0.5441890166028098,0.5199233716475096,0.519774011299435,0.5111111111111111,0.5287356321839081,0.519774011299435
NYU,116,2,177,87,90,0.5765006385696041,0.5582375478927203,0.5569319640564827,0.6222222222222222,0.4942528735632184,0.559322033898305
NYU,116,3,177,87,90,0.5019157088122604,0.5082375478927204,0.5082234215820904,0.5222222222222223,0.4942528735632184,0.5084745762711864
NYU,116,4,177,87,90,0.5458492975734355,0.5373563218390804,0.536353181702019,0.5,0.5747126436781609,0.536723163841808
NYU,116,5,177,87,90,0.5280970625798211,0.5308429118773946,0.5308338389806151,0.5444444444444444,0.5172413793103449,0.5310734463276836
Peking,12,1,183,109,74,0.46466650136374904,0.46032729977684106,0.4591926559356137,0.32432432432432434,0.5963302752293578,0.48633879781420764
Peking,12,2,183,109,74,0.6505083064716093,0.5981279444582197,0.5964224454790492,0.5540540540540541,0.6422018348623854,0.6065573770491803
Peking,12,3,183,109,74,0.5469873543268038,0.5271510042152244,0.5209279932597117,0.5405405405405406,0.5137614678899083,0.5245901639344263
Peking,12,4,183,109,74,0.5896355070666998,0.5645921150508306,0.56493993993994,0.4594594594594595,0.6697247706422018,0.5846994535519126
Peking,12,5,183,109,74,0.5669476816265807,0.5554178031242252,0.5556039850560399,0.4594594594594595,0.6513761467889908,0.5737704918032787
Peking,18,1,183,109,74,0.5529382593602777,0.5073766426977436,0.5067385444743935,0.44594594594594594,0.5688073394495413,0.5191256830601093
Peking,18,2,183,109,74,0.6078601537317134,0.5797793206050087,0.5768013631937683,0.5540540540540541,0.6055045871559633,0.5846994535519126
Peking,18,3,183,109,74,0.5533101909248699,0.5392387800644681,0.5386743728480079,0.47297297297297297,0.6055045871559633,0.5519125683060109
Peking,18,4,183,109,74,0.5412844036697249,0.5303124225142574,0.5302322704357777,0.44594594594594594,0.6146788990825688,0.546448087431694
Peking,18,5,183,109,74,0.5821968757748575,0.5421522439871064,0.5418185275568091,0.40540540540540543,0.6788990825688074,0.5683060109289617
Peking,39,1,183,109,74,0.670096702206794,0.64858666005455,0.6499419862648562,0.5540540540540541,0.7431192660550459,0.6666666666666666
Peking,39,2,183,109,74,0.594718571782792,0.5795313662286139,0.574148508567802,0.581081081081081,0.5779816513761468,0.5792349726775956
Peking,39,3,183,109,74,0.6273245722787008,0.6007934540044632,0.6011830635118306,0.5135135135135135,0.6880733944954128,0.6174863387978142
Peking,39,4,183,109,74,0.5990577733696999,0.609719811554674,0.6094702007237188,0.5405405405405406,0.6788990825688074,0.6229508196721312
Peking,39,5,183,109,74,0.6198859409868585,0.5771138110587652,0.5700602409638554,0.5945945945945946,0.5596330275229358,0.5737704918032787
Peking,116,1,183,109,74,0.5802132407636995,0.5474212744854947,0.5386554621848739,0.581081081081081,0.5137614678899083,0.5409836065573771
Peking,116,2,183,109,74,0.6397222910984379,0.632407636994793,0.6321096093774162,0.5675675675675675,0.6972477064220184,0.644808743169399
Peking,116,3,183,109,74,0.5924869823952393,0.5551698487478305,0.554689665793932,0.4864864864864865,0.6238532110091743,0.5683060109289617
Peking,116,4,183,109,74,0.6141829903297793,0.601041408380858,0.6019858156028368,0.4864864864864865,0.7155963302752294,0.6229508196721312
Peking,116,5,183,109,74,0.5898834614430944,0.5684354078849492,0.5656645569620253,0.5405405405405406,0.5963302752293578,0.5737704918032787
NeuroIMAGE,12,1,39,22,17,0.4598930481283422,0.42914438502673796,0.40522875816993464,0.17647058823529413,0.6818181818181818,0.46153846153846156
NeuroIMAGE,12,2,39,22,17,0.34224598930481287,0.37433155080213903,0.37433155080213903,0.29411764705882354,0.45454545454545453,0.38461538461538464
NeuroIMAGE,12,3,39,22,17,0.5401069518716577,0.4652406417112299,0.45833333333333337,0.29411764705882354,0.6363636363636364,0.48717948717948717
NeuroIMAGE,12,4,39,22,17,0.5294117647058822,0.47192513368983957,0.4701086956521739,0.35294117647058826,0.5909090909090909,0.48717948717948717
NeuroIMAGE,12,5,39,22,17,0.49732620320855614,0.47593582887700536,0.46011865524060647,0.5882352941176471,0.36363636363636365,0.46153846153846156
NeuroIMAGE,18,1,39,22,17,0.6149732620320856,0.5989304812834224,0.5984900480439259,0.47058823529411764,0.7272727272727273,0.6153846153846154
NeuroIMAGE,18,2,39,22,17,0.5935828877005347,0.553475935828877,0.5535353535353535,0.47058823529411764,0.6363636363636364,0.5641025641025641
NeuroIMAGE,18,3,39,22,17,0.5935828877005347,0.5147058823529411,0.5115359261700725,0.5294117647058824,0.5,0.5128205128205128
NeuroIMAGE,18,4,39,22,17,0.6684491978609626,0.6323529411764706,0.6143704680290046,0.7647058823529411,0.5,0.6153846153846154
NeuroIMAGE,18,5,39,22,17,0.6283422459893048,0.5828877005347594,0.5828877005347594,0.5294117647058824,0.6363636363636364,0.5897435897435898
NeuroIMAGE,39,1,39,22,17,0.5508021390374331,0.5762032085561497,0.5760869565217391,0.47058823529411764,0.6818181818181818,0.5897435897435898
NeuroIMAGE,39,2,39,22,17,0.553475935828877,0.553475935828877,0.5535353535353535,0.47058823529411764,0.6363636363636364,0.5641025641025641
NeuroIMAGE,39,3,39,22,17,0.49465240641711233,0.5601604278074866,0.5594684385382059,0.5294117647058824,0.5909090909090909,0.5641025641025641
NeuroIMAGE,39,4,39,22,17,0.41711229946524064,0.4331550802139037,0.43253968253968256,0.4117647058823529,0.45454545454545453,0.4358974358974359
NeuroIMAGE,39,5,39,22,17,0.5213903743315508,0.5628342245989305,0.5542857142857143,0.35294117647058826,0.7727272727272727,0.5897435897435898
NeuroIMAGE,116,1,39,22,17,0.516042780748663,0.4852941176470588,0.48412698412698413,0.47058823529411764,0.5,0.48717948717948717
NeuroIMAGE,116,2,39,22,17,0.45989304812834225,0.47192513368983957,0.4701086956521739,0.35294117647058826,0.5909090909090909,0.48717948717948717
NeuroIMAGE,116,3,39,22,17,0.6925133689839572,0.6216577540106951,0.6208333333333333,0.47058823529411764,0.7727272727272727,0.6410256410256411
NeuroIMAGE,116,4,39,22,17,0.4732620320855615,0.44919786096256686,0.4484848484848485,0.35294117647058826,0.5454545454545454,0.46153846153846156
NeuroIMAGE,116,5,39,22,17,0.4545454545454545,0.4879679144385026,0.47853624208304013,0.29411764705882354,0.6818181818181818,0.5128205128205128
OHSU,12,1,66,38,28,0.4708646616541353,0.48120300751879697,0.479818485789348,0.35714285714285715,0.6052631578947368,0.5
OHSU,12,2,66,38,28,0.5112781954887218,0.5441729323308271,0.5416666666666667,0.5357142857142857,0.5526315789473685,0.5454545454545454
OHSU,12,3,66,38,28,0.5516917293233083,0.5216165413533835,0.5214035087719298,0.4642857142857143,0.5789473684210527,0.5303030303030303
OHSU,12,4,66,38,28,0.6860902255639098,0.6109022556390977,0.6046082949308755,0.6428571428571429,0.5789473684210527,0.6060606060606061
OHSU,12,5,66,38,28,0.5263157894736843,0.5206766917293233,0.5170731707317073,0.35714285714285715,0.6842105263157895,0.5454545454545454
OHSU,18,1,66,38,28,0.5516917293233082,0.506578947368421,0.48863636363636365,0.25,0.7631578947368421,0.5454545454545454
OHSU,18,2,66,38,28,0.4755639097744361,0.4642857142857143,0.4636638031112143,0.42857142857142855,0.5,0.4696969696969697
OHSU,18,3,66,38,28,0.46804511278195493,0.5122180451127819,0.5113446381657512,0.39285714285714285,0.631578947368421,0.5303030303030303
OHSU,18,4,66,38,28,0.5056390977443609,0.5037593984962406,0.5037593984962406,0.42857142857142855,0.5789473684210527,0.5151515151515151
OHSU,18,5,66,38,28,0.6099624060150377,0.5667293233082706,0.559696342305038,0.6071428571428571,0.5263157894736842,0.5606060606060606
OHSU,39,1,66,38,28,0.45770676691729323,0.40225563909774437,0.4023682377524959,0.35714285714285715,0.4473684210526316,0.4090909090909091
OHSU,39,2,66,38,28,0.4586466165413534,0.44172932330827064,0.44172932330827064,0.35714285714285715,0.5263157894736842,0.45454545454545453
OHSU,39,3,66,38,28,0.5338345864661654,0.4943609022556391,0.49230769230769234,0.35714285714285715,0.631578947368421,0.5151515151515151
OHSU,39,4,66,38,28,0.5357142857142857,0.5225563909774436,0.5147058823529411,0.5714285714285714,0.47368421052631576,0.5151515151515151
OHSU,39,5,66,38,28,0.5206766917293233,0.48684210526315785,0.48294930875576036,0.5,0.47368421052631576,0.48484848484848486
OHSU,116,1,66,38,28,0.5263157894736842,0.5300751879699248,0.5299145299145299,0.42857142857142855,0.631578947368421,0.5454545454545454
OHSU,116,2,66,38,28,0.5545112781954887,0.5394736842105263,0.5386766076421249,0.5,0.5789473684210527,0.5454545454545454
OHSU,116,3,66,38,28,0.5592105263157895,0.5798872180451128,0.5741935483870968,0.6071428571428571,0.5526315789473685,0.5757575757575758
OHSU,116,4,66,38,28,0.6231203007518797,0.5883458646616542,0.586254933828651,0.5714285714285714,0.6052631578947368,0.5909090909090909
OHSU,116,5,66,38,28,0.5281954887218046,0.4699248120300752,0.4540441176470588,0.5714285714285714,0.3684210526315789,0.45454545454545453
