site,roi_set,run_id,relative_path,missing_artifacts,extra_artifacts,config_schema_version,config_hash,n_predictions,n_metrics_val_rows,atlas_hash,roi_indices_hash,roi_indices_hash_expected_ok,class_weight,git_clean,git_clean_accepted_exception,folds_csv_sha256,published_auc,published_balanced_accuracy,published_accuracy,recalculated_auc,recalculated_balanced_accuracy,recalculated_accuracy,reconciliation_status,status,diagnostic
NYU,12,NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,,,4,3e220e5c,885,50,104b6c37ad9b7299,640bfb198d6edcdd,True,False,True,False,d30bfce3b7808443da5367339edc3a65f128178e1ee075c8feabf25add75707a,59.05,57.45,57.4,59.05,57.45,57.4,PASS,PASS,
NYU,18,NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,results/runs/18/NYU_rois18_w60s6_brainnetcnn_control_baseline_v13_662d71a9,,,4,662d71a9,885,50,104b6c37ad9b7299,2d67f7d1b693a33a,True,False,True,False,d30bfce3b7808443da5367339edc3a65f128178e1ee075c8feabf25add75707a,60.0,56.7,56.72,60.0,56.7,56.72,PASS,PASS,
NYU,39,NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,results/runs/39/NYU_rois39_w60s6_brainnetcnn_control_base_line_1521c348,,,4,1521c348,885,50,104b6c37ad9b7299,3f7657c228ed0f19,True,False,True,False,d30bfce3b7808443da5367339edc3a65f128178e1ee075c8feabf25add75707a,52.83,52.27,52.2,52.83,52.27,52.2,PASS,PASS,
NYU,116,NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,results/runs/116/NYU_rois116_w60s6_brainnetcnn_control_baseline_v13_160b89cd,,,4,160b89cd,885,50,eb7675377cec20c2,b761f1f690ecb0af,True,False,True,False,d30bfce3b7808443da5367339edc3a65f128178e1ee075c8feabf25add75707a,53.93,53.09,53.11,53.93,53.09,53.11,PASS,PASS,
NeuroIMAGE,12,NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,results/runs/12/NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,,,4,2b729a8c,195,50,104b6c37ad9b7299,640bfb198d6edcdd,True,False,False,True,47b15d7f9385dd8241e5f12510cbed6aef15836f91ac3627fede3b4bc883e09b,47.38,44.33,45.64,47.38,44.33,45.64,PASS,PASS,
NeuroIMAGE,18,NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,results/runs/18/NeuroIMAGE_rois18_w61s6_brainnetcnn_control_baseline_v13_93342cf0,,,4,93342cf0,195,50,104b6c37ad9b7299,2d67f7d1b693a33a,True,False,True,False,47b15d7f9385dd8241e5f12510cbed6aef15836f91ac3627fede3b4bc883e09b,61.98,57.65,57.95,61.98,57.65,57.95,PASS,PASS,
NeuroIMAGE,39,NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,results/runs/39/NeuroIMAGE_rois39_w61s6_brainnetcnn_control_baseline_v13_dc028168,,,4,dc028168,195,50,eb7675377cec20c2,3f7657c228ed0f19,True,False,True,False,47b15d7f9385dd8241e5f12510cbed6aef15836f91ac3627fede3b4bc883e09b,50.75,53.72,54.87,50.75,53.72,54.87,PASS,PASS,
NeuroIMAGE,116,NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,results/runs/116/NeuroIMAGE_rois116_w61s6_brainnetcnn_control_baseline_v13_669d72bd,,,4,669d72bd,195,50,eb7675377cec20c2,b761f1f690ecb0af,True,False,True,False,47b15d7f9385dd8241e5f12510cbed6aef15836f91ac3627fede3b4bc883e09b,51.93,50.32,51.79,51.93,50.32,51.79,PASS,PASS,
OHSU,12,OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,results/runs/12/OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,,,4,1a7c37ce,330,50,104b6c37ad9b7299,640bfb198d6edcdd,True,False,True,False,725d77ab93c20419e568fc8ec4cc9aed45461f1273968b23b2f8c9f10fe3e3d6,54.92,53.57,54.55,54.92,53.57,54.55,PASS,PASS,
OHSU,18,OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,results/runs/18/OHSU_rois18_w48s5_brainnetcnn_2ce6c48e,,,4,2ce6c48e,330,50,104b6c37ad9b7299,2d67f7d1b693a33a,True,False,True,False,725d77ab93c20419e568fc8ec4cc9aed45461f1273968b23b2f8c9f10fe3e3d6,52.22,51.07,52.42,52.22,51.07,52.42,PASS,PASS,
