site,roi_set,n_subjects,mean_auc,auc_bilateral_ci_low,auc_bilateral_ci_high,balanced_accuracy,f1_macro,sensitivity,specificity
NYU,12,177,0.5904725415070243,0.5381558109833972,0.6432445721583653,0.5744827586206896,0.5730765694761701,0.5466666666666666,0.6022988505747126
NYU,18,177,0.5999744572158365,0.5471749680715198,0.6530293742017881,0.5670114942528736,0.5659773997483648,0.58,0.5540229885057472
NYU,39,177,0.5283014048531289,0.47445593869731795,0.5815344827586207,0.5226819923371647,0.5205691080789169,0.4844444444444444,0.5609195402298851
NYU,116,177,0.5393103448275862,0.48801979565772674,0.5896047254150703,0.5309195402298851,0.5304232835241285,0.54,0.5218390804597701
Peking,12,183,0.5637490701710884,0.5068162658070915,0.6210798413091991,0.5411232333250682,0.5394174039340709,0.46756756756756757,0.6146788990825688
Peking,18,183,0.5675179766922887,0.5060494668980908,0.6282426233573023,0.5397718819737168,0.5388530157017513,0.46486486486486484,0.6146788990825688
Peking,39,183,0.622216712124969,0.5651109595834366,0.6773890404165632,0.6031490205802132,0.6009608000064126,0.5567567567567567,0.6495412844036698
Peking,116,183,0.60329779320605,0.5435655839325564,0.6607990329779322,0.580895115298785,0.5786210219842168,0.5324324324324324,0.6293577981651376
NeuroIMAGE,12,39,0.47379679144385023,0.37326203208556147,0.5732620320855615,0.4433155080213903,0.43362419863963747,0.3411764705882353,0.5454545454545454
NeuroIMAGE,18,39,0.6197860962566845,0.5160294117647058,0.7203208556149733,0.5764705882352941,0.5721638992626232,0.5529411764705883,0.6
NeuroIMAGE,39,39,0.5074866310160427,0.41818181818181815,0.600013368983957,0.5371657754010695,0.5351832290841391,0.4470588235294118,0.6272727272727272
NeuroIMAGE,116,39,0.5192513368983958,0.4149732620320856,0.625668449197861,0.5032085561497326,0.500418020736076,0.388235294117647,0.6181818181818182
OHSU,12,66,0.5492481203007519,0.47105263157894744,0.6244360902255639,0.5357142857142858,0.5329140253781055,0.4714285714285714,0.6
OHSU,18,66,0.5221804511278195,0.443796992481203,0.6009398496240601,0.5107142857142857,0.5054201091429216,0.4214285714285714,0.6
OHSU,39,66,0.5013157894736843,0.40544642857142854,0.5969971804511278,0.46954887218045105,0.466812088895432,0.42857142857142855,0.5105263157894736
OHSU,116,66,0.5582706766917294,0.47819078947368426,0.6381578947368421,0.5415413533834587,0.5366167474838923,0.5357142857142857,0.5473684210526316
