site,y_true,category,count
NYU,0,both_correct,155
NYU,0,both_incorrect,101
NYU,0,correct_116_only,72
NYU,0,correct_12_only,107
NYU,1,both_correct,152
NYU,1,both_incorrect,113
NYU,1,correct_116_only,91
NYU,1,correct_12_only,94
NeuroIMAGE,0,both_correct,40
NeuroIMAGE,0,both_incorrect,22
NeuroIMAGE,0,correct_116_only,28
NeuroIMAGE,0,correct_12_only,20
NeuroIMAGE,1,both_correct,11
NeuroIMAGE,1,both_incorrect,34
NeuroIMAGE,1,correct_116_only,22
NeuroIMAGE,1,correct_12_only,18
OHSU,0,both_correct,60
OHSU,0,both_incorrect,32
OHSU,0,correct_116_only,44
OHSU,0,correct_12_only,54
OHSU,1,both_correct,38
OHSU,1,both_incorrect,37
OHSU,1,correct_116_only,37
OHSU,1,correct_12_only,28
Peking,0,both_correct,224
Peking,0,both_incorrect,91
Peking,0,correct_116_only,119
Peking,0,correct_12_only,111
Peking,1,both_correct,101
Peking,1,both_incorrect,101
Peking,1,correct_116_only,96
Peking,1,correct_12_only,72
