figure,site,roi_set,point,ci_low,ci_high,n
Figure3,NYU,12 ROIs,0.5904725415070243,0.5381558109833972,0.6432445721583653,177
Figure3,NYU,18 ROIs,0.5999744572158365,0.5471749680715198,0.6530293742017881,177
Figure3,NYU,39 ROIs,0.5283014048531289,0.4744559386973179,0.5815344827586207,177
Figure3,NYU,116 ROIs,0.5393103448275862,0.4880197956577267,0.5896047254150703,177
Figure3,Peking,12 ROIs,0.5637490701710884,0.5068162658070915,0.6210798413091991,183
Figure3,Peking,18 ROIs,0.5675179766922887,0.5060494668980908,0.6282426233573023,183
Figure3,Peking,39 ROIs,0.622216712124969,0.5651109595834366,0.6773890404165632,183
Figure3,Peking,116 ROIs,0.60329779320605,0.5435655839325564,0.6607990329779322,183
Figure3,NeuroIMAGE,12 ROIs,0.4737967914438502,0.3732620320855614,0.5732620320855615,39
Figure3,NeuroIMAGE,18 ROIs,0.6197860962566845,0.5160294117647058,0.7203208556149733,39
Figure3,NeuroIMAGE,39 ROIs,0.5074866310160427,0.4181818181818181,0.600013368983957,39
Figure3,NeuroIMAGE,116 ROIs,0.5192513368983958,0.4149732620320856,0.625668449197861,39
Figure3,OHSU,12 ROIs,0.5492481203007519,0.4710526315789474,0.6244360902255639,66
Figure3,OHSU,18 ROIs,0.5221804511278195,0.443796992481203,0.6009398496240601,66
Figure3,OHSU,39 ROIs,0.5013157894736843,0.4054464285714285,0.5969971804511278,66
Figure3,OHSU,116 ROIs,0.5582706766917294,0.4781907894736842,0.6381578947368421,66
