figure,site,condition,point,ci_low,ci_high,status
Figure3,NYU,18 ROIs,0.0095019157088122,-0.0373959131545338,0.0560932311621967,evaluated
Figure3,NYU,39 ROIs,-0.0621711366538954,-0.1226819923371645,-0.0025996168582375,evaluated
Figure3,NYU,116 ROIs,-0.0511621966794381,-0.1107547892720307,0.0072298850574712,evaluated
Figure3,NYU,Static connectivity,-0.040536398467433,-0.0819936143039591,0.0018397190293741,evaluated
Figure3,NYU,Static connectivity (DeepSets),0.011162196679437963,-0.01619604086845462,0.03875031928480208,evaluated
Figure3,NYU,Static connectivity (LSTM),0.01924648786717753,-0.00980970625798217,0.04904278416347395,evaluated
Figure3,NYU,LSTM-128,-0.0648531289910601,-0.1093997445721583,-0.0199233716475096,evaluated
Figure3,NYU,GRU-151,-0.07095785440613012,-0.11910791826309071,-0.022578544061302788,evaluated
Figure3,NYU,Window 140 s / step 12 s,-0.0326947637292466,-0.0653895274584928,0.0006909323116219,evaluated
Figure3,NYU,Window 120 s / step 24 s,-0.0469476372924649,-0.0862068965517242,-0.0081194125159641,evaluated
Figure3,NYU,Window 60 s / step 12 s (BrainNetCNN),-0.04607918263090671,-0.08750957854406138,-0.006178799489144264,evaluated
Figure3,NYU,Window 60 s / step 12 s (GRU),-0.012490421455938816,-0.042835249042145584,0.017982758620689755,evaluated
Figure3,Peking,18 ROIs,0.0037689065212002,-0.0453514753285396,0.0537069179271013,evaluated
Figure3,Peking,39 ROIs,0.0584676419538805,-0.011183982147285,0.1292108851971237,evaluated
Figure3,Peking,116 ROIs,0.0395487230349616,-0.0245245474832631,0.1049590875278948,evaluated
Figure3,Peking,Static connectivity,-0.0348871807587405,-0.0826431936523679,0.0127454748326307,evaluated
Figure3,Peking,Static connectivity (DeepSets),0.0002727498140342455,-0.023481279444582007,0.024151376146788927,evaluated
Figure3,Peking,Static connectivity (LSTM),-0.014034217703942531,-0.046838581700967,0.019390652120009965,evaluated
Figure3,Peking,LSTM-128,-0.0009918175055789,-0.0468392015869079,0.0444092486982394,evaluated
Figure3,Peking,GRU-151,-0.006149268534589636,-0.051153607736176575,0.03843292834118506,evaluated
Figure3,Peking,Window 140 s / step 12 s,-0.003917679147037,-0.0317387800644681,0.0243249442102652,evaluated
Figure3,Peking,Window 120 s / step 24 s,-0.0084800396727002,-0.0460705430200843,0.0300272749814034,evaluated
Figure3,Peking,Window 60 s / step 12 s (BrainNetCNN),0.013141581948921344,-0.02772563848251916,0.054501611703446605,evaluated
Figure3,Peking,Window 60 s / step 12 s (GRU),-0.052268782544011905,-0.08594222663030009,-0.017826060004959034,evaluated
Figure3,NeuroIMAGE,18 ROIs,0.1459893048128342,0.0379679144385026,0.2577540106951871,evaluated
Figure3,NeuroIMAGE,39 ROIs,0.0336898395721925,-0.0930481283422459,0.1577540106951872,evaluated
Figure3,NeuroIMAGE,116 ROIs,0.0454545454545455,-0.1026737967914439,0.2,evaluated
Figure3,NeuroIMAGE,Static connectivity,0.0540106951871656,-0.0631016042780747,0.1738101604278073,evaluated
Figure3,NeuroIMAGE,Static connectivity (DeepSets),,,,not_evaluated
Figure3,NeuroIMAGE,Static connectivity (LSTM),,,,not_evaluated
Figure3,NeuroIMAGE,LSTM-128,,,,not_evaluated
Figure3,NeuroIMAGE,GRU-151,,,,not_evaluated
Figure3,NeuroIMAGE,Window 140 s / step 12 s,,,,not_evaluated
Figure3,NeuroIMAGE,Window 120 s / step 24 s,,,,not_evaluated
Figure3,NeuroIMAGE,Window 60 s / step 12 s (BrainNetCNN),,,,not_evaluated
Figure3,NeuroIMAGE,Window 60 s / step 12 s (GRU),,,,not_evaluated
Figure3,OHSU,18 ROIs,-0.0270676691729323,-0.1219971804511278,0.066358082706767,evaluated
Figure3,OHSU,39 ROIs,-0.0479323308270676,-0.1338345864661653,0.0413533834586465,evaluated
Figure3,OHSU,116 ROIs,0.0090225563909774,-0.0827114661654135,0.0988721804511278,evaluated
Figure3,OHSU,Static connectivity,-0.0343984962406015,-0.1086466165413533,0.0411654135338345,evaluated
Figure3,OHSU,Static connectivity (DeepSets),,,,not_evaluated
Figure3,OHSU,Static connectivity (LSTM),,,,not_evaluated
Figure3,OHSU,LSTM-128,,,,not_evaluated
Figure3,OHSU,GRU-151,,,,not_evaluated
Figure3,OHSU,Window 140 s / step 12 s,,,,not_evaluated
Figure3,OHSU,Window 120 s / step 24 s,,,,not_evaluated
Figure3,OHSU,Window 60 s / step 12 s (BrainNetCNN),,,,not_evaluated
Figure3,OHSU,Window 60 s / step 12 s (GRU),,,,not_evaluated
