contrast_id,ref_dir,new_dir,n_subjects,n_control,n_adhd,n_iter,seed,generator,ref_auc_point,ref_ci_low,ref_ci_high,new_auc_point,new_ci_low,new_ci_high,delta,delta_ci_low,delta_ci_high,ref_predictions_sha256,new_predictions_sha256,ref_config_sha256,new_config_sha256
NYU__lstm128,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_w60s6_lstm_rev32_lstm128_ordered_0209fc13,177,87,90,10000,42,PCG64,0.5904725415070243,0.5381558109833972,0.6432445721583653,0.5256194125159642,0.46998659003831417,0.581021711366539,-0.0648531289910601,-0.10939974457215834,-0.019923371647509677,b4af0f109c6f9c156a00699b78c239ca32a25ac7810e93d41ce35fefbd0e2963,c3c5c83f0d21afc6613807f92eef57a638cea1bc4cd23b47572c9cb99ebe4aa3,7e064f1ed2e7e0309b821f8d9983573d0512a457dc385ce009e9deeea77245ae,f049c8a7a9152ac96cb4cf656fe323d7479d667c66ada39492167a0819397efa
NYU__static,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_static_brainnetcnn_rev32_static_r12_f78fe9f1,177,87,90,10000,42,PCG64,0.5904725415070243,0.5381558109833972,0.6432445721583653,0.5499361430395913,0.5016602809706259,0.600103448275862,-0.040536398467433066,-0.08199361430395913,0.0018397190293741807,b4af0f109c6f9c156a00699b78c239ca32a25ac7810e93d41ce35fefbd0e2963,0a6331f15a4359281a4881d4df396a43cb93e88d9881a3f674e455b983c8bbf5,7e064f1ed2e7e0309b821f8d9983573d0512a457dc385ce009e9deeea77245ae,0e0289afe6b08a9aaa1408d0f599679051db25b251a060f5377d9ea679769a3e
NYU__window120_24,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_w60s12_brainnetcnn_rev32_window120_step24_84fa43da,177,87,90,10000,42,PCG64,0.5904725415070243,0.5381558109833972,0.6432445721583653,0.5435249042145593,0.4965753512132822,0.5911130268199234,-0.04694763729246498,-0.0862068965517242,-0.008119412515964186,b4af0f109c6f9c156a00699b78c239ca32a25ac7810e93d41ce35fefbd0e2963,acf681483b5e190c72c67e9bc8c336d3a9ed9a167f437a7b737717350eece619,7e064f1ed2e7e0309b821f8d9983573d0512a457dc385ce009e9deeea77245ae,914e9936ae04ffda8209c368aa2a1d55ead95640a0cfd5bb52802a3b5e0533e7
NYU__window140_12,results/runs/12/NYU_rois12_w60s6_brainnetcnn_control_baseline_v13_3e220e5c,results/runs/12/NYU_rois12_w70s6_brainnetcnn_rev32_window140_step12_d236544e,177,87,90,10000,42,PCG64,0.5904725415070243,0.5381558109833972,0.6432445721583653,0.5577777777777777,0.5066915708812261,0.6092515964240102,-0.03269476372924662,-0.0653895274584928,0.0006909323116219731,b4af0f109c6f9c156a00699b78c239ca32a25ac7810e93d41ce35fefbd0e2963,61b62d696d9edcd131ff636211e55dde65a321fd63923820d2001496e35b8aa6,7e064f1ed2e7e0309b821f8d9983573d0512a457dc385ce009e9deeea77245ae,3c04ac1de9c2d324c5c0287d00e993f5b41a5b12d3f140a37f12e026fda2cdec
NeuroIMAGE__static,results/runs/12/NeuroIMAGE_rois12_w61s6_brainnetcnn_control_baseline_v13_2b729a8c,results/runs/12/NeuroIMAGE_rois12_static_brainnetcnn_rev32_static_r12_2dcba12c,39,22,17,10000,42,PCG64,0.4737967914438503,0.37326203208556147,0.5732620320855615,0.527807486631016,0.4449197860962567,0.6133689839572193,0.05401069518716567,-0.06310160427807476,0.17381016042780736,72058547e68803bc05fe1ba6b8eb5d639e5471e336a9742b90d50bb87888e876,78acebdd12eb21d03a2eb81e4e5bb2804df75d54bfde5a815452dfb8ad90866e,602d1ff5c85a2eec861bbbaee2fab0c332b25a0bbaad5c93cd5fbada819512e0,5bf623935a0f00f1e4bc5b7b967efe726e763c329f549376f976fc8b7c257321
OHSU__static,results/runs/12/OHSU_rois12_w48s5_brainnetcnn_control_baseline_v13_1a7c37ce,results/runs/12/OHSU_rois12_static_brainnetcnn_rev32_lstm128_ordered_85129048,66,38,28,10000,42,PCG64,0.549248120300752,0.47105263157894733,0.6244360902255639,0.5148496240601504,0.43928571428571433,0.5866541353383459,-0.03439849624060154,-0.10864661654135338,0.041165413533834516,a0fe3b52e10e168af48f403d9edca2d6e9cd3e085a842199a382abd921f4ca37,6e0782ca6344485549f2515cca7167056ae7e97bdb5b9115e33108c4a5f84362,4038ae2854d8e14d0298e3b8b1f6dbcdf84913335fbc24c2aa8258c3f9ddd004,93f3c96cddf548b855654175eed2a4d409e71e9847720028b33708f03929f6e3
Peking__lstm128,results/runs/12/Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,results/runs/12/Peking_rois12_w60s6_lstm_rev32_lstm128_ordered_38b74bdf,183,109,74,10000,42,PCG64,0.5637490701710886,0.5068162658070915,0.6210798413091991,0.5627572526655096,0.5022315893875527,0.6215478551946442,-0.0009918175055789735,-0.046839201586907984,0.04440924869823944,a82502af96a13e00dca79c189fc686c49631645ff0afedcab2ef9ca21d0620b1,1af63e5fe6f93fd0f640c298e353c34ef2cafd2e4ed797d73ae305f9837d3a8d,ed21750627a544595040d0efcd22a295140f929b9f98d2b8529e4c78e22e83f8,0c681a1b0ef0da561205ce1fc42c99f28f1384afd0defdff024dd99269ae7db3
Peking__static,results/runs/12/Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,results/runs/12/Peking_rois12_static_brainnetcnn_rev32_lstm128_ordered_61d3f2af,183,109,74,10000,42,PCG64,0.5637490701710886,0.5068162658070915,0.6210798413091991,0.528861889412348,0.4833622613439128,0.5744365236796429,-0.03488718075874053,-0.08264319365236794,0.012745474832630731,a82502af96a13e00dca79c189fc686c49631645ff0afedcab2ef9ca21d0620b1,52ff9189d6062747aa4d5506c06b96835f2a4af331228cd8e5dbf7defda5dba2,ed21750627a544595040d0efcd22a295140f929b9f98d2b8529e4c78e22e83f8,887405214d92a57d8395ffcdbfc9a77ee59c2f4b8db794810dedb5045cfcf1dd
Peking__window120_24,results/runs/12/Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,results/runs/12/Peking_rois12_w60s12_brainnetcnn_rev32_window120_step24_43775a9b,183,109,74,10000,42,PCG64,0.5637490701710886,0.5068162658070915,0.6210798413091991,0.5552690304983883,0.49789176791470374,0.6113563104388793,-0.00848003967270028,-0.046070543020084356,0.03002727498140345,a82502af96a13e00dca79c189fc686c49631645ff0afedcab2ef9ca21d0620b1,bcece05589a9198aa7494f96e7544a31c9eaf05401e21ebfb36c10216a0566b3,ed21750627a544595040d0efcd22a295140f929b9f98d2b8529e4c78e22e83f8,224e76082c1fccca3905b250b28f008d807adcbed3c5e26922038c27f32c6600
Peking__window140_12,results/runs/12/Peking_rois12_w60s6_brainnetcnn_control_baseline_v13_bc841110,results/runs/12/Peking_rois12_w70s6_brainnetcnn_rev32_window140_step12_24b0ab4f,183,109,74,10000,42,PCG64,0.5637490701710886,0.5068162658070915,0.6210798413091991,0.5598313910240516,0.49977560128936277,0.6204072650632284,-0.003917679147037001,-0.03173878006446814,0.02432494421026528,a82502af96a13e00dca79c189fc686c49631645ff0afedcab2ef9ca21d0620b1,1d0eb6944d71f22e160083f166269f2e81c4bf1b043902370b82c4eabbfefbde,ed21750627a544595040d0efcd22a295140f929b9f98d2b8529e4c78e22e83f8,fe9de9a8675bc3bbdfc0414ddd18e44d3443f280f095a99fcb543a6def243bcb
