contrast_id,delta_v3,delta_recomputed,ci_low_v3,ci_low_recomputed,ci_high_v3,ci_high_recomputed,displayed_value_changed,status
NYU__lstm128,-6.4853,-6.4853,-10.94,-10.94,-1.9923,-1.9923,False,OK_MATCH
NYU__static,-4.0536,-4.0536,-8.1994,-8.1994,0.184,0.184,False,OK_MATCH
NYU__window120_24,-4.6948,-4.6948,-8.6207,-8.6207,-0.8119,-0.8119,False,OK_MATCH
NYU__window140_12,-3.2695,-3.2695,-6.539,-6.539,0.0691,0.0691,False,OK_MATCH
NeuroIMAGE__static,5.4011,5.4011,-6.3102,-6.3102,17.381,17.381,False,OK_MATCH
OHSU__static,-3.4398,-3.4398,-10.8647,-10.8647,4.1165,4.1165,False,OK_MATCH
Peking__lstm128,-0.0992,-0.0992,-4.6839,-4.6839,4.4409,4.4409,False,OK_MATCH
Peking__static,-3.4887,-3.4887,-8.2643,-8.2643,1.2745,1.2745,False,OK_MATCH
Peking__window120_24,-0.848,-0.848,-4.6071,-4.6071,3.0027,3.0027,False,OK_MATCH
Peking__window140_12,-0.3918,-0.3918,-3.1739,-3.1739,2.4325,2.4325,False,OK_MATCH
baseline__NYU__roi116,2.3883,2.3883,-3.8264,-3.8264,8.6056,8.6056,False,OK_MATCH
baseline__NYU__roi12,2.5134,2.5134,-4.6974,-4.6974,9.5252,9.5252,False,OK_MATCH
baseline__NYU__roi18,-3.908,-3.908,-11.0192,-11.0192,3.0447,3.0447,False,OK_MATCH
baseline__NYU__roi39,0.1226,0.1226,-6.2174,-6.2174,6.5364,6.5364,False,OK_MATCH
baseline__NeuroIMAGE__roi116,3.0481,3.0481,-10.6952,-10.6952,17.1658,17.1658,False,OK_MATCH
baseline__NeuroIMAGE__roi12,10.4278,10.4278,-5.3476,-5.3476,25.8837,25.8837,False,OK_MATCH
baseline__NeuroIMAGE__roi18,-5.508,-5.508,-19.893,-19.893,8.877,8.877,False,OK_MATCH
baseline__NeuroIMAGE__roi39,0.3743,0.3743,-14.2246,-14.2246,14.7607,14.7607,False,OK_MATCH
baseline__OHSU__roi116,-1.203,-1.203,-10.5639,-10.5639,8.1203,8.1203,False,OK_MATCH
baseline__OHSU__roi12,-1.8985,-1.8985,-13.4591,-13.4591,10.4135,10.4135,False,OK_MATCH
baseline__OHSU__roi18,10.6391,10.6391,-0.7336,-0.7336,21.5611,21.5611,False,OK_MATCH
baseline__OHSU__roi39,-13.8346,-13.8346,-23.3271,-23.3271,-4.6805,-4.6805,False,OK_MATCH
baseline__Peking__roi116,-1.1009,-1.1009,-7.3717,-7.3717,5.3039,5.3039,False,OK_MATCH
baseline__Peking__roi12,6.3303,6.3303,-1.1084,-1.1084,13.9451,13.9451,False,OK_MATCH
baseline__Peking__roi18,-6.3154,-6.3154,-13.7692,-13.7692,1.2598,1.2598,False,OK_MATCH
baseline__Peking__roi39,0.1562,0.1562,-6.1818,-6.1818,6.5163,6.5163,False,OK_MATCH
