site,roi_set,metric,estimate,bilateral_ci_low,bilateral_ci_high
NYU,12,balanced_accuracy,0.5744827586206896,0.5338295019157089,0.6155191570881225
NYU,12,f1_macro,0.5730765694761701,0.5317992644368601,0.6138066004174348
NYU,12,sensitivity,0.5466666666666666,0.49111111111111105,0.6022222222222222
NYU,12,specificity,0.6022988505747126,0.5425287356321838,0.6620689655172413
NYU,18,balanced_accuracy,0.5670114942528736,0.5251340996168583,0.6088132183908046
NYU,18,f1_macro,0.5659773997483648,0.5232982808999787,0.607562802788851
NYU,18,sensitivity,0.58,0.5199999999999999,0.6377777777777778
NYU,18,specificity,0.5540229885057472,0.4919540229885058,0.6137931034482759
NYU,39,balanced_accuracy,0.5226819923371647,0.48199233716475104,0.56252969348659
NYU,39,f1_macro,0.5205691080789169,0.4794256817595712,0.5598482859091924
NYU,39,sensitivity,0.4844444444444444,0.43111111111111117,0.5355555555555556
NYU,39,specificity,0.5609195402298851,0.5011494252873563,0.6206896551724138
NYU,116,balanced_accuracy,0.5309195402298851,0.4899990421455939,0.5712643678160919
NYU,116,f1_macro,0.5304232835241285,0.48867089582492884,0.570247083047063
NYU,116,sensitivity,0.54,0.4888888888888888,0.5933333333333333
NYU,116,specificity,0.5218390804597701,0.45747126436781615,0.5839080459770114
Peking,12,balanced_accuracy,0.5411232333250682,0.4967638854450781,0.5855836226134392
Peking,12,f1_macro,0.5394174039340709,0.49421928443875246,0.5831734569190604
Peking,12,sensitivity,0.46756756756756757,0.4,0.5378378378378378
Peking,12,specificity,0.6146788990825688,0.5577981651376146,0.6697247706422018
Peking,18,balanced_accuracy,0.5397718819737168,0.4921767294817753,0.5868336226134391
Peking,18,f1_macro,0.5388530157017513,0.49078210466127054,0.5847464621468405
Peking,18,sensitivity,0.46486486486486484,0.3918918918918919,0.5405405405405406
Peking,18,specificity,0.6146788990825688,0.5559633027522936,0.673394495412844
Peking,39,balanced_accuracy,0.6031490205802132,0.5577721299280933,0.647074138358542
Peking,39,f1_macro,0.6009608000064126,0.5553463608241885,0.6438744537214282
Peking,39,sensitivity,0.5567567567567567,0.4864864864864865,0.6270270270270271
Peking,39,specificity,0.6495412844036698,0.5944954128440367,0.7045871559633027
Peking,116,balanced_accuracy,0.580895115298785,0.5353827795685594,0.6262720059509049
Peking,116,f1_macro,0.5786210219842168,0.5328792662775543,0.6228641105758239
Peking,116,sensitivity,0.5324324324324324,0.45675675675675687,0.6054054054054054
Peking,116,specificity,0.6293577981651376,0.5743119266055046,0.6844036697247706
NeuroIMAGE,12,balanced_accuracy,0.4433155080213903,0.3633689839572192,0.5243382352941174
NeuroIMAGE,12,f1_macro,0.43362419863963747,0.3495350116559465,0.5124008479964778
NeuroIMAGE,12,sensitivity,0.3411764705882353,0.24705882352941178,0.4470588235294118
NeuroIMAGE,12,specificity,0.5454545454545454,0.41818181818181815,0.6727272727272726
NeuroIMAGE,18,balanced_accuracy,0.5764705882352941,0.4852941176470589,0.66524064171123
NeuroIMAGE,18,f1_macro,0.5721638992626232,0.4786276185797685,0.6593615889521116
NeuroIMAGE,18,sensitivity,0.5529411764705883,0.411764705882353,0.6823529411764706
NeuroIMAGE,18,specificity,0.6,0.4818181818181818,0.7181818181818181
NeuroIMAGE,39,balanced_accuracy,0.5371657754010695,0.4655080213903743,0.6120387700534758
NeuroIMAGE,39,f1_macro,0.5351832290841391,0.45702177458928755,0.61015365726677
NeuroIMAGE,39,sensitivity,0.4470588235294118,0.3411764705882353,0.5647058823529412
NeuroIMAGE,39,specificity,0.6272727272727272,0.5363636363636364,0.7181818181818183
NeuroIMAGE,116,balanced_accuracy,0.5032085561497326,0.4262032085561497,0.5834291443850266
NeuroIMAGE,116,f1_macro,0.500418020736076,0.4180848956873648,0.5799704727332977
NeuroIMAGE,116,sensitivity,0.388235294117647,0.2705882352941177,0.5176470588235295
NeuroIMAGE,116,specificity,0.6181818181818182,0.5181818181818182,0.7090909090909092
OHSU,12,balanced_accuracy,0.5357142857142858,0.4765037593984962,0.5941729323308269
OHSU,12,f1_macro,0.5329140253781055,0.46981107780125025,0.5913722547379364
OHSU,12,sensitivity,0.4714285714285714,0.3857142857142857,0.5642857142857143
OHSU,12,specificity,0.6,0.5210526315789473,0.6789473684210526
OHSU,18,balanced_accuracy,0.5107142857142857,0.4498073308270676,0.5727443609022557
OHSU,18,f1_macro,0.5054201091429216,0.4420434377260374,0.566312815706569
OHSU,18,sensitivity,0.4214285714285714,0.32857142857142857,0.5142857142857142
OHSU,18,specificity,0.6,0.5210526315789473,0.6789473684210525
OHSU,39,balanced_accuracy,0.46954887218045105,0.3921005639097744,0.549436090225564
OHSU,39,f1_macro,0.466812088895432,0.3880433491350425,0.5438947502792484
OHSU,39,sensitivity,0.42857142857142855,0.3071428571428571,0.5571428571428572
OHSU,39,specificity,0.5105263157894736,0.41578947368421043,0.605263157894737
OHSU,116,balanced_accuracy,0.5415413533834587,0.4791353383458647,0.604515977443609
OHSU,116,f1_macro,0.5366167474838923,0.4741441913601636,0.5961864909021486
OHSU,116,sensitivity,0.5357142857142857,0.42857142857142855,0.6428571428571429
OHSU,116,specificity,0.5473684210526316,0.4736842105263158,0.6157894736842106
