site,metric,contrast,left_roi,right_roi,estimate,bilateral_ci_low,bilateral_ci_high
NYU,auc,12-18,12,18,-0.009501915708812203,-0.05609323116219678,0.03739591315453382
NYU,balanced_accuracy,12-18,12,18,0.007471264367816088,-0.03344923371647502,0.0482385057471264
NYU,f1_macro,12-18,12,18,0.007099169727805332,-0.03402189854112421,0.048278171839015636
NYU,sensitivity,12-18,12,18,-0.033333333333333326,-0.09333333333333338,0.026666666666666727
NYU,specificity,12-18,12,18,0.04827586206896539,-0.006896551724137834,0.10344827586206884
NYU,auc,12-39,12,39,0.0621711366538954,0.0025996168582375963,0.12268199233716459
NYU,balanced_accuracy,12-39,12,39,0.051800766283524924,0.005094827586206939,0.09958045977011497
NYU,f1_macro,12-39,12,39,0.05250746139725326,0.0058616970203293015,0.1007266173257873
NYU,sensitivity,12-39,12,39,0.062222222222222234,-0.004444444444444473,0.13111111111111112
NYU,specificity,12-39,12,39,0.04137931034482745,-0.025287356321839094,0.10804597701149421
NYU,auc,18-39,18,39,0.0716730523627076,0.010648786717752042,0.13116538952745846
NYU,balanced_accuracy,18-39,18,39,0.044329501915708835,-0.006745210727969415,0.09340996168582372
NYU,f1_macro,18-39,18,39,0.04540829166944793,-0.005958212663681003,0.09441430331730657
NYU,sensitivity,18-39,18,39,0.09555555555555556,0.02444444444444438,0.16666666666666674
NYU,specificity,18-39,18,39,-0.006896551724137945,-0.07816091954022986,0.06206896551724139
NYU,auc,18-116,18,116,0.06066411238825031,0.005772669220945101,0.1168071519795657
NYU,balanced_accuracy,18-116,18,116,0.03609195402298848,-0.010383141762452142,0.08310344827586202
NYU,f1_macro,18-116,18,116,0.03555411622423632,-0.011085761086601668,0.0829661850054044
NYU,sensitivity,18-116,18,116,0.039999999999999925,-0.02444444444444438,0.10444444444444434
NYU,specificity,18-116,18,116,0.03218390804597704,-0.03678160919540219,0.10114942528735632
NYU,auc,39-116,39,116,-0.011008939974457288,-0.06630970625798216,0.044471264367816114
NYU,balanced_accuracy,39-116,39,116,-0.008237547892720354,-0.05302873563218397,0.03666666666666668
NYU,f1_macro,39-116,39,116,-0.00985417544521161,-0.05467439821053791,0.03526363172102362
NYU,sensitivity,39-116,39,116,-0.055555555555555636,-0.11333333333333329,0.0022222222222222365
NYU,specificity,39-116,39,116,0.039080459770114984,-0.029885057471264465,0.110344827586207
Peking,auc,12-18,12,18,-0.0037689065212002104,-0.05370691792710136,0.04535147532853962
Peking,balanced_accuracy,12-18,12,18,0.0013513513513513375,-0.045041842301016655,0.046777522935779685
Peking,f1_macro,12-18,12,18,0.0005643882323196348,-0.04565878675437999,0.04577821253787612
Peking,sensitivity,12-18,12,18,0.0027027027027027306,-0.07027027027027039,0.07567567567567568
Peking,specificity,12-18,12,18,0.0,-0.053211009174311874,0.05504587155963303
Peking,auc,12-39,12,39,-0.058467641953880545,-0.12921088519712376,0.011183982147285016
Peking,balanced_accuracy,12-39,12,39,-0.06202578725514507,-0.11709676419538793,-0.007240267790726504
Peking,f1_macro,12-39,12,39,-0.061543396072341716,-0.11722568780681725,-0.006592739976735108
Peking,sensitivity,12-39,12,39,-0.08918918918918917,-0.1702702702702703,-0.005405405405405461
Peking,specificity,12-39,12,39,-0.034862385321100975,-0.10825688073394502,0.03853211009174318
Peking,auc,18-39,18,39,-0.054698735432680334,-0.12033287875030992,0.010886436895611216
Peking,balanced_accuracy,18-39,18,39,-0.06337713860649641,-0.11729605752541532,-0.008193962310934897
Peking,f1_macro,18-39,18,39,-0.06210778430466135,-0.11513207127957624,-0.007592196462757088
Peking,sensitivity,18-39,18,39,-0.0918918918918919,-0.17567567567567566,-0.008108108108108025
Peking,specificity,18-39,18,39,-0.034862385321100975,-0.10275229357798166,0.031192660550458773
Peking,auc,18-116,18,116,-0.03577981651376139,-0.09697867592363009,0.023038060996776518
Peking,balanced_accuracy,18-116,18,116,-0.041123233325068176,-0.09440986858418048,0.010860401686089816
Peking,f1_macro,18-116,18,116,-0.03976800628246557,-0.09328115266167816,0.01231767455529494
Peking,sensitivity,18-116,18,116,-0.0675675675675676,-0.15135135135135125,0.016216216216216273
Peking,specificity,18-116,18,116,-0.014678899082568808,-0.07894495412844049,0.04954128440366967
Peking,auc,39-116,39,116,0.018918918918918948,-0.0343925117778328,0.07225390528142817
Peking,balanced_accuracy,39-116,39,116,0.022253905281428232,-0.022353087031986133,0.06584552442350602
Peking,f1_macro,39-116,39,116,0.022339778022195778,-0.022088581749332637,0.06600303758790713
Peking,sensitivity,39-116,39,116,0.024324324324324298,-0.043243243243243246,0.09189189189189184
Peking,specificity,39-116,39,116,0.020183486238532167,-0.03669724770642213,0.07706422018348624
NeuroIMAGE,auc,12-18,12,18,-0.14598930481283423,-0.2577540106951871,-0.03796791443850267
NeuroIMAGE,balanced_accuracy,12-18,12,18,-0.13315508021390376,-0.2318181818181818,-0.03663101604278085
NeuroIMAGE,f1_macro,12-18,12,18,-0.13853970062298576,-0.23984810245708774,-0.0412538627697374
NeuroIMAGE,sensitivity,12-18,12,18,-0.21176470588235297,-0.3411764705882353,-0.08235294117647057
NeuroIMAGE,specificity,12-18,12,18,-0.054545454545454564,-0.20000000000000018,0.0818181818181819
NeuroIMAGE,auc,12-39,12,39,-0.033689839572192515,-0.15775401069518724,0.09304812834224596
NeuroIMAGE,balanced_accuracy,12-39,12,39,-0.09385026737967916,-0.19358288770053467,0.0029411764705882274
NeuroIMAGE,f1_macro,12-39,12,39,-0.1015590304445016,-0.20577503970862687,0.00021707732826897332
NeuroIMAGE,sensitivity,12-39,12,39,-0.10588235294117648,-0.2588235294117647,0.035294117647058865
