site,roi_a,roi_b,mean_diff_auc,n_pairs_used,wilcoxon_statistic,p_value_raw,p_value_holm,reject_holm_alpha05
NYU,12,18,-0.009501915708812226,5,5.0,0.625,1.0,False
NYU,12,39,0.06217113665389533,5,0.0,0.0625,0.375,False
NYU,12,116,0.05116219667943809,5,0.0,0.0625,0.375,False
NYU,18,39,0.07167305236270756,5,0.0,0.0625,0.375,False
NYU,18,116,0.06066411238825031,5,0.0,0.0625,0.375,False
NYU,39,116,-0.011008939974457243,5,5.0,0.625,1.0,False
Peking,12,18,-0.003768906521200166,5,7.0,1.0,1.0,False
Peking,12,39,-0.0584676419538805,5,3.0,0.3125,0.9375,False
Peking,12,116,-0.0395487230349616,5,1.0,0.125,0.625,False
Peking,18,39,-0.054698735432680334,5,1.0,0.125,0.625,False
Peking,18,116,-0.03577981651376143,5,0.0,0.0625,0.375,False
Peking,39,116,0.018918918918918903,5,5.0,0.625,1.0,False
NeuroIMAGE,12,18,-0.1459893048128343,5,0.0,0.0625,0.375,False
NeuroIMAGE,12,39,-0.03368983957219255,5,6.0,0.8125,1.0,False
NeuroIMAGE,12,116,-0.045454545454545484,5,3.0,0.3125,0.9375,False
NeuroIMAGE,18,39,0.11229946524064172,5,0.0,0.0625,0.375,False
NeuroIMAGE,18,116,0.10053475935828877,5,1.5,0.1875,0.75,False
NeuroIMAGE,39,116,-0.011764705882352932,5,7.0,1.0,1.0,False
OHSU,12,18,0.02706766917293234,5,5.0,0.625,1.0,False
OHSU,12,39,0.047932330827067694,5,0.0,0.0625,0.375,False
OHSU,12,116,-0.009022556390977442,5,5.0,0.625,1.0,False
OHSU,18,39,0.020864661654135353,5,5.0,0.625,1.0,False
OHSU,18,116,-0.036090225563909784,5,4.0,0.4375,1.0,False
OHSU,39,116,-0.05695488721804513,5,0.0,0.0625,0.375,False
