site,roi_set,n_participants,recomputed_auc_mean_prob_method,table4_auc_mean_of_5_reps_method,abs_diff
NYU,12,177,0.6397190293742017,0.5904725415070243,0.049246487867177335
NYU,18,177,0.652043422733078,0.5999744572158365,0.052068965517241494
NYU,39,177,0.5448914431673053,0.5283014048531289,0.01659003831417638
NYU,116,177,0.5669220945083014,0.5393103448275862,0.027611749680715225
Peking,12,183,0.6084800396727003,0.5637490701710884,0.04473096950161182
Peking,18,183,0.5825068187453508,0.5675179766922887,0.014988842053062168
Peking,39,183,0.675613687081577,0.622216712124969,0.053396974956608
Peking,116,183,0.641086040168609,0.60329779320605,0.037788246962559
NeuroIMAGE,12,39,0.47593582887700536,0.4737967914438502,0.0021390374331551887
NeuroIMAGE,18,39,0.7192513368983958,0.6197860962566845,0.09946524064171136
NeuroIMAGE,39,39,0.4812834224598931,0.5074866310160427,0.02620320855614966
NeuroIMAGE,116,39,0.5387700534759359,0.5192513368983958,0.01951871657754012
OHSU,12,66,0.5911654135338346,0.5492481203007519,0.041917293233082686
OHSU,18,66,0.5531015037593984,0.5221804511278195,0.03092105263157885
OHSU,39,66,0.4929511278195489,0.5013157894736843,0.008364661654135352
OHSU,116,66,0.5798872180451128,0.5582706766917294,0.021616541353383423
