fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.7089238166809082,0.7089238166809082,135,24,18,,,0.7009624100541826,0.44025157232704404,0.43922127255460586,0.45454545454545453,0.49382716049382713,0.38461538461538464,0.47337278106508873,0.438028672411739,0.4542576764798987,40,30,48,41
2,1,26,1,val_loss,0.6726536750793457,0.6726536750793457,135,24,18,,,0.6852191326666105,0.5660377358490566,0.5598290598290598,0.5454545454545454,0.8888888888888888,0.23076923076923078,0.676056338028169,0.509456740442656,0.5667932890155112,72,18,60,9
3,1,53,28,val_loss,0.6848597526550293,0.6848597526550293,135,24,18,,,0.6503628463750448,0.6415094339622641,0.6424501424501424,0.6666666666666666,0.5925925925925926,0.6923076923076923,0.6274509803921569,0.6409982174688057,0.733934789490345,48,54,24,33
4,1,96,71,val_loss,0.6102210879325867,0.6102210879325867,135,24,18,,,0.5341192345692553,0.7232704402515723,0.7226970560303894,0.7176470588235294,0.7530864197530864,0.6923076923076923,0.7349397590361446,0.7227330374128091,0.8097499208610319,61,54,24,20
5,1,26,1,val_loss,0.6967768669128418,0.6967768669128418,135,24,18,,,0.6960852239686082,0.48427672955974843,0.48171889838556503,0.49504950495049505,0.6172839506172839,0.34615384615384615,0.5494505494505495,0.4732546864899806,0.5015827793605571,50,27,51,31
6,1,51,26,val_loss,0.6824851632118225,0.6824851632118225,135,24,18,,,0.6432083702544369,0.6226415094339622,0.6189458689458689,0.5945945945945946,0.8148148148148148,0.4230769230769231,0.6875,0.6056547619047619,0.7003798670465338,66,33,45,15
7,1,26,1,val_loss,0.687027633190155,0.687027633190155,135,24,18,,,0.6979402188206694,0.5094339622641509,0.5037986704653371,0.5118110236220472,0.8024691358024691,0.20512820512820512,0.625,0.45795454545454545,0.5045900601456157,65,16,62,16
8,1,53,28,val_loss,0.6697970032691956,0.6697970032691956,136,24,17,,,0.6402447540045283,0.64375,0.6439287388654478,0.6538461538461539,0.6296296296296297,0.6582278481012658,0.6415094339622641,0.6437360834407594,0.720112517580872,51,52,27,30
9,1,28,3,val_loss,0.7331355214118958,0.7331355214118958,136,24,17,,,0.6896517102466421,0.55625,0.5518831067354274,0.5367647058823529,0.9012345679012346,0.20253164556962025,0.6728110599078341,0.49174533577915974,0.5403969370214096,73,16,63,8
10,1,26,1,val_loss,0.6831901669502258,0.6831901669502258,136,24,17,,,0.6918448281629589,0.4875,0.4844506954211596,0.4957983193277311,0.7283950617283951,0.24050632911392406,0.59,0.4533333333333333,0.519612439443663,59,19,60,22
11,2,26,1,val_loss,0.6817535758018494,0.6817535758018494,135,24,18,,,0.6943418818623752,0.5283018867924528,0.5225546058879392,0.5234375,0.8271604938271605,0.21794871794871795,0.6411483253588517,0.47653746543171943,0.49968344412788857,67,17,61,14
12,2,27,2,val_loss,0.6931688785552979,0.6931688785552979,135,24,18,,,0.69618587682186,0.49056603773584906,0.48836657169990505,0.5,0.6049382716049383,0.3717948717948718,0.547486033519553,0.4823761102849564,0.48828743273187714,49,29,49,32
13,2,43,18,val_loss,0.6988305449485779,0.6988305449485779,135,24,18,,,0.666017471543635,0.6352201257861635,0.6350902184235517,0.6419753086419753,0.6419753086419753,0.6282051282051282,0.6419753086419753,0.6350902184235517,0.6411839189616967,52,49,29,29
14,2,72,47,val_loss,0.6589800715446472,0.6589800715446472,135,24,18,,,0.6087764879367286,0.7044025157232704,0.7039411206077872,0.7023809523809523,0.7283950617283951,0.6794871794871795,0.7151515151515152,0.7039809863339275,0.733934789490345,59,53,25,22
15,2,80,55,val_loss,0.6199595332145691,0.6199595332145691,135,24,18,,,0.5490193651508554,0.7295597484276729,0.7288698955365622,0.7209302325581395,0.7654320987654321,0.6923076923076923,0.7425149700598802,0.7288733790696752,0.7943969610636277,62,54,24,19
16,2,27,2,val_loss,0.7002522349357605,0.7002522349357605,135,24,18,,,0.6983633010503878,0.5031446540880503,0.49667616334283,0.5074626865671642,0.8395061728395061,0.15384615384615385,0.6325581395348837,0.4327839241363739,0.49034504590060146,68,12,66,13
17,2,42,17,val_loss,0.6602723002433777,0.6602723002433777,135,24,18,,,0.6555648077972431,0.6352201257861635,0.6339031339031339,0.6263736263736264,0.7037037037037037,0.5641025641025641,0.6627906976744186,0.632765211850908,0.6834441278885723,57,44,34,24
18,2,26,1,val_loss,0.7015243172645569,0.7015243172645569,136,24,17,,,0.7011030064933059,0.46875,0.4707766838568527,0.46296296296296297,0.30864197530864196,0.6329113924050633,0.37037037037037035,0.45545545545545546,0.4744491326769808,25,50,29,56
19,2,28,3,val_loss,0.7078779339790344,0.7078779339790344,136,24,17,,,0.691561307615266,0.51875,0.5179715580559463,0.5222222222222223,0.5802469135802469,0.45569620253164556,0.5497076023391813,0.5164645394246242,0.5288326300984529,47,36,43,34
