fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.8637396097183228,1.8637396097183228,135,24,18,,,0.5602398473357807,0.7295597484276729,0.7314814814814815,0.796875,0.6296296296296297,0.8333333333333334,0.7034482758620689,0.7274466812836355,0.8364988920544476,51,65,13,30
2,1,300,300,val_loss,2.0301496982574463,2.0301496982574463,135,24,18,,,0.47663518383216963,0.7861635220125787,0.7884615384615384,0.8852459016393442,0.6666666666666666,0.9102564102564102,0.7605633802816901,0.783690781049936,0.9197530864197531,54,71,7,27
3,1,300,300,val_loss,1.8800729513168335,1.8800729513168335,135,24,18,,,0.5212196670149204,0.7735849056603774,0.7725546058879392,0.7528089887640449,0.8271604938271605,0.717948717948718,0.788235294117647,0.772496025437202,0.871636593858816,67,56,22,14
4,1,300,300,val_loss,1.7989139556884766,1.7989139556884766,135,24,18,,,0.5230974278930314,0.7610062893081762,0.7647198480531814,0.9387755102040817,0.5679012345679012,0.9615384615384616,0.7076923076923077,0.7527823240589198,0.8884140550807216,46,75,3,35
5,1,300,300,val_loss,1.8292385339736938,1.8292385339736938,135,24,18,,,0.4699129985472042,0.8553459119496856,0.8542260208926875,0.8222222222222222,0.9135802469135802,0.7948717948717948,0.8654970760233918,0.8545172454946891,0.9172206394428616,74,62,16,7
6,1,300,300,val_loss,2.000779628753662,2.000779628753662,135,24,18,,,0.44958500289989617,0.8364779874213837,0.834045584045584,0.7722772277227723,0.9629629629629629,0.7051282051282052,0.8571428571428571,0.8329831932773109,0.9303577081354859,78,55,23,3
7,1,300,300,val_loss,2.0769436359405518,2.0769436359405518,135,24,18,,,0.5042251999858424,0.8113207547169812,0.8103038936372269,0.7865168539325843,0.8641975308641975,0.7564102564102564,0.8235294117647058,0.8104133545310015,0.889363722697056,70,59,19,11
8,1,300,300,val_loss,1.7818750143051147,1.7818750143051147,136,24,17,,,0.5050666336064328,0.825,0.8241912798874824,0.7912087912087912,0.8888888888888888,0.759493670886076,0.8372093023255814,0.8240100565681961,0.9160806375996249,72,60,19,9
9,1,300,300,val_loss,1.927639365196228,1.927639365196228,136,24,17,,,0.47663560048215564,0.83125,0.8317705891545554,0.8648648648648649,0.7901234567901234,0.8734177215189873,0.8258064516129032,0.8310850439882698,0.916705735271136,64,69,10,17
10,1,300,300,val_loss,1.75936758518219,1.75936758518219,136,24,17,,,0.5116788325246959,0.80625,0.807860603219253,0.9166666666666666,0.6790123456790124,0.9367088607594937,0.7801418439716312,0.8034787432148659,0.9040475074230347,55,74,5,26
11,2,300,300,val_loss,1.8047045469284058,1.8047045469284058,135,24,18,,,0.48816043538742243,0.7924528301886793,0.7886989553656221,0.7142857142857143,0.9876543209876543,0.5897435897435898,0.8290155440414507,0.7825077720207254,0.9390629946185501,80,46,32,1
12,2,300,300,val_loss,2.142479658126831,2.142479658126831,135,24,18,,,0.5394503461895255,0.7610062893081762,0.7637701804368471,0.8771929824561403,0.6172839506172839,0.9102564102564102,0.7246376811594203,0.7567632850241546,0.8776511554289331,50,71,7,31
13,2,300,298,val_loss,1.9963726997375488,1.9963726997375488,135,24,18,,,0.493542276583599,0.8113207547169812,0.813627730294397,0.9180327868852459,0.691358024691358,0.9358974358974359,0.7887323943661971,0.8091389244558258,0.9077239632795188,56,73,5,25
14,2,300,300,val_loss,1.800397276878357,1.800397276878357,135,24,18,,,0.5544940286943875,0.7484276729559748,0.7507122507122508,0.8360655737704918,0.6296296296296297,0.8717948717948718,0.7183098591549296,0.7455185659411012,0.852326685660019,51,68,10,30
15,2,300,300,val_loss,1.7751117944717407,1.7751117944717407,135,24,18,,,0.5372803859562081,0.8113207547169812,0.8138651471984806,0.9322033898305084,0.6790123456790124,0.9487179487179487,0.7857142857142857,0.8085874799357946,0.8994935106046217,55,74,4,26
