fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.797301173210144,1.797301173210144,139,25,19,0.8373493975903614,1.2410714285714286,0.4313098087980884,0.9024390243902439,0.9059987631416202,0.8472222222222222,0.9242424242424242,0.8877551020408163,0.8840579710144928,0.8999237223493517,0.9650587507730365,61,87,11,5
2,1,300,298,val_loss,2.639749050140381,2.639749050140381,139,25,19,0.8373493975903614,1.2410714285714286,0.3827397153643427,0.8963414634146342,0.8984230055658626,0.8450704225352113,0.9090909090909091,0.8877551020408163,0.8759124087591241,0.8934535865785149,0.9506802721088435,60,87,11,6
3,1,300,300,val_loss,2.0293076038360596,2.0293076038360596,139,25,19,0.8373493975903614,1.2410714285714286,0.38359163552979914,0.9451219512195121,0.9466604823747682,0.9130434782608695,0.9545454545454546,0.9387755102040817,0.9333333333333333,0.9433506044905009,0.9732529375386518,63,92,6,3
4,1,300,300,val_loss,1.9382836818695068,1.9382836818695068,140,25,18,0.8333333333333334,1.25,0.4022805862675465,0.9090909090909091,0.8964646464646464,0.9322033898305084,0.8333333333333334,0.9595959595959596,0.88,0.9034146341463415,0.9741352923171105,55,95,4,11
5,1,300,300,val_loss,1.7491642236709595,1.7491642236709595,140,25,18,0.8433734939759037,1.2280701754385965,0.3789023560552283,0.9454545454545454,0.942278403898873,0.9393939393939394,0.9253731343283582,0.9591836734693877,0.9323308270676691,0.9433227739399259,0.9703015534572037,62,94,4,5
6,1,300,300,val_loss,2.179847240447998,2.179847240447998,140,25,18,0.8433734939759037,1.2280701754385965,0.3624420428641268,0.9212121212121213,0.9242308863844045,0.875,0.9402985074626866,0.9081632653061225,0.9064748201438849,0.9192059964593771,0.9794395370088335,63,89,9,4
7,1,300,300,val_loss,2.4853949546813965,2.4853949546813965,140,25,18,0.8433734939759037,1.2280701754385965,0.37026714518403125,0.8666666666666667,0.8806731647883034,0.7710843373493976,0.9552238805970149,0.8061224489795918,0.8533333333333334,0.8655555555555556,0.9602497715504112,64,79,19,3
8,1,300,300,val_loss,2.238049030303955,2.238049030303955,140,25,18,0.8433734939759037,1.2280701754385965,0.46099570924611694,0.8909090909090909,0.8869174535485835,0.8656716417910447,0.8656716417910447,0.9081632653061225,0.8656716417910447,0.8869174535485835,0.9313128236369175,58,89,9,9
9,1,300,300,val_loss,2.2465929985046387,2.2465929985046387,140,25,18,0.8433734939759037,1.2280701754385965,0.4188884115083381,0.9333333333333333,0.9344349680170576,0.9,0.9402985074626866,0.9285714285714286,0.9197080291970803,0.9313566052721153,0.9710630520865062,63,91,7,4
10,1,300,300,val_loss,1.8561890125274658,1.8561890125274658,140,25,18,0.8433734939759037,1.2280701754385965,0.3643761749507973,0.9393939393939394,0.9371763630825465,0.9253731343283582,0.9253731343283582,0.9489795918367347,0.9253731343283582,0.9371763630825465,0.9552238805970148,62,93,5,5
11,2,300,300,val_loss,1.8745460510253906,1.8745460510253906,139,25,19,0.8373493975903614,1.2410714285714286,0.47231233002399514,0.7987804878048781,0.8266852195423624,0.6736842105263158,0.9696969696969697,0.6836734693877551,0.7950310559006211,0.7987131327407297,0.9696969696969697,64,67,31,2
12,2,300,300,val_loss,2.416630506515503,2.416630506515503,139,25,19,0.8373493975903614,1.2410714285714286,0.38907443866606306,0.926829268292683,0.9140383426097711,0.9655172413793104,0.8484848484848485,0.9795918367346939,0.9032258064516129,0.922201138519924,0.9661410018552876,56,96,2,10
13,2,300,300,val_loss,2.224555015563965,2.224555015563965,139,25,19,0.8373493975903614,1.2410714285714286,0.36798560136649966,0.9146341463414634,0.9137291280148423,0.8823529411764706,0.9090909090909091,0.9183673469387755,0.8955223880597015,0.9116787198030467,0.9641311069882499,60,90,8,6
14,2,300,300,val_loss,1.8143742084503174,1.8143742084503174,140,25,18,0.8333333333333334,1.25,0.3938941809540823,0.9454545454545454,0.9444444444444444,0.9253731343283582,0.9393939393939394,0.9494949494949495,0.9323308270676691,0.9433227739399259,0.9842363024181205,62,94,5,4
15,2,300,300,val_loss,1.9077887535095215,1.9077887535095215,140,25,18,0.8433734939759037,1.2280701754385965,0.36516882598182665,0.9272727272727272,0.9246116356990557,0.9104477611940298,0.9104477611940298,0.9387755102040817,0.9104477611940298,0.9246116356990557,0.9671032592141333,61,92,6,6
