fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,298,val_loss,1.3700889348983765,1.3700889348983765,135,24,18,,,0.29156596459537376,0.9371069182389937,0.9361348528015194,0.898876404494382,0.9876543209876543,0.8846153846153846,0.9411764705882353,0.9368044515103339,0.9715099715099715,80,69,9,1
2,1,121,96,val_loss,1.8966494798660278,1.8966494798660278,135,24,18,,,0.4546865762503169,0.8553459119496856,0.8549382716049383,0.8452380952380952,0.8765432098765432,0.8333333333333334,0.8606060606060606,0.8551396316102198,0.9330484330484331,71,65,13,10
3,1,300,300,val_loss,1.455153465270996,1.455153465270996,135,24,18,,,0.2611225170243469,0.9308176100628931,0.9306742640075973,0.926829268292683,0.9382716049382716,0.9230769230769231,0.9325153374233128,0.9307737977439146,0.9852801519468186,76,72,6,5
4,1,300,294,val_loss,1.598892092704773,1.598892092704773,135,24,18,,,0.33720487441922636,0.9056603773584906,0.9062203228869896,0.9342105263157895,0.8765432098765432,0.9358974358974359,0.9044585987261147,0.9056454484313803,0.9639126305792972,71,73,5,10
5,1,300,300,val_loss,1.4845482110977173,1.4845482110977173,135,24,18,,,0.2775584765670372,0.9245283018867925,0.9245014245014245,0.9259259259259259,0.9259259259259259,0.9230769230769231,0.9259259259259259,0.9245014245014245,0.9754669199113644,75,72,6,6
6,1,152,127,val_loss,1.941530704498291,1.941530704498291,135,24,18,,,0.3969486716431045,0.8805031446540881,0.8820037986704654,0.9558823529411765,0.8024691358024691,0.9615384615384616,0.87248322147651,0.8800285929867757,0.9465020576131687,65,75,3,16
7,1,300,297,val_loss,1.5924720764160156,1.5924720764160156,135,24,18,,,0.2234195928661892,0.9685534591194969,0.9688983855650523,0.9871794871794872,0.9506172839506173,0.9871794871794872,0.9685534591194969,0.9685534591194969,0.9791073124406457,77,77,1,4
8,1,300,295,val_loss,1.485056757926941,1.485056757926941,136,24,17,,,0.2759220224642104,0.925,0.9245194561650257,0.896551724137931,0.9629629629629629,0.8860759493670886,0.9285714285714286,0.924812030075188,0.9753086419753086,78,70,9,3
9,1,83,58,val_loss,2.0230026245117188,2.0230026245117188,136,24,17,,,0.5573511192980869,0.80625,0.8058290357868416,0.7906976744186046,0.8395061728395061,0.7721518987341772,0.8143712574850299,0.8058784392000313,0.8559149867166745,68,61,18,13
10,1,300,300,val_loss,1.4240480661392212,1.4240480661392212,136,24,17,,,0.28607300611519726,0.9375,0.9376465072667604,0.9493670886075949,0.9259259259259259,0.9493670886075949,0.9375,0.9375,0.9832786372870762,75,75,4,6
11,2,300,299,val_loss,1.4297376871109009,1.4297376871109009,135,24,18,,,0.29203273451513795,0.9308176100628931,0.929724596391263,0.8888888888888888,0.9876543209876543,0.8717948717948718,0.935672514619883,0.930421291323547,0.9811649256093701,80,68,10,1
