fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.9025837182998657,1.9025837182998657,29,6,4,,,0.33317085258531076,0.9428571428571428,0.9473684210526316,0.8888888888888888,1.0,0.8947368421052632,0.9411764705882353,0.9428104575163399,0.9835526315789473,16,17,2,0
2,1,82,57,val_loss,2.1279168128967285,2.1279168128967285,29,6,4,,,0.6087615162079834,0.8571428571428571,0.8486842105263157,0.9230769230769231,0.75,0.9473684210526315,0.8275862068965517,0.8528174936921783,0.8914473684210527,12,18,1,4
3,1,112,87,val_loss,2.104163408279419,2.104163408279419,29,6,4,,,0.5581647469724015,0.8285714285714286,0.8416666666666667,0.7368421052631579,0.9333333333333333,0.75,0.8235294117647058,0.8284313725490196,0.96,14,15,5,1
4,1,300,300,val_loss,1.8006329536437988,1.8006329536437988,29,6,4,,,0.3481144641767489,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9966666666666666,13,20,0,2
5,1,150,125,val_loss,2.00732421875,2.00732421875,29,6,4,,,0.4042605485421775,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9633333333333333,13,19,1,2
6,1,300,300,val_loss,1.8299583196640015,1.8299583196640015,29,6,4,,,0.27921302767009804,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9933333333333334,13,20,0,2
7,1,164,139,val_loss,2.0655133724212646,2.0655133724212646,29,6,4,,,0.29626634536009705,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9866666666666666,13,19,1,2
8,1,147,122,val_loss,2.033371925354004,2.033371925354004,29,6,4,,,0.5153859071526082,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,1.0,0.8,0.8444444444444444,0.9966666666666666,10,20,0,5
9,1,300,300,val_loss,2.012554168701172,2.012554168701172,29,6,4,,,0.24098311573161496,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.9866666666666666,13,19,1,2
10,1,100,75,val_loss,2.1398379802703857,2.1398379802703857,30,6,3,,,0.5588407803604096,0.8055555555555556,0.80625,0.7647058823529411,0.8125,0.8,0.7878787878787878,0.8041958041958042,0.8968750000000001,13,16,4,3
11,2,38,13,val_loss,2.168128252029419,2.168128252029419,29,6,4,,,0.6575651393446889,0.6571428571428571,0.6398026315789473,0.7,0.4375,0.8421052631578947,0.5384615384615384,0.6328671328671329,0.736842105263158,7,16,3,9
12,2,57,32,val_loss,2.360849380493164,2.360849380493164,29,6,4,,,0.665477950518969,0.6285714285714286,0.6332236842105263,0.5789473684210527,0.6875,0.5789473684210527,0.6285714285714286,0.6285714285714286,0.6710526315789473,11,11,8,5
13,2,300,300,val_loss,1.9212689399719238,1.9212689399719238,29,6,4,,,0.2423705422145635,0.9142857142857143,0.9083333333333333,0.9285714285714286,0.8666666666666667,0.95,0.896551724137931,0.911690496215307,0.99,13,19,1,2
14,2,300,300,val_loss,1.9118537902832031,1.9118537902832031,29,6,4,,,0.34203103173243643,0.8857142857142857,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8833333333333333,0.9866666666666667,13,18,2,2
15,2,107,82,val_loss,2.042978286743164,2.042978286743164,29,6,4,,,0.590162551500538,0.8571428571428571,0.8500000000000001,0.8571428571428571,0.8,0.9,0.8275862068965517,0.8528174936921783,0.93,12,18,2,3
16,2,26,1,val_loss,2.1644487380981445,2.1644487380981445,29,6,4,,,0.684333795732538,0.5714285714285714,0.5666666666666667,0.5,0.5333333333333333,0.6,0.5161290322580645,0.56575682382134,0.5666666666666667,8,12,8,7
17,2,33,8,val_loss,2.1918811798095703,2.1918811798095703,29,6,4,,,0.7002545101007065,0.5428571428571428,0.5833333333333334,0.48148148148148145,0.8666666666666667,0.3,0.6190476190476191,0.5238095238095238,0.56,13,6,14,2
18,2,300,300,val_loss,1.8079005479812622,1.8079005479812622,29,6,4,,,0.3403452729777809,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9966666666666666,12,20,0,3
19,2,273,248,val_loss,1.949704647064209,1.949704647064209,29,6,4,,,0.3783646409710836,0.8571428571428571,0.8583333333333334,0.8125,0.8666666666666667,0.85,0.8387096774193549,0.8552522746071134,0.9733333333333334,13,17,3,2
20,2,300,300,val_loss,1.7657536268234253,1.7657536268234253,30,6,3,,,0.34064274975100467,0.9444444444444444,0.9375,1.0,0.875,1.0,0.9333333333333333,0.9428571428571428,0.9875,14,20,0,2
21,3,54,29,val_loss,2.1262013912200928,2.1262013912200928,29,6,4,,,0.6066685914139126,0.7142857142857143,0.7171052631578947,0.6666666666666666,0.75,0.6842105263157895,0.7058823529411765,0.7140522875816994,0.868421052631579,12,13,6,4
22,3,300,300,val_loss,1.7544437646865845,1.7544437646865845,29,6,4,,,0.3845797129114544,0.9142857142857143,0.90625,1.0,0.8125,1.0,0.896551724137931,0.911690496215307,0.9967105263157895,13,19,0,3
23,3,138,113,val_loss,2.0834431648254395,2.0834431648254395,29,6,4,,,0.4979366240398827,0.8857142857142857,0.8833333333333333,0.8666666666666667,0.8666666666666667,0.9,0.8666666666666667,0.8833333333333333,0.9833333333333333,13,18,2,2
24,3,55,30,val_loss,2.152811050415039,2.152811050415039,29,6,4,,,0.6173921475883332,0.8285714285714286,0.825,0.8,0.8,0.85,0.8,0.825,0.8733333333333333,12,17,3,3
25,3,210,185,val_loss,2.046696901321411,2.046696901321411,29,6,4,,,0.39663511154383063,0.9142857142857143,0.9,1.0,0.8,1.0,0.8888888888888888,0.9095607235142118,0.9833333333333333,12,20,0,3
26,3,300,300,val_loss,1.7612255811691284,1.7612255811691284,29,6,4,,,0.3592798792115348,0.9142857142857143,0.9166666666666667,0.875,0.9333333333333333,0.9,0.9032258064516129,0.913151364764268,0.99,14,18,2,1
27,3,45,20,val_loss,2.1861040592193604,2.1861040592193604,29,6,4,,,0.6201183183495435,0.6857142857142857,0.65,0.75,0.4,0.9,0.5217391304347826,0.6438482886216466,0.8233333333333334,6,18,2,9
