fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,95,70,val_loss,1.8674395084381104,1.8674395084381104,50,9,7,,,0.6265365039752151,0.7627118644067796,0.7464705882352941,0.7619047619047619,0.64,0.8529411764705882,0.6956521739130435,0.7506038647342995,0.7952941176470588,16,29,5,9
2,1,199,174,val_loss,1.8397696018218994,1.8397696018218994,50,9,7,,,0.4609220213005017,0.864406779661017,0.8558823529411765,0.8695652173913043,0.8,0.9117647058823529,0.8333333333333334,0.8595238095238096,0.9070588235294117,20,31,3,5
3,1,149,124,val_loss,1.7738853693008423,1.7738853693008423,50,9,7,,,0.5681753603875586,0.711864406779661,0.7394117647058824,0.6052631578947368,0.92,0.5588235294117647,0.7301587301587301,0.7105339105339106,0.92,23,19,15,2
4,1,300,300,val_loss,1.5921014547348022,1.5921014547348022,50,9,7,,,0.32226372370623063,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.98,23,33,1,2
5,1,300,300,val_loss,1.63825261592865,1.63825261592865,50,9,7,,,0.3329435198264814,0.9322033898305084,0.9305882352941177,0.92,0.92,0.9411764705882353,0.92,0.9305882352941177,0.9694117647058823,23,32,2,2
6,1,300,300,val_loss,1.7160824537277222,1.7160824537277222,50,9,7,,,0.2891887022206233,0.9491525423728814,0.9452941176470588,0.9583333333333334,0.92,0.9705882352941176,0.9387755102040817,0.9476486246672582,0.9647058823529412,23,33,1,2
7,1,147,122,val_loss,1.955668568611145,1.955668568611145,51,9,6,,,0.4664730928377746,0.8333333333333334,0.8171428571428572,0.8571428571428571,0.72,0.9142857142857143,0.782608695652174,0.8237367802585194,0.9177142857142857,18,32,3,7
8,1,114,89,val_loss,1.9208452701568604,1.9208452701568604,51,9,6,,,0.5712764813434964,0.7333333333333333,0.7314285714285714,0.6666666666666666,0.72,0.7428571428571429,0.6923076923076923,0.7285067873303167,0.8365714285714285,18,26,9,7
9,1,82,57,val_loss,1.9134771823883057,1.9134771823883057,51,9,6,,,0.6591996464568687,0.6333333333333333,0.6266968325791855,0.5769230769230769,0.5769230769230769,0.6764705882352942,0.5769230769230769,0.6266968325791855,0.6979638009049774,15,23,11,11
10,1,66,41,val_loss,1.8953050374984741,1.8953050374984741,51,9,6,,,0.6849413503211026,0.6,0.6108597285067874,0.5294117647058824,0.6923076923076923,0.5294117647058824,0.6,0.6,0.6074660633484164,18,18,16,8
11,2,113,88,val_loss,1.8820319175720215,1.8820319175720215,50,9,7,,,0.5795203832248004,0.8305084745762712,0.8211764705882353,0.8260869565217391,0.76,0.8823529411764706,0.7916666666666666,0.8244047619047619,0.8588235294117648,19,30,4,6
