fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,298,val_loss,1.106904149055481,1.106904149055481,139,25,19,0.8373493975903614,1.2410714285714286,0.24925536387988553,0.9390243902439024,0.9465058750773037,0.8783783783783784,0.9848484848484849,0.9081632653061225,0.9285714285714286,0.9376899696048633,0.9927334570191714,65,89,9,1
2,1,300,299,val_loss,1.5628762245178223,1.5628762245178223,139,25,19,0.8373493975903614,1.2410714285714286,0.24616757658162458,0.9390243902439024,0.9390847247990106,0.9117647058823529,0.9393939393939394,0.9387755102040817,0.9253731343283582,0.9369133712878904,0.9853123067408781,62,92,6,4
3,1,99,74,val_loss,1.9479409456253052,1.9479409456253052,139,25,19,0.8373493975903614,1.2410714285714286,0.4861382398804461,0.823170731707317,0.8322510822510822,0.7341772151898734,0.8787878787878788,0.7857142857142857,0.8,0.8207650273224044,0.9081632653061225,58,77,21,8
4,1,300,300,val_loss,1.319452166557312,1.319452166557312,140,25,18,0.8333333333333334,1.25,0.2957157735939829,0.9272727272727272,0.9217171717171717,0.921875,0.8939393939393939,0.9494949494949495,0.9076923076923077,0.9238461538461538,0.972910927456382,59,94,5,7
5,1,300,299,val_loss,1.1389881372451782,1.1389881372451782,140,25,18,0.8433734939759037,1.2280701754385965,0.21902218050642486,0.9636363636363636,0.9599451720986902,0.9692307692307692,0.9402985074626866,0.9795918367346939,0.9545454545454546,0.9621212121212122,0.9958879074017667,63,96,2,4
6,1,300,300,val_loss,1.252845048904419,1.252845048904419,140,25,18,0.8433734939759037,1.2280701754385965,0.20184631299865735,0.9575757575757575,0.952482485531526,0.96875,0.9253731343283582,0.9795918367346939,0.9465648854961832,0.9556945030495991,0.9942126104173012,62,96,2,5
7,1,300,300,val_loss,1.4374792575836182,1.4374792575836182,140,25,18,0.8433734939759037,1.2280701754385965,0.1850395109800044,0.9393939393939394,0.9395370088333841,0.9130434782608695,0.9402985074626866,0.9387755102040817,0.9264705882352942,0.9374620982413584,0.9919281145293938,63,92,6,4
8,1,300,300,val_loss,1.3386552333831787,1.3386552333831787,140,25,18,0.8433734939759037,1.2280701754385965,0.29272655636565836,0.9151515151515152,0.919128845568078,0.863013698630137,0.9402985074626866,0.8979591836734694,0.9,0.9131578947368422,0.9881206213828815,63,88,10,4
9,1,300,300,val_loss,1.3592464923858643,1.3592464923858643,140,25,18,0.8433734939759037,1.2280701754385965,0.2123651249772777,0.9454545454545454,0.9446390496497107,0.9264705882352942,0.9402985074626866,0.9489795918367347,0.9333333333333333,0.9435897435897436,0.9798964361864149,63,93,5,4
10,1,300,299,val_loss,1.2717149257659912,1.2717149257659912,140,25,18,0.8433734939759037,1.2280701754385965,0.26152103279070754,0.9333333333333333,0.9391562595187328,0.8783783783783784,0.9701492537313433,0.9081632653061225,0.9219858156028369,0.9318923787008893,0.9852269265915321,65,89,9,2
