fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.2810604572296143,1.2810604572296143,135,24,18,,,0.6800512369992848,0.5408805031446541,0.535375118708452,0.5317460317460317,0.8271604938271605,0.24358974358974358,0.6473429951690821,0.49484266875571226,0.6340614118391895,67,19,59,14
2,1,300,300,val_loss,1.3669066429138184,1.3669066429138184,135,24,18,,,0.6990951302346784,0.5408805031446541,0.5470085470085471,0.6428571428571429,0.2222222222222222,0.8717948717948718,0.3302752293577982,0.4904964663535402,0.47515036403925287,18,68,10,63
3,1,300,300,val_loss,1.2645478248596191,1.2645478248596191,135,24,18,,,0.6886921787281358,0.5345911949685535,0.5389363722697056,0.5813953488372093,0.30864197530864196,0.7692307692307693,0.4032258064516129,0.5108912537412704,0.5997150997150996,25,60,18,56
4,1,300,300,val_loss,1.219688057899475,1.219688057899475,135,24,18,,,0.6842198357742476,0.5534591194968553,0.559116809116809,0.65625,0.25925925925925924,0.8589743589743589,0.37168141592920356,0.5126699762572847,0.6509971509971509,21,67,11,60
5,1,300,300,val_loss,1.2404537200927734,1.2404537200927734,135,24,18,,,0.6709435012941045,0.5660377358490566,0.5662393162393162,0.5769230769230769,0.5555555555555556,0.5769230769230769,0.5660377358490566,0.5660377358490566,0.6315289648622981,45,45,33,36
6,1,300,300,val_loss,1.3069260120391846,1.3069260120391846,135,24,18,,,0.6765886738713938,0.6163522012578616,0.6141975308641976,0.6020408163265306,0.7283950617283951,0.5,0.659217877094972,0.6101844781158313,0.6318455207344096,59,39,39,22
7,1,300,300,val_loss,1.3731685876846313,1.3731685876846313,135,24,18,,,0.6802378708956529,0.5534591194968553,0.5489078822412156,0.5423728813559322,0.7901234567901234,0.3076923076923077,0.6432160804020101,0.5232887124699126,0.5987654320987654,64,24,54,17
8,1,300,300,val_loss,1.2348169088363647,1.2348169088363647,136,24,17,,,0.6818721749443374,0.575,0.5752461322081575,0.5844155844155844,0.5555555555555556,0.5949367088607594,0.569620253164557,0.574933583372402,0.5821222065947804,45,47,32,36
9,1,300,300,val_loss,1.3490585088729858,1.3490585088729858,136,24,17,,,0.6857616438816576,0.51875,0.5210970464135021,0.54,0.3333333333333333,0.7088607594936709,0.4122137404580153,0.5024031665253039,0.563525550867323,27,56,23,54
10,1,300,300,val_loss,1.242703914642334,1.242703914642334,136,24,17,,,0.686295418172781,0.5625,0.5630567276136896,0.5753424657534246,0.5185185185185185,0.6075949367088608,0.5454545454545454,0.5618838992332968,0.6116580715736832,42,48,31,39
11,2,300,300,val_loss,1.254152774810791,1.254152774810791,135,24,18,,,0.6727394090076364,0.5723270440251572,0.5700379867046533,0.5656565656565656,0.691358024691358,0.44871794871794873,0.6222222222222222,0.5647342995169082,0.6128521684077239,56,35,43,25
12,2,300,300,val_loss,1.3713017702102661,1.3713017702102661,135,24,18,,,0.6721388007793683,0.559748427672956,0.5610161443494777,0.5797101449275363,0.49382716049382713,0.6282051282051282,0.5333333333333333,0.5583333333333333,0.6225071225071225,40,49,29,41
13,2,300,300,val_loss,1.3064343929290771,1.3064343929290771,135,24,18,,,0.671855781675972,0.5723270440251572,0.5716999050332383,0.5764705882352941,0.6049382716049383,0.5384615384615384,0.5903614457831325,0.5714965123652505,0.6198163975941753,49,42,36,32
14,2,300,300,val_loss,1.2544595003128052,1.2544595003128052,135,24,18,,,0.6806424396050378,0.5723270440251572,0.5766856600189934,0.6511627906976745,0.345679012345679,0.8076923076923077,0.45161290322580644,0.5505487196541403,0.6054131054131054,28,63,15,53
15,2,300,300,val_loss,1.2543278932571411,1.2543278932571411,135,24,18,,,0.6668250747139177,0.6037735849056604,0.6011396011396011,0.5882352941176471,0.7407407407407407,0.46153846153846156,0.6557377049180327,0.594535519125683,0.6405508072174738,60,36,42,21
16,2,30,5,val_loss,1.634325623512268,1.634325623512268,135,24,18,,,0.6943100788986107,0.5094339622641509,0.5011870845204178,0.5100671140939598,0.9382716049382716,0.0641025641025641,0.6608695652173913,0.38725296442687746,0.4993668882557771,76,5,73,5
17,2,300,300,val_loss,1.279045820236206,1.279045820236206,135,24,18,,,0.6781040733053733,0.5849056603773585,0.5823836657169991,0.5742574257425742,0.7160493827160493,0.44871794871794873,0.6373626373626373,0.5760342598577892,0.596232985121874,58,35,43,23
18,2,300,300,val_loss,1.2000914812088013,1.2000914812088013,136,24,17,,,0.6690465343296601,0.59375,0.5965775902484763,0.6818181818181818,0.37037037037037035,0.8227848101265823,0.48,0.5733333333333333,0.6522894202219096,30,65,14,51
19,2,300,300,val_loss,1.2198834419250488,1.2198834419250488,136,24,17,,,0.679234921937182,0.575,0.5711829973433349,0.5503875968992248,0.8765432098765432,0.26582278481012656,0.6761904761904762,0.529004329004329,0.6311923738084075,71,21,58,10
20,2,300,300,val_loss,1.1408404111862183,1.1408404111862183,136,24,17,,,0.6797373691739316,0.625,0.62181590873574,0.5867768595041323,0.8765432098765432,0.3670886075949367,0.7029702970297029,0.5972478603792583,0.6530707923112986,71,29,50,10
21,3,300,300,val_loss,1.3466888666152954,1.3466888666152954,135,24,18,,,0.6813036579781919,0.5220125786163522,0.5192307692307692,0.5242718446601942,0.6666666666666666,0.3717948717948718,0.5869565217391305,0.5098961713173265,0.5620449509338398,54,29,49,27
22,3,300,300,val_loss,1.148146390914917,1.148146390914917,135,24,18,,,0.6767715597919275,0.6163522012578616,0.6146723646723646,0.6063829787234043,0.7037037037037037,0.5256410256410257,0.6514285714285715,0.6124275724275725,0.6589110477999367,57,41,37,24
23,3,300,300,val_loss,1.3894976377487183,1.3894976377487183,135,24,18,,,0.6799156946253333,0.6037735849056604,0.5999525166191833,0.5803571428571429,0.8024691358024691,0.3974358974358974,0.6735751295336787,0.5847875647668394,0.6082621082621082,65,31,47,16
24,3,300,300,val_loss,1.413018822669983,1.413018822669983,135,24,18,,,0.6900051389324019,0.5471698113207547,0.5389363722697056,0.5302013422818792,0.9753086419753086,0.10256410256410256,0.6869565217391305,0.43438735177865617,0.5802469135802468,79,8,70,2
25,3,300,300,val_loss,1.3041598796844482,1.3041598796844482,135,24,18,,,0.6793538993934859,0.5786163522012578,0.5795346628679963,0.5972222222222222,0.5308641975308642,0.6282051282051282,0.5620915032679739,0.5780154486036839,0.6131687242798354,43,49,29,38
26,3,300,300,val_loss,1.1327184438705444,1.1327184438705444,135,24,18,,,0.6835001908532752,0.6226415094339622,0.6236942070275404,0.647887323943662,0.5679012345679012,0.6794871794871795,0.6052631578947368,0.6219086873811033,0.6282051282051282,46,53,25,35
27,3,300,300,val_loss,1.3562301397323608,1.3562301397323608,135,24,18,,,0.6837248967305781,0.5723270440251572,0.5721747388414056,0.5802469135802469,0.5802469135802469,0.5641025641025641,0.5802469135802469,0.5721747388414056,0.6114276669832225,47,44,34,34
28,3,300,300,val_loss,1.3713107109069824,1.3713107109069824,136,24,17,,,0.6783792425720258,0.55625,0.5587591811220504,0.6041666666666666,0.35802469135802467,0.759493670886076,0.4496124031007752,0.5389423272048379,0.6246288482575403,29,60,19,52
29,3,300,300,val_loss,1.282336711883545,1.282336711883545,136,24,17,,,0.6758132866832343,0.55,0.5480543834974214,0.5428571428571428,0.7037037037037037,0.3924050632911392,0.6129032258064516,0.5377948964853154,0.6063447413658384,57,31,48,24
30,3,300,300,val_loss,1.257216453552246,1.257216453552246,136,24,17,,,0.6829054473710212,0.55625,0.5579778090326614,0.5862068965517241,0.41975308641975306,0.6962025316455697,0.4892086330935252,0.5484717198616798,0.5822784810126581,34,55,24,47
31,4,300,300,val_loss,1.2576261758804321,1.2576261758804321,135,24,18,,,0.6786698059165792,0.6163522012578616,0.6170465337132004,0.6351351351351351,0.5802469135802469,0.6538461538461539,0.6064516129032258,0.616109242034435,0.6530547641658753,47,51,27,34
32,4,300,300,val_loss,1.2194807529449463,1.2194807529449463,135,24,18,,,0.6794801881283936,0.5660377358490566,0.5643399810066476,0.5638297872340425,0.654320987654321,0.47435897435897434,0.6057142857142858,0.5615984015984017,0.6182336182336182,53,37,41,28
