fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6953979134559631,0.6953979134559631,135,24,18,,,0.6896881404432444,0.5534591194968553,0.5510446343779677,0.55,0.6790123456790124,0.4230769230769231,0.6077348066298343,0.5447433157236763,0.5671098448876227,55,33,45,26
2,1,84,59,val_loss,0.6778036952018738,0.6778036952018738,135,24,18,,,0.6487074158687501,0.6289308176100629,0.6270180436847104,0.6145833333333334,0.7283950617283951,0.5256410256410257,0.6666666666666666,0.624113475177305,0.7465970243748021,59,41,37,22
3,1,86,61,val_loss,0.6820562481880188,0.6820562481880188,135,24,18,,,0.6376305558863563,0.6918238993710691,0.690883190883191,0.6818181818181818,0.7407407407407407,0.6410256410256411,0.7100591715976331,0.6906000555974743,0.7679645457423234,60,50,28,21
4,1,193,168,val_loss,0.6192981600761414,0.6192981600761414,135,24,18,,,0.4986922213936721,0.7987421383647799,0.7993827160493827,0.8266666666666667,0.7654320987654321,0.8333333333333334,0.7948717948717948,0.7986704653371319,0.8852484963596075,62,65,13,19
5,1,109,84,val_loss,0.6742169260978699,0.6742169260978699,135,24,18,,,0.6047914824513551,0.6729559748427673,0.6707027540360874,0.6464646464646465,0.7901234567901234,0.5512820512820513,0.7111111111111111,0.6671497584541063,0.7491294713516936,64,43,35,17
6,1,90,65,val_loss,0.6828155517578125,0.6828155517578125,135,24,18,,,0.6312772078710459,0.6289308176100629,0.6255935422602089,0.6018518518518519,0.8024691358024691,0.44871794871794873,0.6878306878306878,0.6152331733727082,0.7211142766698322,65,35,43,16
7,1,27,2,val_loss,0.7009420394897461,0.7009420394897461,135,24,18,,,0.6942638198036487,0.4528301886792453,0.4534662867996201,0.4594594594594595,0.41975308641975306,0.48717948717948717,0.43870967741935485,0.45248367306550563,0.47245963912630573,34,38,40,47
8,1,62,37,val_loss,0.6926660537719727,0.6926660537719727,136,24,17,,,0.6681500718469254,0.6625,0.6615096108766995,0.6451612903225806,0.7407407407407407,0.5822784810126582,0.6896551724137931,0.6598960793575814,0.7635568057508985,60,46,33,21
9,1,26,1,val_loss,0.6918435096740723,0.6918435096740723,136,24,17,,,0.6972984144422781,0.475,0.47726207219878103,0.47058823529411764,0.2962962962962963,0.6582278481012658,0.36363636363636365,0.4584139264990329,0.4496015002344116,24,52,27,57
10,1,26,1,val_loss,0.69547438621521,0.69547438621521,136,24,17,,,0.6933018405258702,0.53125,0.5362556649476481,0.6875,0.13580246913580246,0.9367088607594937,0.2268041237113402,0.4452406268780916,0.509767151117362,11,74,5,70
11,2,29,4,val_loss,0.6810964941978455,0.6810964941978455,135,24,18,,,0.6926718384763069,0.49056603773584906,0.49572649572649574,0.5,0.2222222222222222,0.7692307692307693,0.3076923076923077,0.452353616532721,0.5185185185185184,18,60,18,63
12,2,54,29,val_loss,0.700646162033081,0.700646162033081,135,24,18,,,0.6722844168751511,0.5786163522012578,0.5721747388414055,0.5522388059701493,0.9135802469135802,0.23076923076923078,0.6883720930232559,0.518943328065026,0.6967394745172523,74,18,60,7
13,2,42,17,val_loss,0.6964743137359619,0.6964743137359619,135,24,18,,,0.6802319819131524,0.6540880503144654,0.6552706552706553,0.6857142857142857,0.5925925925925926,0.717948717948718,0.6357615894039735,0.6532101360193521,0.7057613168724279,48,56,22,33
14,2,206,181,val_loss,0.6248995065689087,0.6248995065689087,135,24,18,,,0.47046953336619957,0.7672955974842768,0.7678062678062678,0.7894736842105263,0.7407407407407407,0.7948717948717948,0.7643312101910829,0.7672587727974047,0.8729028173472618,60,62,16,21
15,2,187,162,val_loss,0.6085127592086792,0.6085127592086792,135,24,18,,,0.3860636018640557,0.8553459119496856,0.853988603988604,0.8152173913043478,0.9259259259259259,0.782051282051282,0.8670520231213873,0.8542156667331074,0.9281418170307059,75,61,17,6
16,2,26,1,val_loss,0.6855928301811218,0.6855928301811218,135,24,18,,,0.6908482962669147,0.5345911949685535,0.5282526115859449,0.5263157894736842,0.8641975308641975,0.19230769230769232,0.6542056074766355,0.47133357296908696,0.5685343463121241,70,15,63,11
17,2,82,57,val_loss,0.6760414242744446,0.6760414242744446,135,24,18,,,0.6268991422536655,0.6477987421383647,0.6457739791073125,0.6288659793814433,0.7530864197530864,0.5384615384615384,0.6853932584269663,0.6426966292134831,0.709085153529598,61,42,36,20
18,2,26,1,val_loss,0.7012467384338379,0.7012467384338379,136,24,17,,,0.6944332929523824,0.45,0.44616346304110016,0.4728682170542636,0.7530864197530864,0.13924050632911392,0.580952380952381,0.39047619047619053,0.4917955930614158,61,11,68,20
19,2,35,10,val_loss,0.6914162635803223,0.6914162635803223,136,24,17,,,0.6906090796226516,0.525,0.5199249882794187,0.5172413793103449,0.9259259259259259,0.11392405063291139,0.6637168141592921,0.4276030879307099,0.5580559462416003,75,9,70,6
20,2,65,40,val_loss,0.6805132031440735,0.6805132031440735,136,24,17,,,0.6551030770968486,0.675,0.6730739177996562,0.638095238095238,0.8271604938271605,0.5189873417721519,0.7204301075268817,0.6661852030171722,0.7348023128613846,67,41,38,14
21,3,41,16,val_loss,0.6899269223213196,0.6899269223213196,135,24,18,,,0.675886924905855,0.6163522012578616,0.6115859449192782,0.5833333333333334,0.8641975308641975,0.358974358974359,0.6965174129353234,0.587574945783901,0.6843937955049066,70,28,50,11
22,3,220,195,val_loss,0.5465558171272278,0.5465558171272278,135,24,18,,,0.4331288690162913,0.8301886792452831,0.8300094966761633,0.8292682926829268,0.8395061728395061,0.8205128205128205,0.8343558282208589,0.830081139916881,0.9176954732510287,68,64,14,13
23,3,26,1,val_loss,0.6925945281982422,0.6925945281982422,135,24,18,,,0.690533914200793,0.48427672955974843,0.49335232668566,0.3333333333333333,0.012345679012345678,0.9743589743589743,0.023809523809523808,0.3366910866910867,0.633270022158911,1,76,2,80
24,3,41,16,val_loss,0.6886515617370605,0.6886515617370605,135,24,18,,,0.6842899514216716,0.5723270440251572,0.5743114909781577,0.6031746031746031,0.4691358024691358,0.6794871794871795,0.5277777777777778,0.5684865900383143,0.625039569484014,38,53,25,43
25,3,70,45,val_loss,0.6815022826194763,0.6815022826194763,135,24,18,,,0.6571975050199163,0.6415094339622641,0.6384140550807218,0.6132075471698113,0.8024691358024691,0.47435897435897434,0.6951871657754011,0.6300363309793036,0.7375751820196265,65,37,41,16
26,3,132,107,val_loss,0.6761149764060974,0.6761149764060974,135,24,18,,,0.6014460661161961,0.7421383647798742,0.7402659069325737,0.7083333333333334,0.8395061728395061,0.6410256410256411,0.768361581920904,0.7387907200384662,0.8097499208610319,68,50,28,13
27,3,123,98,val_loss,0.6624734401702881,0.6624734401702881,135,24,18,,,0.6135851017418069,0.6729559748427673,0.6756885090218423,0.7543859649122807,0.5308641975308642,0.8205128205128205,0.6231884057971014,0.6671497584541063,0.7947135169357392,43,64,14,38
28,3,200,175,val_loss,0.6457353830337524,0.6457353830337524,136,24,17,,,0.48036180201497275,0.8,0.7990310986091577,0.7634408602150538,0.8765432098765432,0.7215189873417721,0.8160919540229885,0.7984569359156038,0.8817002656665103,71,57,22,10
29,3,37,12,val_loss,0.6912434697151184,0.6912434697151184,136,24,17,,,0.6859652442664667,0.53125,0.5360993905297703,0.6666666666666666,0.14814814814814814,0.9240506329113924,0.24242424242424243,0.45152886329356917,0.6557274574152212,12,73,6,69
30,3,26,1,val_loss,0.6862607002258301,0.6862607002258301,136,24,17,,,0.6886726495544055,0.5125,0.5094546022816064,0.5126050420168067,0.7530864197530864,0.26582278481012656,0.61,0.48,0.598374746054071,61,21,58,20
31,4,140,115,val_loss,0.6371393203735352,0.6371393203735352,135,24,18,,,0.579244641829979,0.7169811320754716,0.7155745489078822,0.6956521739130435,0.7901234567901234,0.6410256410256411,0.7398843930635838,0.7147697827386885,0.8040519151630262,64,50,28,17
32,4,26,1,val_loss,0.6958360075950623,0.6958360075950623,135,24,18,,,0.6909903144600197,0.5471698113207547,0.5405982905982906,0.5333333333333333,0.8888888888888888,0.19230769230769232,0.6666666666666666,0.48039215686274506,0.5454257676479898,72,15,63,9
33,4,98,73,val_loss,0.6786475777626038,0.6786475777626038,135,24,18,,,0.6224381100889567,0.6666666666666666,0.6628679962013295,0.625,0.8641975308641975,0.46153846153846156,0.7253886010362695,0.6506943005181347,0.7659069325735991,70,36,42,11
