fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6933649182319641,0.6933649182319641,135,24,18,,,0.6948576722914338,0.44025157232704404,0.4470560303893637,0.3181818181818182,0.08641975308641975,0.8076923076923077,0.13592233009708737,0.36098442086249716,0.4444444444444444,7,63,15,74
2,1,38,13,val_loss,0.691351592540741,0.691351592540741,135,24,18,,,0.6867090717505642,0.6477987421383647,0.6455365622032289,0.6262626262626263,0.7654320987654321,0.5256410256410257,0.6888888888888889,0.6415458937198067,0.6809116809116809,62,41,37,19
3,1,124,99,val_loss,0.6830137372016907,0.6830137372016907,135,24,18,,,0.6705282655922276,0.5911949685534591,0.5911680911680912,0.6,0.5925925925925926,0.5897435897435898,0.5962732919254659,0.5911302765359814,0.6603355492244382,48,46,32,33
4,1,300,300,val_loss,0.6186659932136536,0.6186659932136536,135,24,18,,,0.6232613267242977,0.6729559748427673,0.6735517568850902,0.6933333333333334,0.6419753086419753,0.7051282051282052,0.6666666666666666,0.6728395061728395,0.736150680595125,52,55,23,29
5,1,133,108,val_loss,0.681772768497467,0.681772768497467,135,24,18,,,0.6529534786948842,0.5974842767295597,0.5925925925925926,0.5702479338842975,0.8518518518518519,0.3333333333333333,0.6831683168316832,0.5657220894503243,0.6701487812598924,69,26,52,12
6,1,194,169,val_loss,0.6635270714759827,0.6635270714759827,135,24,18,,,0.63514232852388,0.6289308176100629,0.6270180436847104,0.6145833333333334,0.7283950617283951,0.5256410256410257,0.6666666666666666,0.624113475177305,0.6965811965811965,59,41,37,22
7,1,26,1,val_loss,0.6931713223457336,0.6931713223457336,135,24,18,,,0.6927325138640762,0.5534591194968553,0.5481956315289649,0.5403225806451613,0.8271604938271605,0.2692307692307692,0.6536585365853659,0.5126699762572847,0.5085470085470085,67,21,57,14
8,1,95,70,val_loss,0.6863608360290527,0.6863608360290527,136,24,17,,,0.6664383059306763,0.61875,0.6181434599156118,0.6136363636363636,0.6666666666666666,0.569620253164557,0.6390532544378699,0.6175398722520475,0.6754180340678231,54,45,34,27
9,1,26,1,val_loss,0.6975192427635193,0.6975192427635193,136,24,17,,,0.6935173841477874,0.50625,0.5006250976715112,0.506578947368421,0.9506172839506173,0.05063291139240506,0.6609442060085837,0.37644911449854473,0.49820284419440536,77,4,75,4
10,1,26,1,val_loss,0.6902077794075012,0.6902077794075012,136,24,17,,,0.6918034458753592,0.50625,0.5010939209251445,0.5068493150684932,0.9135802469135802,0.08860759493670886,0.6519823788546255,0.4012600066316138,0.5482887951242381,74,7,72,7
11,2,40,15,val_loss,0.6943287253379822,0.6943287253379822,135,24,18,,,0.6878748144944424,0.5094339622641509,0.5,0.5094339622641509,1.0,0.0,0.675,0.3375,0.6661918328584996,81,0,78,0
12,2,170,145,val_loss,0.649438202381134,0.649438202381134,135,24,18,,,0.6489411748826954,0.6352201257861635,0.6331908831908832,0.6185567010309279,0.7407407407407407,0.5256410256410257,0.6741573033707865,0.6299357945425361,0.6904083570750237,60,41,37,21
13,2,99,74,val_loss,0.6855915188789368,0.6855915188789368,135,24,18,,,0.6643918588512693,0.5849056603773585,0.5819088319088319,0.5714285714285714,0.7407407407407407,0.4230769230769231,0.6451612903225806,0.5725806451612903,0.6627097182652738,60,33,45,21
14,2,300,300,val_loss,0.6539871692657471,0.6539871692657471,135,24,18,,,0.6219025300927701,0.6477987421383647,0.6486229819563153,0.6712328767123288,0.6049382716049383,0.6923076923076923,0.6363636363636364,0.647450110864745,0.7133586578031023,49,54,24,32
15,2,300,300,val_loss,0.6583576798439026,0.6583576798439026,135,24,18,,,0.6133191915469144,0.6666666666666666,0.6657169990503324,0.6590909090909091,0.7160493827160493,0.6153846153846154,0.6863905325443787,0.6653429172789007,0.7296612852168407,58,48,30,23
16,2,26,1,val_loss,0.6945710778236389,0.6945710778236389,135,24,18,,,0.6917558336418713,0.5283018867924528,0.51994301994302,0.52,0.9629629629629629,0.07692307692307693,0.6753246753246753,0.406627854903717,0.5690091801202912,78,6,72,3
