fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.5288242101669312,1.5288242101669312,135,24,18,,,0.6569202658975255,0.6226415094339622,0.6165716999050332,0.5801526717557252,0.9382716049382716,0.2948717948717949,0.7169811320754716,0.5754716981132075,0.7108262108262108,76,23,55,5
2,1,300,300,val_loss,1.6552995443344116,1.6552995443344116,135,24,18,,,0.6227062010673424,0.6855345911949685,0.6889838556505223,0.803921568627451,0.5061728395061729,0.8717948717948718,0.6212121212121212,0.676197458455523,0.7831592276036721,41,68,10,40
3,1,300,300,val_loss,1.6115127801895142,1.6115127801895142,135,24,18,,,0.6566479395215596,0.6729559748427673,0.6766381766381766,0.7959183673469388,0.48148148148148145,0.8717948717948718,0.6,0.6617021276595745,0.7250712250712251,39,68,10,42
4,1,300,300,val_loss,1.5427355766296387,1.5427355766296387,135,24,18,,,0.643875219487418,0.6792452830188679,0.6823361823361823,0.7777777777777778,0.5185185185185185,0.8461538461538461,0.6222222222222222,0.6717668488160291,0.7380500158277936,42,66,12,39
5,1,300,300,val_loss,1.525835633277893,1.525835633277893,135,24,18,,,0.6408786188755625,0.6792452830188679,0.6804368471035138,0.7142857142857143,0.6172839506172839,0.7435897435897436,0.6622516556291391,0.6784312170361264,0.7507122507122507,50,58,20,31
6,1,300,300,val_loss,1.5949186086654663,1.5949186086654663,135,24,18,,,0.6225103804401335,0.7295597484276729,0.7276828110161444,0.6979166666666666,0.8271604938271605,0.6282051282051282,0.7570621468926554,0.7260488039427816,0.7722380500158278,67,49,29,14
7,1,300,300,val_loss,1.7356772422790527,1.7356772422790527,135,24,18,,,0.633053440846235,0.6855345911949685,0.682573599240266,0.6476190476190476,0.8395061728395061,0.5256410256410257,0.7311827956989247,0.676197458455523,0.7386831275720165,68,41,37,13
8,1,300,300,val_loss,1.5933541059494019,1.5933541059494019,136,24,17,,,0.6417676845277471,0.7,0.7010470385997811,0.746268656716418,0.6172839506172839,0.7848101265822784,0.6756756756756757,0.6983029541169076,0.7521487732458196,50,62,17,31
9,1,300,300,val_loss,1.670621395111084,1.670621395111084,136,24,17,,,0.6398014809396793,0.65625,0.6562744178777934,0.6625,0.654320987654321,0.6582278481012658,0.6583850931677019,0.6562365717410836,0.7227691826847945,53,52,27,28
10,1,300,300,val_loss,1.5410820245742798,1.5410820245742798,136,24,17,,,0.6580062054380174,0.65625,0.6573683388029379,0.696969696969697,0.5679012345679012,0.7468354430379747,0.6258503401360545,0.6539656324957729,0.7122987966869824,46,59,20,35
11,2,300,300,val_loss,1.5893993377685547,1.5893993377685547,135,24,18,,,0.6497356191114589,0.6855345911949685,0.6837606837606838,0.6631578947368421,0.7777777777777778,0.5897435897435898,0.7159090909090909,0.6818982074263764,0.7554605887939221,63,46,32,18
12,2,300,300,val_loss,1.681175708770752,1.681175708770752,135,24,18,,,0.6450813607323931,0.6226415094339622,0.6203703703703703,0.6060606060606061,0.7407407407407407,0.5,0.6666666666666666,0.6159420289855072,0.696897752453308,60,39,39,21
13,2,300,300,val_loss,1.6474766731262207,1.6474766731262207,135,24,18,,,0.6223541532114454,0.6729559748427673,0.6726020892687559,0.6746987951807228,0.691358024691358,0.6538461538461539,0.6829268292682927,0.6726322458029775,0.7559354226020891,56,51,27,25
14,2,300,300,val_loss,1.54165518283844,1.54165518283844,135,24,18,,,0.6418523105612449,0.660377358490566,0.6614434947768282,0.6901408450704225,0.6049382716049383,0.717948717948718,0.6447368421052632,0.6597178186429931,0.7152579930357708,49,56,22,32
15,2,300,300,val_loss,1.5334604978561401,1.5334604978561401,135,24,18,,,0.6465666213659832,0.6415094339622641,0.6372269705603039,0.603448275862069,0.8641975308641975,0.41025641025641024,0.7106598984771574,0.619792759155934,0.7763532763532763,70,32,46,11
16,2,300,300,val_loss,1.7009930610656738,1.7009930610656738,135,24,18,,,0.614417692938799,0.6792452830188679,0.6761633428300095,0.6415094339622641,0.8395061728395061,0.5128205128205128,0.7272727272727273,0.6689798750867453,0.7624248179803734,68,40,38,13
17,2,300,300,val_loss,1.630950927734375,1.630950927734375,135,24,18,,,0.6170337327478354,0.7232704402515723,0.7236467236467237,0.7402597402597403,0.7037037037037037,0.7435897435897436,0.7215189873417721,0.723259493670886,0.7630579297245963,57,58,20,24
18,2,300,300,val_loss,1.4181686639785767,1.4181686639785767,136,24,17,,,0.6277021660102633,0.6875,0.6887013595874355,0.7384615384615385,0.5925925925925926,0.7848101265822784,0.6575342465753424,0.685088962368131,0.7338646663541177,48,62,17,33
19,2,300,300,val_loss,1.5067850351333618,1.5067850351333618,136,24,17,,,0.6118681844419985,0.68125,0.6795593061415846,0.6470588235294118,0.8148148148148148,0.5443037974683544,0.7213114754098361,0.6745243508436042,0.7694952336302547,66,43,36,15
