fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4637771844863892,1.4637771844863892,135,24,18,,,0.6732220449986722,0.5911949685534591,0.5916429249762583,0.6052631578947368,0.5679012345679012,0.6153846153846154,0.5859872611464968,0.5911302765359814,0.6509971509971509,46,48,30,35
2,1,300,300,val_loss,1.563350796699524,1.563350796699524,135,24,18,,,0.6514290498035594,0.6666666666666666,0.6678537511870846,0.7,0.6049382716049383,0.7307692307692307,0.6490066225165563,0.6658206765277392,0.7095599873377652,49,57,21,32
3,1,300,300,val_loss,1.5227502584457397,1.5227502584457397,135,24,18,,,0.6678736593822769,0.6163522012578616,0.6196581196581197,0.6923076923076923,0.4444444444444444,0.7948717948717948,0.5413533834586466,0.6058118268644584,0.683602405824628,36,62,16,45
4,1,300,300,val_loss,1.4287790060043335,1.4287790060043335,135,24,18,,,0.6805514787529918,0.5786163522012578,0.5835707502374169,0.6842105263157895,0.32098765432098764,0.8461538461538461,0.4369747899159664,0.5501456864152696,0.6443494776828109,26,66,12,55
5,1,300,300,val_loss,1.4897336959838867,1.4897336959838867,135,24,18,,,0.6623332351347759,0.5911949685534591,0.5928300094966762,0.6212121212121212,0.5061728395061729,0.6794871794871795,0.5578231292517006,0.5888530850936866,0.6595441595441596,41,53,25,40
6,1,300,300,val_loss,1.5456031560897827,1.5456031560897827,135,24,18,,,0.6677202287695052,0.610062893081761,0.6077872744539411,0.5959595959595959,0.7283950617283951,0.48717948717948717,0.6555555555555556,0.6031400966183575,0.6475150364039253,59,38,40,22
7,1,300,300,val_loss,1.6481008529663086,1.6481008529663086,135,24,18,,,0.6764794693712949,0.5723270440251572,0.5676638176638177,0.5546218487394958,0.8148148148148148,0.32051282051282054,0.66,0.541864406779661,0.6161760050648939,66,25,53,15
8,1,300,300,val_loss,1.4789690971374512,1.4789690971374512,136,24,17,,,0.6535856254683277,0.65625,0.6579934364744491,0.7241379310344828,0.5185185185185185,0.7974683544303798,0.60431654676259,0.6502245717238364,0.709485857165182,42,63,16,39
9,1,300,300,val_loss,1.6466869115829468,1.6466869115829468,136,24,17,,,0.6588558673422101,0.6375,0.6365057040162525,0.6236559139784946,0.7160493827160493,0.5569620253164557,0.6666666666666666,0.634703196347032,0.6907329270198468,58,44,35,23
10,1,300,300,val_loss,1.4753135442733765,1.4753135442733765,136,24,17,,,0.6819939386150364,0.53125,0.531723706829192,0.5405405405405406,0.49382716049382713,0.569620253164557,0.5161290322580645,0.530791788856305,0.5838412251914361,40,45,34,41
11,2,300,300,val_loss,1.5238652229309082,1.5238652229309082,135,24,18,,,0.660607289382985,0.660377358490566,0.6593067426400759,0.651685393258427,0.7160493827160493,0.6025641025641025,0.6823529411764706,0.6587440381558028,0.7214308325419436,58,47,31,23
12,2,300,300,val_loss,1.6734217405319214,1.6734217405319214,135,24,18,,,0.6733879917639797,0.6289308176100629,0.6282051282051282,0.627906976744186,0.6666666666666666,0.5897435897435898,0.6467065868263473,0.6279890550025776,0.6433998100664766,54,46,32,27
13,2,300,300,val_loss,1.6120448112487793,1.6120448112487793,135,24,18,,,0.6415828290234129,0.6477987421383647,0.6486229819563153,0.6712328767123288,0.6049382716049383,0.6923076923076923,0.6363636363636364,0.647450110864745,0.6991136435580879,49,54,24,32
14,2,300,300,val_loss,1.4829200506210327,1.4829200506210327,135,24,18,,,0.6709195306141215,0.6037735849056604,0.6037511870845205,0.6125,0.6049382716049383,0.6025641025641025,0.6086956521739131,0.6037108834117972,0.6540044317822095,49,47,31,32
15,2,300,300,val_loss,1.5144100189208984,1.5144100189208984,135,24,18,,,0.6835141499266202,0.5723270440251572,0.5667141500474834,0.5511811023622047,0.8641975308641975,0.2692307692307692,0.6730769230769231,0.5274475524475525,0.592909148464704,70,21,57,11
16,2,300,300,val_loss,1.616804599761963,1.616804599761963,135,24,18,,,0.6718449900125567,0.5911949685534591,0.5861823361823362,0.5655737704918032,0.8518518518518519,0.32051282051282054,0.6798029556650246,0.5572927821803384,0.6264640709085153,69,25,53,12
17,2,300,300,val_loss,1.5300403833389282,1.5300403833389282,135,24,18,,,0.6424650573202707,0.6477987421383647,0.6498100664767331,0.6984126984126984,0.5432098765432098,0.7564102564102564,0.6111111111111112,0.6446360153256705,0.704020259575815,44,59,19,37
18,2,300,300,val_loss,1.4179983139038086,1.4179983139038086,136,24,17,,,0.6640233721749724,0.63125,0.6331458040318799,0.6964285714285714,0.48148148148148145,0.7848101265822784,0.5693430656934306,0.6234693470543655,0.6496327551179871,39,62,17,42
19,2,300,300,val_loss,1.4769115447998047,1.4769115447998047,136,24,17,,,0.6639544128278608,0.6,0.5971245507110486,0.5726495726495726,0.8271604938271605,0.3670886075949367,0.6767676767676768,0.5760887564166253,0.6710423503672448,67,29,50,14
