fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.5578309297561646,1.5578309297561646,135,24,18,,,0.655423000676243,0.6352201257861635,0.6303418803418803,0.5950413223140496,0.8888888888888888,0.3717948717948718,0.7128712871287128,0.6064356435643564,0.6777461221905666,72,29,49,9
2,1,300,300,val_loss,1.6370081901550293,1.6370081901550293,135,24,18,,,0.6421378631687137,0.6415094339622641,0.6448243114909782,0.7307692307692307,0.4691358024691358,0.8205128205128205,0.5714285714285714,0.6316602316602317,0.6907249129471352,38,64,14,43
3,1,300,300,val_loss,1.5441449880599976,1.5441449880599976,135,24,18,,,0.6692566503280202,0.5786163522012578,0.5814339981006648,0.625,0.43209876543209874,0.7307692307692307,0.5109489051094891,0.5703915796265677,0.6451408673630895,35,57,21,46
4,1,300,300,val_loss,1.478877067565918,1.478877067565918,135,24,18,,,0.66671862577896,0.5974842767295597,0.6025641025641025,0.7297297297297297,0.3333333333333333,0.8717948717948718,0.4576271186440678,0.5688135593220339,0.691358024691358,27,68,10,54
5,1,300,300,val_loss,1.4858036041259766,1.4858036041259766,135,24,18,,,0.6605907220013307,0.6289308176100629,0.6296296296296295,0.6486486486486487,0.5925925925925926,0.6666666666666666,0.6193548387096774,0.6286958242628142,0.6782209559987337,48,52,26,33
6,1,300,300,val_loss,1.6642359495162964,1.6642359495162964,135,24,18,,,0.6571537473035982,0.610062893081761,0.6068376068376069,0.5887850467289719,0.7777777777777778,0.4358974358974359,0.6702127659574468,0.596644844517185,0.6661918328584995,63,34,44,18
7,1,300,300,val_loss,1.7332011461257935,1.7332011461257935,135,24,18,,,0.6531047079925348,0.6415094339622641,0.6386514719848053,0.6153846153846154,0.7901234567901234,0.48717948717948717,0.6918918918918919,0.6316602316602317,0.6728395061728395,64,38,40,17
8,1,300,300,val_loss,1.529367446899414,1.529367446899414,136,24,17,,,0.6629805537299169,0.575,0.5769651508048133,0.6181818181818182,0.41975308641975306,0.7341772151898734,0.5,0.5652173913043479,0.6645569620253164,34,58,21,47
9,1,300,300,val_loss,1.6890497207641602,1.6890497207641602,136,24,17,,,0.6571466839967963,0.675,0.6741678387248007,0.6593406593406593,0.7407407407407407,0.6075949367088608,0.6976744186046512,0.6731615336266499,0.6871386154086576,60,48,31,21
10,1,300,300,val_loss,1.51833975315094,1.51833975315094,136,24,17,,,0.659019719680814,0.69375,0.6934677293327083,0.6904761904761905,0.7160493827160493,0.6708860759493671,0.703030303030303,0.6934506353861192,0.7294889826535395,58,53,26,23
11,2,300,300,val_loss,1.5296083688735962,1.5296083688735962,135,24,18,,,0.6713264536268881,0.6415094339622641,0.6398385565052231,0.6276595744680851,0.7283950617283951,0.5512820512820513,0.6742857142857143,0.6378421578421578,0.6726812282367838,59,43,35,22
12,2,300,300,val_loss,1.6466103792190552,1.6466103792190552,135,24,18,,,0.6468170510611829,0.6352201257861635,0.6346153846153846,0.6352941176470588,0.6666666666666666,0.6025641025641025,0.6506024096385542,0.6345117311350665,0.7128838239949351,54,47,31,27
13,2,300,300,val_loss,1.6129612922668457,1.6129612922668457,135,24,18,,,0.6294129029144191,0.6540880503144654,0.6569325735992403,0.7321428571428571,0.5061728395061729,0.8076923076923077,0.5985401459854015,0.6473363713352422,0.7188983855650523,41,63,15,40
14,2,300,300,val_loss,1.49408757686615,1.49408757686615,135,24,18,,,0.6466113889243414,0.6352201257861635,0.636039886039886,0.6575342465753424,0.5925925925925926,0.6794871794871795,0.6233766233766234,0.6348590433956287,0.6961063627730294,48,53,25,33
15,2,300,300,val_loss,1.5538080930709839,1.5538080930709839,135,24,18,,,0.6521217200703205,0.6729559748427673,0.6702279202279202,0.6407766990291263,0.8148148148148148,0.5256410256410257,0.717391304347826,0.6646658014276443,0.7060778727445394,66,41,37,15
16,2,300,300,val_loss,1.6461247205734253,1.6461247205734253,135,24,18,,,0.6189441117142814,0.6540880503144654,0.6505223171889838,0.6181818181818182,0.8395061728395061,0.46153846153846156,0.7120418848167539,0.6394855093375108,0.7416904083570749,68,36,42,13
17,2,300,300,val_loss,1.5732501745224,1.5732501745224,135,24,18,,,0.6376273000070547,0.6352201257861635,0.6362773029439697,0.6619718309859155,0.5802469135802469,0.6923076923076923,0.618421052631579,0.6345117311350665,0.6981639759417537,47,54,24,34
18,2,300,300,val_loss,1.4651665687561035,1.4651665687561035,136,24,17,,,0.6561519465716772,0.56875,0.571104860134396,0.62,0.38271604938271603,0.759493670886076,0.4732824427480916,0.5541015388343633,0.666354117830911,31,60,19,50
19,2,300,300,val_loss,1.5351433753967285,1.5351433753967285,136,24,17,,,0.6617917629135828,0.625,0.6233786529145179,0.6039603960396039,0.7530864197530864,0.4936708860759494,0.6703296703296703,0.617773530817009,0.6690107829348335,61,39,40,20
20,2,300,300,val_loss,1.4009393453598022,1.4009393453598022,136,24,17,,,0.6472196486067472,0.6375,0.6350992342553524,0.6036036036036037,0.8271604938271605,0.4430379746835443,0.6979166666666666,0.6223958333333333,0.724644475699328,67,35,44,14
21,3,300,300,val_loss,1.6791667938232422,1.6791667938232422,135,24,18,,,0.6469511825632295,0.6289308176100629,0.6279677113010447,0.625,0.6790123456790124,0.5769230769230769,0.650887573964497,0.6274572098010405,0.6888255777144665,55,45,33,26
22,3,300,300,val_loss,1.4261926412582397,1.4261926412582397,135,24,18,,,0.6833525396353409,0.5660377358490566,0.5660018993352327,0.575,0.5679012345679012,0.5641025641025641,0.5714285714285714,0.5659690627843494,0.5968660968660968,46,44,34,35
23,3,300,300,val_loss,1.6582236289978027,1.6582236289978027,135,24,18,,,0.6823837859529849,0.5660377358490566,0.5631528964862298,0.5576923076923077,0.7160493827160493,0.41025641025641024,0.6270270270270271,0.554115017272912,0.6087369420702753,58,32,46,23
