fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.5522273778915405,1.5522273778915405,135,24,18,,,0.660141756021221,0.6226415094339622,0.6177587844254511,0.5867768595041323,0.8765432098765432,0.358974358974359,0.7029702970297029,0.5928644588596791,0.6899335232668565,71,28,50,10
2,1,300,300,val_loss,1.6351197957992554,1.6351197957992554,135,24,18,,,0.6434020306550324,0.6352201257861635,0.6381766381766382,0.7090909090909091,0.48148148148148145,0.7948717948717948,0.5735294117647058,0.6274240465416936,0.6842355175688508,39,62,16,42
3,1,300,300,val_loss,1.5520137548446655,1.5520137548446655,135,24,18,,,0.6707835595047601,0.6037735849056604,0.6066001899335233,0.6607142857142857,0.4567901234567901,0.7564102564102564,0.5401459854014599,0.5960398435294592,0.6359607470718582,37,59,19,44
4,1,300,300,val_loss,1.4802173376083374,1.4802173376083374,135,24,18,,,0.6673411199094915,0.6037735849056604,0.6092117758784426,0.7647058823529411,0.32098765432098764,0.8974358974358975,0.45217391304347826,0.5709145427286357,0.6836024058246281,26,70,8,55
5,1,300,300,val_loss,1.4809147119522095,1.4809147119522095,135,24,18,,,0.6558471033230517,0.6477987421383647,0.6479107312440646,0.6582278481012658,0.6419753086419753,0.6538461538461539,0.65,0.6477848101265823,0.6916745805634694,52,51,27,29
6,1,300,300,val_loss,1.6591895818710327,1.6591895818710327,135,24,18,,,0.6605750304494646,0.6415094339622641,0.6386514719848053,0.6153846153846154,0.7901234567901234,0.48717948717948717,0.6918918918918919,0.6316602316602317,0.6614434947768281,64,38,40,17
7,1,300,300,val_loss,1.7296282052993774,1.7296282052993774,135,24,18,,,0.654089487830503,0.6415094339622641,0.6396011396011396,0.625,0.7407407407407407,0.5384615384615384,0.6779661016949152,0.6368553912729895,0.6666666666666666,60,42,36,21
8,1,300,300,val_loss,1.5293430089950562,1.5293430089950562,136,24,17,,,0.6622386004722737,0.54375,0.5457884044381934,0.5740740740740741,0.38271604938271603,0.7088607594936709,0.45925925925925926,0.5323323323323323,0.6674480387560555,31,56,23,50
9,1,300,300,val_loss,1.6808953285217285,1.6808953285217285,136,24,17,,,0.6555144442668184,0.65625,0.6553367713705267,0.6413043478260869,0.7283950617283951,0.5822784810126582,0.6820809248554913,0.6539656324957729,0.6957337083919362,59,46,33,22
10,1,300,300,val_loss,1.4945791959762573,1.4945791959762573,136,24,17,,,0.656800015936392,0.6875,0.6882325363338022,0.7183098591549296,0.6296296296296297,0.7468354430379747,0.6710526315789473,0.6867167919799498,0.7129238943584936,51,59,20,30
11,2,300,300,val_loss,1.5366615056991577,1.5366615056991577,135,24,18,,,0.6745306396101908,0.6163522012578616,0.6146723646723646,0.6063829787234043,0.7037037037037037,0.5256410256410257,0.6514285714285715,0.6124275724275725,0.6546375435264324,57,41,37,24
12,2,300,300,val_loss,1.6318539381027222,1.6318539381027222,135,24,18,,,0.6464396043161655,0.6352201257861635,0.6348528015194682,0.6385542168674698,0.654320987654321,0.6153846153846154,0.6463414634146342,0.6348590433956287,0.7035454257676479,53,48,30,28
13,2,300,300,val_loss,1.603659749031067,1.603659749031067,135,24,18,,,0.6309537473097081,0.6792452830188679,0.6820987654320988,0.7678571428571429,0.5308641975308642,0.8333333333333334,0.6277372262773723,0.6729846352381337,0.7192149414371636,43,65,13,38
14,2,300,300,val_loss,1.5164810419082642,1.5164810419082642,135,24,18,,,0.6486678738777756,0.6352201257861635,0.6365147198480532,0.6666666666666666,0.5679012345679012,0.7051282051282052,0.6133333333333333,0.634047619047619,0.6896169673947451,46,55,23,35
15,2,300,300,val_loss,1.5354537963867188,1.5354537963867188,135,24,18,,,0.6516060991404948,0.6855345911949685,0.683048433048433,0.6534653465346535,0.8148148148148148,0.5512820512820513,0.7252747252747253,0.678813833225598,0.7122507122507121,66,43,35,15
16,2,300,300,val_loss,1.6592220067977905,1.6592220067977905,135,24,18,,,0.6257488345482675,0.6477987421383647,0.6431623931623931,0.6050420168067226,0.8888888888888888,0.3974358974358974,0.72,0.6227118644067797,0.7337765115542894,72,31,47,9
17,2,300,300,val_loss,1.5727277994155884,1.5727277994155884,135,24,18,,,0.6398633502675595,0.6289308176100629,0.6303418803418803,0.6617647058823529,0.5555555555555556,0.7051282051282052,0.6040268456375839,0.6274572098010405,0.6919911364355809,45,55,23,36
18,2,300,300,val_loss,1.4823960065841675,1.4823960065841675,136,24,17,,,0.6538719530136117,0.55625,0.5581340834505392,0.5892857142857143,0.4074074074074074,0.7088607594936709,0.48175182481751827,0.5468868413705078,0.6685419596812002,33,56,23,48
19,2,300,300,val_loss,1.5186189413070679,1.5186189413070679,136,24,17,,,0.6609828111331777,0.6375,0.6360368807626191,0.6161616161616161,0.7530864197530864,0.5189873417721519,0.6777777777777778,0.6317460317460317,0.6741678387248007,61,41,38,20
20,2,300,300,val_loss,1.4266294240951538,1.4266294240951538,136,24,17,,,0.6513601683657846,0.65,0.648226285357087,0.6213592233009708,0.7901234567901234,0.5063291139240507,0.6956521739130435,0.6419437340153453,0.7060478199718705,64,40,39,17
