fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6930705904960632,0.6930705904960632,135,24,18,,,0.6901843527947268,0.5408805031446541,0.5396486229819564,0.5444444444444444,0.6049382716049383,0.47435897435897434,0.5730994152046783,0.538250387874448,0.5753402975625197,49,37,41,32
2,1,95,70,val_loss,0.6597170233726501,0.6597170233726501,135,24,18,,,0.6262274662017115,0.6352201257861635,0.6336657169990503,0.6236559139784946,0.7160493827160493,0.5512820512820513,0.6666666666666666,0.6319444444444444,0.7459639126305793,58,43,35,23
3,1,92,67,val_loss,0.6835169792175293,0.6835169792175293,135,24,18,,,0.6372800756172677,0.6729559748427673,0.6721272554605888,0.6666666666666666,0.7160493827160493,0.6282051282051282,0.6904761904761905,0.6719047619047619,0.7496043051598607,58,49,29,23
4,1,181,156,val_loss,0.5855479836463928,0.5855479836463928,135,24,18,,,0.5189419891563851,0.7610062893081762,0.7606837606837606,0.7590361445783133,0.7777777777777778,0.7435897435897436,0.7682926829268293,0.7607697180867913,0.8447293447293448,63,58,20,18
5,1,91,66,val_loss,0.6820957064628601,0.6820957064628601,135,24,18,,,0.6274026406572697,0.6289308176100629,0.6263057929724596,0.6078431372549019,0.7654320987654321,0.48717948717948717,0.6775956284153005,0.6202792956891318,0.7152579930357709,62,38,40,19
6,1,29,4,val_loss,0.6906757354736328,0.6906757354736328,135,24,18,,,0.6887724054722155,0.559748427672956,0.5522317188983856,0.5384615384615384,0.9506172839506173,0.15384615384615385,0.6875,0.47140957446808507,0.5976574865463754,77,12,66,4
7,1,27,2,val_loss,0.7043552994728088,0.7043552994728088,135,24,18,,,0.6955956317622816,0.4591194968553459,0.45773979107312446,0.4725274725274725,0.5308641975308642,0.38461538461538464,0.5,0.4554794520547945,0.4601139601139601,43,30,48,38
8,1,60,35,val_loss,0.6957443356513977,0.6957443356513977,136,24,17,,,0.6711518199076787,0.65,0.6486951086107204,0.6288659793814433,0.7530864197530864,0.5443037974683544,0.6853932584269663,0.6455135306219338,0.7305829035786842,61,43,36,20
9,1,26,1,val_loss,0.6937376856803894,0.6937376856803894,136,24,17,,,0.6998470164690784,0.46875,0.4706204094389748,0.4642857142857143,0.32098765432098764,0.620253164556962,0.3795620437956204,0.4575405847393403,0.40975152367557427,26,49,30,55
10,1,125,100,val_loss,0.685586154460907,0.685586154460907,136,24,17,,,0.6278272993516931,0.65,0.6513517737146429,0.6984126984126984,0.5432098765432098,0.759493670886076,0.6111111111111112,0.6464646464646464,0.749492108141897,44,60,19,37
11,2,28,3,val_loss,0.6794304847717285,0.6794304847717285,135,24,18,,,0.6939611317363567,0.48427672955974843,0.4926400759734093,0.4444444444444444,0.04938271604938271,0.9358974358974359,0.08888888888888889,0.3646198830409357,0.4927192149414371,4,73,5,77
12,2,40,15,val_loss,0.7139043807983398,0.7139043807983398,135,24,18,,,0.6858252803676257,0.5031446540880503,0.4940645773979107,0.5064102564102564,0.9753086419753086,0.01282051282051282,0.6666666666666666,0.345679012345679,0.6307375751820196,79,1,77,2
