fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.7256078720092773,0.7256078720092773,135,24,18,,,0.7038402150337671,0.3836477987421384,0.38342830009496676,0.3950617283950617,0.3950617283950617,0.3717948717948718,0.3950617283950617,0.38342830009496676,0.40804051915163025,32,29,49,49
2,1,58,33,val_loss,0.6346551775932312,0.6346551775932312,135,24,18,,,0.604375549935008,0.660377358490566,0.6595441595441596,0.6551724137931034,0.7037037037037037,0.6153846153846154,0.6785714285714286,0.6592857142857143,0.7412155745489079,57,48,30,24
3,1,73,48,val_loss,0.6537564396858215,0.6537564396858215,135,24,18,,,0.6149741462968865,0.6981132075471698,0.6987179487179487,0.72,0.6666666666666666,0.7307692307692307,0.6923076923076923,0.698005698005698,0.7652738208293763,54,57,21,27
4,1,90,65,val_loss,0.5245478749275208,0.5245478749275208,135,24,18,,,0.5550010545529196,0.7232704402515723,0.7231718898385565,0.7283950617283951,0.7283950617283951,0.717948717948718,0.7283950617283951,0.7231718898385565,0.7893320671098448,59,56,22,22
5,1,39,14,val_loss,0.6898176670074463,0.6898176670074463,135,24,18,,,0.669973819851822,0.610062893081761,0.6049382716049383,0.5772357723577236,0.8765432098765432,0.3333333333333333,0.696078431372549,0.5761093911248709,0.6530547641658752,71,26,52,10
6,1,61,36,val_loss,0.6591816544532776,0.6591816544532776,135,24,18,,,0.6166031924457236,0.660377358490566,0.6597815764482431,0.6588235294117647,0.691358024691358,0.6282051282051282,0.6746987951807228,0.6597178186429931,0.7222222222222222,56,49,29,25
7,1,26,1,val_loss,0.683515727519989,0.683515727519989,135,24,18,,,0.6945426713966651,0.49056603773584906,0.48385565052231716,0.5,0.8395061728395061,0.1282051282051282,0.6267281105990783,0.41237395628963813,0.5207344096232984,68,10,68,13
8,1,31,6,val_loss,0.6822640299797058,0.6822640299797058,136,24,17,,,0.6836855395936937,0.575,0.5750898577902797,0.5822784810126582,0.5679012345679012,0.5822784810126582,0.575,0.575,0.5924363181747148,46,46,33,35
9,1,28,3,val_loss,0.7114545702934265,0.7114545702934265,136,24,17,,,0.6854725069384243,0.575,0.5707141740897015,0.5481481481481482,0.9135802469135802,0.22784810126582278,0.6851851851851852,0.5156695156695157,0.5675886857321456,74,18,61,7
10,1,26,1,val_loss,0.6874520182609558,0.6874520182609558,136,24,17,,,0.6945679972815673,0.48125,0.4779653070792311,0.4918032786885246,0.7407407407407407,0.21518987341772153,0.5911330049261084,0.4408656477621995,0.4883575558681044,60,17,62,21
11,2,26,1,val_loss,0.6894863247871399,0.6894863247871399,135,24,18,,,0.6943325549847931,0.4968553459119497,0.48979107312440645,0.5035971223021583,0.8641975308641975,0.11538461538461539,0.6363636363636364,0.4100185528756957,0.49778410889521996,70,9,69,11
12,2,43,18,val_loss,0.6765909194946289,0.6765909194946289,135,24,18,,,0.665717698031028,0.6352201257861635,0.6317663817663818,0.6055045871559633,0.8148148148148148,0.44871794871794873,0.6947368421052632,0.6208059210526315,0.6804368471035137,66,35,43,15
13,2,52,27,val_loss,0.6750418543815613,0.6750418543815613,135,24,18,,,0.6496834550746852,0.6163522012578616,0.6158594491927825,0.6190476190476191,0.6419753086419753,0.5897435897435898,0.6303030303030303,0.6158051099227569,0.6723646723646723,52,46,32,29
14,2,69,44,val_loss,0.6295743584632874,0.6295743584632874,135,24,18,,,0.617650386072459,0.660377358490566,0.6602564102564102,0.6666666666666666,0.6666666666666666,0.6538461538461539,0.6666666666666666,0.6602564102564102,0.7114593225704338,54,51,27,27
15,2,64,39,val_loss,0.6589884757995605,0.6589884757995605,135,24,18,,,0.597478664667123,0.6666666666666666,0.6654795821462488,0.6555555555555556,0.7283950617283951,0.6025641025641025,0.6900584795321637,0.6647571309225444,0.7549857549857549,59,47,31,22
16,2,28,3,val_loss,0.7006537318229675,0.7006537318229675,135,24,18,,,0.6946611172425177,0.5094339622641509,0.5028490028490029,0.5111111111111111,0.8518518518518519,0.15384615384615385,0.6388888888888888,0.43709150326797386,0.5318138651471984,69,12,66,12
17,2,41,16,val_loss,0.6606003642082214,0.6606003642082214,135,24,18,,,0.6565337618263388,0.5974842767295597,0.5954415954415955,0.5876288659793815,0.7037037037037037,0.48717948717948717,0.6404494382022472,0.591653290529695,0.6855017410572966,57,38,40,24
18,2,26,1,val_loss,0.7029464840888977,0.7029464840888977,136,24,17,,,0.7003310085081329,0.45625,0.45921237693389594,0.42857142857142855,0.2222222222222222,0.6962025316455697,0.2926829268292683,0.42552928067351736,0.47866854195968117,18,55,24,63
19,2,28,3,val_loss,0.7118037343025208,0.7118037343025208,136,24,17,,,0.6916710813463355,0.48125,0.480309423347398,0.4891304347826087,0.5555555555555556,0.4050632911392405,0.5202312138728323,0.4778026817663481,0.5282075324269416,45,32,47,36
20,2,29,4,val_loss,0.6844191551208496,0.6844191551208496,136,24,17,,,0.6884223912717085,0.5375,0.535552430067198,0.5333333333333333,0.691358024691358,0.379746835443038,0.6021505376344086,0.5249558658321297,0.5514924206907329,56,30,49,25
21,3,26,1,val_loss,0.678900957107544,0.678900957107544,135,24,18,,,0.6918769441776966,0.5345911949685535,0.5372744539411206,0.5614035087719298,0.3950617283950617,0.6794871794871795,0.463768115942029,0.5263285024154589,0.5457423235201012,32,53,25,49
22,3,105,80,val_loss,0.5590289235115051,0.5590289235115051,135,24,18,,,0.5334539427575871,0.7044025157232704,0.7051282051282051,0.7297297297297297,0.6666666666666666,0.7435897435897436,0.6967741935483871,0.7042153176330892,0.8088002532446977,54,58,20,27
23,3,26,1,val_loss,0.6943209767341614,0.6943209767341614,135,24,18,,,0.6800296576639889,0.5911949685534591,0.5916429249762583,0.6052631578947368,0.5679012345679012,0.6153846153846154,0.5859872611464968,0.5911302765359814,0.6138018360240582,46,48,30,35
24,3,26,1,val_loss,0.6880364418029785,0.6880364418029785,135,24,18,,,0.6908929113854221,0.5094339622641509,0.50332383665717,0.5114503816793893,0.8271604938271605,0.1794871794871795,0.6320754716981132,0.44811320754716977,0.5367204811649255,67,14,64,14
25,3,26,1,val_loss,0.6897721290588379,0.6897721290588379,135,24,18,,,0.6969903406051248,0.4716981132075472,0.4674738841405508,0.48695652173913045,0.691358024691358,0.24358974358974358,0.5714285714285714,0.4414519906323185,0.46138018360240574,56,19,59,25
26,3,27,2,val_loss,0.6956910490989685,0.6956910490989685,135,24,18,,,0.6920905674146586,0.5031446540880503,0.4992877492877493,0.5089285714285714,0.7037037037037037,0.2948717948717949,0.5906735751295337,0.47933678756476683,0.5371953149730927,57,23,55,24
27,3,103,78,val_loss,0.5807341933250427,0.5807341933250427,135,24,18,,,0.6155227524616543,0.6666666666666666,0.6690408357075024,0.7333333333333333,0.5432098765432098,0.7948717948717948,0.624113475177305,0.6623392234643587,0.7393162393162394,44,62,16,37
28,3,28,3,val_loss,0.7126905918121338,0.7126905918121338,136,24,17,,,0.6909998065850281,0.5375,0.5344585091420535,0.5294117647058824,0.7777777777777778,0.2911392405063291,0.63,0.5066666666666667,0.540865760275043,63,23,56,18
29,3,26,1,val_loss,0.6927205920219421,0.6927205920219421,136,24,17,,,0.6894675995074786,0.54375,0.543131739334271,0.5454545454545454,0.5925925925925926,0.4936708860759494,0.5680473372781065,0.5423018143344175,0.5446163463041099,48,39,40,33
30,3,26,1,val_loss,0.7058537602424622,0.7058537602424622,136,24,17,,,0.6946397649421435,0.5125,0.5071104860134396,0.5100671140939598,0.9382716049382716,0.0759493670886076,0.6608695652173913,0.3971014492753623,0.5072667604313174,76,6,73,5
31,4,69,44,val_loss,0.6241559386253357,0.6241559386253357,135,24,18,,,0.6009596321711882,0.6981132075471698,0.6975308641975309,0.6941176470588235,0.7283950617283951,0.6666666666666666,0.7108433734939759,0.6975269499048826,0.7426400759734093,59,52,26,22
32,4,54,29,val_loss,0.6683152318000793,0.6683152318000793,135,24,18,,,0.632804121543047,0.6477987421383647,0.6445868945868946,0.616822429906542,0.8148148148148148,0.47435897435897434,0.7021276595744681,0.6356792144026187,0.7249129471351694,66,37,41,15
33,4,26,1,val_loss,0.6769644618034363,0.6769644618034363,135,24,18,,,0.697738825433416,0.49056603773584906,0.48575498575498577,0.5,0.7407407407407407,0.23076923076923078,0.5970149253731343,0.452353616532721,0.4949351060462171,60,18,60,21
34,4,36,11,val_loss,0.7057042121887207,0.7057042121887207,135,24,18,,,0.6635828345252075,0.6037735849056604,0.6004273504273504,0.5833333333333334,0.7777777777777778,0.4230769230769231,0.6666666666666666,0.5891472868217054,0.6585944919278253,63,33,45,18
35,4,26,1,val_loss,0.6701655387878418,0.6701655387878418,135,24,18,,,0.6823175921137927,0.5345911949685535,0.5299145299145299,0.5294117647058824,0.7777777777777778,0.28205128205128205,0.63,0.5014406779661017,0.599556821779044,63,22,56,18
36,4,26,1,val_loss,0.6775335669517517,0.6775335669517517,135,24,18,,,0.6962514919118538,0.4528301886792453,0.4506172839506173,0.46938775510204084,0.5679012345679012,0.3333333333333333,0.5139664804469274,0.4440335999356939,0.46818613485280147,46,26,52,35
37,4,53,28,val_loss,0.6965959072113037,0.6965959072113037,135,24,18,,,0.6419043254735485,0.6226415094339622,0.6196581196581197,0.6,0.7777777777777778,0.46153846153846156,0.6774193548387096,0.6114369501466275,0.7086103197214308,63,36,42,18
38,4,26,1,val_loss,0.6630167961120605,0.6630167961120605,136,24,17,,,0.6876376534915931,0.54375,0.5396937021409595,0.5303030303030303,0.8641975308641975,0.21518987341772153,0.6572769953051644,0.48751700232547934,0.5682137834036568,70,17,62,11
39,4,26,1,val_loss,0.6854307651519775,0.6854307651519775,136,24,17,,,0.6983231282946718,0.5,0.4953899046726051,0.5035971223021583,0.8641975308641975,0.12658227848101267,0.6363636363636364,0.4181818181818182,0.4775746210345366,70,10,69,11
40,4,95,70,val_loss,0.6127308011054993,0.6127308011054993,136,24,17,,,0.47964799725576057,0.76875,0.7691045475855602,0.7894736842105263,0.7407407407407407,0.7974683544303798,0.7643312101910829,0.768668672580204,0.8551336146272855,60,63,16,21
41,5,74,49,val_loss,0.6410929560661316,0.6410929560661316,135,24,18,,,0.5718176240081804,0.7358490566037735,0.7369420702754036,0.7746478873239436,0.6790123456790124,0.7948717948717948,0.7236842105263158,0.7353360811667724,0.7815764482431149,55,62,16,26
42,5,83,58,val_loss,0.6151847839355469,0.6151847839355469,135,24,18,,,0.5802068526765681,0.7358490566037735,0.7350427350427351,0.7241379310344828,0.7777777777777778,0.6923076923076923,0.75,0.735,0.7641658752769863,63,54,24,18
43,5,84,59,val_loss,0.6471779346466064,0.6471779346466064,135,24,18,,,0.5206906544201511,0.7169811320754716,0.7177113010446343,0.7432432432432432,0.6790123456790124,0.7564102564102564,0.7096774193548387,0.7168018998614685,0.8187717632162077,55,59,19,26
44,5,26,1,val_loss,0.674582302570343,0.674582302570343,135,24,18,,,0.7072275966166771,0.4779874213836478,0.47768281101614435,0.4878048780487805,0.49382716049382713,0.46153846153846156,0.49079754601226994,0.477656837522264,0.4404874960430516,40,36,42,41
45,5,30,5,val_loss,0.6820324063301086,0.6820324063301086,135,24,18,,,0.6818596604134933,0.6163522012578616,0.6144349477682811,0.6041666666666666,0.7160493827160493,0.5128205128205128,0.655367231638418,0.6113715590816204,0.6419753086419753,58,40,38,23
46,5,26,1,val_loss,0.7044574618339539,0.7044574618339539,135,24,18,,,0.7001856823784143,0.4779874213836478,0.4700854700854701,0.4931506849315068,0.8888888888888888,0.05128205128205128,0.6343612334801763,0.3611366606961321,0.4794238683127572,72,4,74,9
47,5,26,1,val_loss,0.6957166194915771,0.6957166194915771,135,24,18,,,0.6992756257106639,0.4716981132075472,0.4700854700854701,0.4838709677419355,0.5555555555555556,0.38461538461538464,0.5172413793103449,0.46695402298850575,0.49477682811016144,45,30,48,36
48,5,28,3,val_loss,0.7025282979011536,0.7025282979011536,136,24,17,,,0.6893332241086838,0.5,0.4994530395374277,0.5057471264367817,0.5432098765432098,0.45569620253164556,0.5238095238095238,0.4987468671679198,0.5308641975308641,44,36,43,37
49,5,26,1,val_loss,0.6923211216926575,0.6923211216926575,136,24,17,,,0.6932656725200685,0.48125,0.4781215814971089,0.49166666666666664,0.7283950617283951,0.22784810126582278,0.5870646766169154,0.4447928425101384,0.5088295046100952,59,18,61,22
50,5,26,1,val_loss,0.6932410597801208,0.6932410597801208,136,24,17,,,0.6924588683579206,0.53125,0.5289107673073917,0.5272727272727272,0.7160493827160493,0.34177215189873417,0.6073298429319371,0.512967247047364,0.5274261603375527,58,27,52,23
