fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,27,2,val_loss,0.697080135345459,0.697080135345459,135,24,18,,,0.6949825699853927,0.48427672955974843,0.4869420702754036,0.49122807017543857,0.345679012345679,0.6282051282051282,0.4057971014492754,0.4751207729468599,0.49730927508705286,28,49,29,53
2,1,41,16,val_loss,0.6631743907928467,0.6631743907928467,135,24,18,,,0.634126922580551,0.6792452830188679,0.6780626780626781,0.6666666666666666,0.7407407407407407,0.6153846153846154,0.7017543859649122,0.677407805227354,0.7432731877176321,60,48,30,21
3,1,40,15,val_loss,0.6778814196586609,0.6778814196586609,135,24,18,,,0.6702915773066513,0.6163522012578616,0.6156220322886989,0.6162790697674418,0.654320987654321,0.5769230769230769,0.6347305389221557,0.6153785144941905,0.6961063627730295,53,45,33,28
4,1,65,40,val_loss,0.504847526550293,0.504847526550293,135,24,18,,,0.5421003292150661,0.7358490566037735,0.7359924026590694,0.7468354430379747,0.7283950617283951,0.7435897435897436,0.7375,0.7358386075949368,0.8072174738841406,59,58,20,22
5,1,45,20,val_loss,0.6725533604621887,0.6725533604621887,135,24,18,,,0.6272506433404694,0.6352201257861635,0.6322412155745489,0.6095238095238096,0.7901234567901234,0.47435897435897434,0.6881720430107527,0.6243890518084066,0.7274453941120608,64,37,41,17
6,1,43,18,val_loss,0.670800507068634,0.670800507068634,135,24,18,,,0.6439323448943326,0.6477987421383647,0.6448243114909782,0.6190476190476191,0.8024691358024691,0.48717948717948717,0.6989247311827957,0.6373411534701858,0.715099715099715,65,38,40,16
7,1,57,32,val_loss,0.663356363773346,0.663356363773346,135,24,18,,,0.6048327801335579,0.660377358490566,0.6588319088319088,0.6451612903225806,0.7407407407407407,0.5769230769230769,0.6896551724137931,0.6573275862068966,0.7408990186767963,60,45,33,21
8,1,34,9,val_loss,0.6810827851295471,0.6810827851295471,136,24,17,,,0.6681249793431021,0.64375,0.6434599156118144,0.6428571428571429,0.6666666666666666,0.620253164556962,0.6545454545454545,0.6434017595307917,0.670886075949367,54,49,30,27
9,1,26,1,val_loss,0.7123751640319824,0.7123751640319824,136,24,17,,,0.7023831114829366,0.49375,0.4879668698234099,0.5,0.9506172839506173,0.02531645569620253,0.6553191489361702,0.35118898623279093,0.47147991873730266,77,2,77,4
10,1,26,1,val_loss,0.6925505995750427,0.6925505995750427,136,24,17,,,0.6902336309937173,0.5125,0.5069542115955619,0.5099337748344371,0.9506172839506173,0.06329113924050633,0.6637931034482759,0.3887147335423198,0.5754024066260353,77,5,74,4
11,2,27,2,val_loss,0.6899787783622742,0.6899787783622742,135,24,18,,,0.6858186543146578,0.5408805031446541,0.5346628679962013,0.5303030303030303,0.8641975308641975,0.20512820512820512,0.6572769953051644,0.4810194500335346,0.6036720481164926,70,16,62,11
12,2,42,17,val_loss,0.6817415356636047,0.6817415356636047,135,24,18,,,0.6499251519245351,0.6415094339622641,0.6405508072174739,0.6363636363636364,0.691358024691358,0.5897435897435898,0.6627218934911243,0.6400857789603273,0.7268122823678379,56,46,32,25
13,2,41,16,val_loss,0.6750588417053223,0.6750588417053223,135,24,18,,,0.6503315391604106,0.6540880503144654,0.6528964862298196,0.6444444444444445,0.7160493827160493,0.5897435897435898,0.6783625730994152,0.6521064566177348,0.7089268755935422,58,46,32,23
