fold,repeat,subject,subject_id,split
1,1,133,NYU-1700637,fit
1,1,64,NYU-10125,fit
1,1,157,NYU-1875084,fit
1,1,115,NYU-10053,fit
1,1,90,NYU-10034,fit
1,1,33,NYU-6206397,fit
1,1,117,NYU-10007,fit
1,1,126,NYU-10022,fit
1,1,87,NYU-10085,fit
1,1,142,NYU-1567356,fit
1,1,128,NYU-10045,fit
1,1,16,NYU-3457975,fit
1,1,92,NYU-10017,fit
1,1,131,NYU-10059,fit
1,1,163,NYU-1737393,fit
1,1,24,NYU-4562206,fit
1,1,6,NYU-3011311,fit
1,1,52,NYU-10078,fit
1,1,9,NYU-8834383,fit
1,1,72,NYU-10069,fit
1,1,161,NYU-1934623,fit
1,1,47,NYU-10113,fit
1,1,32,NYU-3163200,fit
1,1,37,NYU-10107,fit
1,1,58,NYU-10064,fit
1,1,172,NYU-1918630,fit
1,1,159,NYU-2136051,fit
1,1,102,NYU-10038,fit
1,1,114,NYU-10001,fit
1,1,71,NYU-10065,fit
1,1,68,NYU-10072,fit
1,1,129,NYU-10002,fit
1,1,18,NYU-9750701,fit
1,1,176,NYU-1471736,fit
1,1,67,NYU-10124,fit
1,1,76,NYU-10062,fit
1,1,124,NYU-10052,fit
1,1,15,NYU-9907452,fit
1,1,99,NYU-10048,fit
1,1,35,NYU-10083,fit
1,1,14,NYU-9326955,fit
1,1,53,NYU-10076,fit
1,1,138,NYU-1884448,fit
1,1,74,NYU-10123,fit
1,1,164,NYU-1099481,fit
1,1,120,NYU-10040,fit
1,1,83,NYU-10095,fit
1,1,29,NYU-5164727,fit
1,1,121,NYU-10004,fit
1,1,26,NYU-3349205,fit
1,1,118,NYU-10010,fit
1,1,86,NYU-10084,fit
1,1,4,NYU-3243657,fit
1,1,21,NYU-4116166,fit
1,1,55,NYU-10089,fit
1,1,60,NYU-10104,fit
1,1,130,NYU-10023,fit
1,1,22,NYU-8415034,fit
1,1,140,NYU-1359325,fit
1,1,31,NYU-4827048,fit
1,1,155,NYU-1283494,fit
1,1,132,NYU-1995121,fit
1,1,43,NYU-10115,fit
1,1,119,NYU-10008,fit
1,1,7,NYU-4079254,fit
