fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.517133355140686,1.517133355140686,135,24,18,,,0.6786804774719408,0.5471698113207547,0.5417853751187085,0.536,0.8271604938271605,0.2564102564102564,0.6504854368932039,0.5038141470180305,0.584045584045584,67,20,58,14
2,1,300,300,val_loss,1.6804863214492798,1.6804863214492798,135,24,18,,,0.6592626036922367,0.6163522012578616,0.6203703703703703,0.717391304347826,0.4074074074074074,0.8333333333333334,0.5196850393700787,0.6001566558106939,0.6728395061728395,33,65,13,48
3,1,300,300,val_loss,1.5684833526611328,1.5684833526611328,135,24,18,,,0.6725275186564029,0.6163522012578616,0.6189458689458689,0.6724137931034483,0.48148148148148145,0.7564102564102564,0.5611510791366906,0.6101844781158313,0.637701804368471,39,59,19,42
4,1,300,300,val_loss,1.4693626165390015,1.4693626165390015,135,24,18,,,0.6676530318954833,0.610062893081761,0.6144349477682811,0.7209302325581395,0.38271604938271603,0.8461538461538461,0.5,0.5902061855670103,0.686926242481798,31,66,12,50
5,1,300,300,val_loss,1.4651063680648804,1.4651063680648804,135,24,18,,,0.6355636699691183,0.7044025157232704,0.7044159544159545,0.7125,0.7037037037037037,0.7051282051282052,0.7080745341614907,0.704355738418325,0.741057296612852,57,55,23,24
6,1,300,300,val_loss,1.6696244478225708,1.6696244478225708,135,24,18,,,0.6579289544650903,0.610062893081761,0.6054131054131054,0.5798319327731093,0.8518518518518519,0.358974358974359,0.69,0.5822881355932203,0.6623931623931623,69,28,50,12
7,1,300,300,val_loss,1.727634310722351,1.727634310722351,135,24,18,,,0.6560463603464626,0.6352201257861635,0.6320037986704654,0.6074766355140186,0.8024691358024691,0.46153846153846156,0.6914893617021277,0.6226677577741409,0.6712567268122823,65,36,42,16
8,1,300,300,val_loss,1.5410906076431274,1.5410906076431274,136,24,17,,,0.6628298806721791,0.61875,0.6214252226910455,0.717391304347826,0.4074074074074074,0.8354430379746836,0.5196850393700787,0.6018114316021378,0.6672917643381778,33,66,13,48
9,1,300,300,val_loss,1.7296701669692993,1.7296701669692993,136,24,17,,,0.6552196647137867,0.6375,0.6379121737771527,0.6533333333333333,0.6049382716049383,0.6708860759493671,0.6282051282051282,0.6372732958098812,0.6840131270511016,49,53,26,32
10,1,300,300,val_loss,1.5159049034118652,1.5159049034118652,136,24,17,,,0.6700419649817768,0.59375,0.5934521018909205,0.5952380952380952,0.6172839506172839,0.569620253164557,0.6060606060606061,0.5933528836754643,0.6630723550554775,50,45,34,31
11,2,300,300,val_loss,1.589499831199646,1.589499831199646,135,24,18,,,0.658755856856226,0.5911949685534591,0.5880816714150048,0.5754716981132075,0.7530864197530864,0.4230769230769231,0.6524064171122995,0.5781116055027147,0.6729977841088952,61,33,45,20
12,2,300,300,val_loss,1.6722898483276367,1.6722898483276367,135,24,18,,,0.6535714426560788,0.6037735849056604,0.6028015194681862,0.6022727272727273,0.654320987654321,0.5512820512820513,0.6272189349112426,0.6022000714824669,0.6809116809116809,53,43,35,28
13,2,300,300,val_loss,1.585096001625061,1.585096001625061,135,24,18,,,0.6536855936625608,0.6226415094339622,0.6222697056030388,0.6265060240963856,0.6419753086419753,0.6025641025641025,0.6341463414634146,0.6222679759265125,0.6804368471035137,52,47,31,29
14,2,300,300,val_loss,1.5031791925430298,1.5031791925430298,135,24,18,,,0.6469158123869035,0.660377358490566,0.6628679962013295,0.7288135593220338,0.5308641975308642,0.7948717948717948,0.6142857142857143,0.6554574638844302,0.7147831592276037,43,62,16,38
15,2,300,300,val_loss,1.5623551607131958,1.5623551607131958,135,24,18,,,0.6529574219865759,0.6415094339622641,0.641025641025641,0.6428571428571429,0.6666666666666666,0.6153846153846154,0.6545454545454545,0.6409982174688057,0.7155745489078823,54,48,30,27
16,2,300,300,val_loss,1.6188901662826538,1.6188901662826538,135,24,18,,,0.65991777593936,0.6163522012578616,0.6113485280151947,0.5819672131147541,0.8765432098765432,0.34615384615384615,0.6995073891625616,0.584536303276933,0.6620766065210509,71,27,51,10
17,2,300,300,val_loss,1.56792414188385,1.56792414188385,135,24,18,,,0.6344015899067682,0.6289308176100629,0.6303418803418803,0.6617647058823529,0.5555555555555556,0.7051282051282052,0.6040268456375839,0.6274572098010405,0.7033871478315923,45,55,23,36
18,2,300,300,val_loss,1.458319067955017,1.458319067955017,136,24,17,,,0.6771641290261903,0.55625,0.5592280043756837,0.6190476190476191,0.32098765432098764,0.7974683544303798,0.42276422764227645,0.531179068135859,0.6097827785591499,26,63,16,55
19,2,300,300,val_loss,1.4853049516677856,1.4853049516677856,136,24,17,,,0.6661009875922075,0.60625,0.6040787623066104,0.5833333333333334,0.7777777777777778,0.43037974683544306,0.6666666666666666,0.5928753180661577,0.6469760900140646,63,34,45,18
