fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4668222665786743,1.4668222665786743,29,6,4,,,0.6690671585349954,0.6571428571428571,0.6398026315789473,0.7,0.4375,0.8421052631578947,0.5384615384615384,0.6328671328671329,0.667763157894737,7,16,3,9
2,1,300,300,val_loss,1.5944095849990845,1.5944095849990845,29,6,4,,,0.7100042413051791,0.5428571428571428,0.5049342105263157,0.5,0.0625,0.9473684210526315,0.1111111111111111,0.4017094017094017,0.33223684210526316,1,18,1,15
3,1,300,300,val_loss,1.5030384063720703,1.5030384063720703,29,6,4,,,0.6855321761173954,0.6571428571428571,0.6,1.0,0.2,1.0,0.3333333333333333,0.5512820512820513,0.5366666666666666,3,20,0,12
4,1,300,300,val_loss,1.4759408235549927,1.4759408235549927,29,6,4,,,0.6676580966441281,0.6571428571428571,0.6083333333333333,0.8,0.26666666666666666,0.95,0.4,0.5800000000000001,0.6699999999999999,4,19,1,11
5,1,33,8,val_loss,1.5757684707641602,1.5757684707641602,29,6,4,,,0.6925954505805807,0.5714285714285714,0.525,0.5,0.2,0.85,0.2857142857142857,0.4897959183673469,0.45999999999999996,3,17,3,12
6,1,300,300,val_loss,1.5808476209640503,1.5808476209640503,29,6,4,,,0.690309726676943,0.45714285714285713,0.42500000000000004,0.3,0.2,0.65,0.24,0.40888888888888886,0.49333333333333335,3,13,7,12
7,1,300,300,val_loss,1.533696174621582,1.533696174621582,29,6,4,,,0.6993726053997819,0.4857142857142857,0.55,0.45454545454545453,1.0,0.1,0.625,0.40340909090909094,0.6033333333333334,15,2,18,0
8,1,300,300,val_loss,1.4594660997390747,1.4594660997390747,29,6,4,,,0.6861003439202377,0.5714285714285714,0.5,0.0,0.0,1.0,0.0,0.36363636363636365,0.5266666666666667,0,20,0,15
9,1,45,20,val_loss,1.628321647644043,1.628321647644043,29,6,4,,,0.6897815102789564,0.6,0.55,0.6,0.2,0.9,0.3,0.51,0.48000000000000004,3,18,2,12
10,1,300,300,val_loss,1.459506869316101,1.459506869316101,30,6,3,,,0.6969690397917337,0.3611111111111111,0.375,0.34782608695652173,0.5,0.25,0.41025641025641024,0.35664335664335667,0.44062500000000004,8,5,15,8
11,2,300,300,val_loss,1.5052200555801392,1.5052200555801392,29,6,4,,,0.7032794979019817,0.42857142857142855,0.4144736842105263,0.3333333333333333,0.25,0.5789473684210527,0.2857142857142857,0.40476190476190477,0.4078947368421053,4,11,8,12
12,2,300,300,val_loss,1.582750916481018,1.582750916481018,29,6,4,,,0.6713523222162646,0.6,0.5822368421052632,0.6,0.375,0.7894736842105263,0.46153846153846156,0.5716783216783217,0.6973684210526316,6,15,4,10
13,2,300,300,val_loss,1.4937211275100708,1.4937211275100708,29,6,4,,,0.6471044546560781,0.7142857142857143,0.7250000000000001,0.631578947368421,0.8,0.65,0.7058823529411765,0.7140522875816994,0.77,12,13,7,3
14,2,300,300,val_loss,1.4679886102676392,1.4679886102676392,29,6,4,,,0.6719547912221857,0.5428571428571428,0.5166666666666666,0.45454545454545453,0.3333333333333333,0.7,0.38461538461538464,0.5104895104895105,0.69,5,14,6,10
15,2,300,300,val_loss,1.473084807395935,1.473084807395935,29,6,4,,,0.6990984111583685,0.4,0.45,0.4,0.8,0.1,0.5333333333333333,0.3466666666666667,0.5933333333333334,12,2,18,3
16,2,41,16,val_loss,1.6301161050796509,1.6301161050796509,29,6,4,,,0.688146966309122,0.5142857142857142,0.55,0.46153846153846156,0.8,0.3,0.5853658536585366,0.49957947855340623,0.6533333333333333,12,6,14,3
17,2,142,117,val_loss,1.5978912115097046,1.5978912115097046,29,6,4,,,0.7114061888346976,0.45714285714285713,0.5,0.42857142857142855,0.8,0.2,0.5581395348837209,0.4272179155900086,0.41666666666666663,12,4,16,3
18,2,300,300,val_loss,1.4961990118026733,1.4961990118026733,29,6,4,,,0.6846185851780453,0.5142857142857142,0.45,0.0,0.0,0.9,0.0,0.33962264150943394,0.54,0,18,2,15
