fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.689970076084137,0.689970076084137,29,6,4,,,0.6884476131884016,0.6,0.606907894736842,0.55,0.6875,0.5263157894736842,0.6111111111111112,0.5996732026143792,0.6578947368421053,11,10,9,5
2,1,35,10,val_loss,0.6881598830223083,0.6881598830223083,29,6,4,,,0.6872108267290371,0.5142857142857142,0.537828947368421,0.48148148148148145,0.8125,0.2631578947368421,0.6046511627906976,0.487510766580534,0.6282894736842105,13,5,14,3
3,1,26,1,val_loss,0.694842517375946,0.694842517375946,29,6,4,,,0.6980237839611932,0.45714285714285713,0.5166666666666667,0.4375,0.9333333333333333,0.1,0.5957446808510638,0.38482886216466233,0.5433333333333333,14,2,18,1
4,1,300,300,val_loss,0.5443799495697021,0.5443799495697021,29,6,4,,,0.34331221696121544,0.9428571428571428,0.9333333333333333,1.0,0.8666666666666667,1.0,0.9285714285714286,0.9404761904761905,0.9833333333333334,13,20,0,2
5,1,32,7,val_loss,0.6829527020454407,0.6829527020454407,29,6,4,,,0.6937233448542705,0.37142857142857144,0.41666666666666663,0.3793103448275862,0.7333333333333333,0.1,0.5,0.3269230769230769,0.6066666666666667,11,2,18,4
6,1,26,1,val_loss,0.6966738700866699,0.6966738700866699,29,6,4,,,0.6906724060010886,0.5714285714285714,0.525,0.5,0.2,0.85,0.2857142857142857,0.4897959183673469,0.49,3,17,3,12
7,1,26,1,val_loss,0.6676802039146423,0.6676802039146423,29,6,4,,,0.6885990818249818,0.5428571428571428,0.5666666666666667,0.4782608695652174,0.7333333333333333,0.4,0.5789473684210527,0.5394736842105263,0.6333333333333333,11,8,12,4
8,1,89,64,val_loss,0.6901931762695312,0.6901931762695312,29,6,4,,,0.6641578906505469,0.7428571428571429,0.7083333333333333,0.875,0.4666666666666667,0.95,0.6086956521739131,0.7086031452358927,0.8833333333333333,7,19,1,8
9,1,35,10,val_loss,0.6946749687194824,0.6946749687194824,29,6,4,,,0.6826983029986115,0.6,0.5416666666666666,0.6666666666666666,0.13333333333333333,0.95,0.2222222222222222,0.47649572649572647,0.6066666666666667,2,19,1,13
10,1,66,41,val_loss,0.7015741467475891,0.7015741467475891,30,6,3,,,0.6800283124778406,0.6111111111111112,0.5625,1.0,0.125,1.0,0.2222222222222222,0.48148148148148145,0.6781250000000001,2,20,0,14
11,2,42,17,val_loss,0.688368558883667,0.688368558883667,29,6,4,,,0.6722528494634956,0.6285714285714286,0.59375,1.0,0.1875,1.0,0.3157894736842105,0.5304437564499485,0.7467105263157895,3,19,0,13
12,2,26,1,val_loss,0.685143768787384,0.685143768787384,29,6,4,,,0.7059209476701462,0.45714285714285713,0.5,0.45714285714285713,1.0,0.0,0.6274509803921569,0.3137254901960784,0.45065789473684215,16,0,19,0
13,2,26,1,val_loss,0.7041603922843933,0.7041603922843933,29,6,4,,,0.6891931935436695,0.5714285714285714,0.5,0.0,0.0,1.0,0.0,0.36363636363636365,0.4833333333333333,0,20,0,15
14,2,280,255,val_loss,0.639616072177887,0.639616072177887,29,6,4,,,0.43893311638631155,0.8,0.7833333333333333,0.8333333333333334,0.6666666666666666,0.9,0.7407407407407407,0.788975021533161,0.9533333333333334,10,18,2,5
