fold,repeat,subject,subject_id,split
1,1,6,NeuroIMAGE-2419464,fit
1,1,28,NeuroIMAGE-3858891,fit
1,1,2,NeuroIMAGE-8991934,fit
1,1,31,NeuroIMAGE-3980079,fit
1,1,36,NeuroIMAGE-3304956,fit
1,1,20,NeuroIMAGE-2876903,fit
1,1,21,NeuroIMAGE-7446626,fit
1,1,38,NeuroIMAGE-1411495,fit
1,1,16,NeuroIMAGE-3108222,fit
1,1,1,NeuroIMAGE-7504392,fit
1,1,13,NeuroIMAGE-9956994,fit
1,1,37,NeuroIMAGE-1538046,fit
1,1,10,NeuroIMAGE-1017176,fit
1,1,9,NeuroIMAGE-1312097,fit
1,1,23,NeuroIMAGE-3941358,fit
1,1,22,NeuroIMAGE-2074737,fit
1,1,4,NeuroIMAGE-2574674,fit
1,1,32,NeuroIMAGE-3449233,fit
1,1,35,NeuroIMAGE-2961243,fit
1,1,33,NeuroIMAGE-2756846,fit
1,1,7,NeuroIMAGE-4134561,fit
1,1,34,NeuroIMAGE-1208586,fit
1,1,14,NeuroIMAGE-2671604,fit
1,1,19,NeuroIMAGE-6115230,fit
1,1,12,NeuroIMAGE-3808273,fit
1,1,8,NeuroIMAGE-4239636,fit
1,1,17,NeuroIMAGE-4020830,fit
1,1,26,NeuroIMAGE-8387093,fit
1,1,25,NeuroIMAGE-2352986,fit
1,1,27,NeuroIMAGE-3322144,inner_val
1,1,3,NeuroIMAGE-3888614,inner_val
1,1,29,NeuroIMAGE-3007585,inner_val
1,1,15,NeuroIMAGE-3566449,inner_val
1,1,18,NeuroIMAGE-1125505,inner_val
1,1,11,NeuroIMAGE-8409791,inner_val
1,1,0,NeuroIMAGE-1588809,outer_val
1,1,5,NeuroIMAGE-7339173,outer_val
1,1,24,NeuroIMAGE-3959823,outer_val
1,1,30,NeuroIMAGE-3190461,outer_val
2,1,14,NeuroIMAGE-2671604,fit
2,1,23,NeuroIMAGE-3941358,fit
2,1,10,NeuroIMAGE-1017176,fit
2,1,32,NeuroIMAGE-3449233,fit
2,1,1,NeuroIMAGE-7504392,fit
2,1,30,NeuroIMAGE-3190461,fit
2,1,24,NeuroIMAGE-3959823,fit
2,1,21,NeuroIMAGE-7446626,fit
2,1,28,NeuroIMAGE-3858891,fit
2,1,17,NeuroIMAGE-4020830,fit
2,1,25,NeuroIMAGE-2352986,fit
