fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,2.031057119369507,2.031057119369507,29,6,4,,,0.6818218076884633,0.6,0.5625,1.0,0.125,1.0,0.2222222222222222,0.47649572649572647,0.6151315789473685,2,19,0,14
2,1,157,132,val_loss,2.198998212814331,2.198998212814331,29,6,4,,,0.6501390211658298,0.6571428571428571,0.6299342105263157,0.8333333333333334,0.3125,0.9473684210526315,0.45454545454545453,0.6022727272727273,0.7335526315789473,5,18,1,11
3,1,300,300,val_loss,2.0452816486358643,2.0452816486358643,29,6,4,,,0.6495691387207319,0.6285714285714286,0.6083333333333334,0.5833333333333334,0.4666666666666667,0.75,0.5185185185185185,0.6080964685615848,0.7566666666666667,7,15,5,8
4,1,300,300,val_loss,1.9397454261779785,1.9397454261779785,29,6,4,,,0.6490076916669358,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333333,0.8033333333333333,10,15,5,5
5,1,300,300,val_loss,1.9265984296798706,1.9265984296798706,29,6,4,,,0.6009312413582593,0.8,0.7833333333333333,0.8333333333333334,0.6666666666666666,0.9,0.7407407407407407,0.788975021533161,0.8466666666666667,10,18,2,5
6,1,300,300,val_loss,2.064979314804077,2.064979314804077,29,6,4,,,0.6203062937941465,0.7428571428571429,0.75,0.6666666666666666,0.8,0.7,0.7272727272727273,0.742014742014742,0.8866666666666667,12,14,6,3
7,1,281,256,val_loss,2.0379884243011475,2.0379884243011475,29,6,4,,,0.6047325018491213,0.7142857142857143,0.7166666666666666,0.6470588235294118,0.7333333333333333,0.7,0.6875,0.712171052631579,0.8333333333333333,11,14,6,4
8,1,300,300,val_loss,1.878825306892395,1.878825306892395,29,6,4,,,0.6213625509019305,0.6857142857142857,0.65,0.75,0.4,0.9,0.5217391304347826,0.6438482886216466,0.7966666666666666,6,18,2,9
9,1,300,300,val_loss,2.0966601371765137,2.0966601371765137,29,6,4,,,0.6045369500866951,0.7142857142857143,0.6833333333333333,0.7777777777777778,0.4666666666666667,0.9,0.5833333333333334,0.6829710144927537,0.84,7,18,2,8
10,1,300,300,val_loss,1.9469679594039917,1.9469679594039917,30,6,3,,,0.6527433502373977,0.7777777777777778,0.7875,0.7,0.875,0.7,0.7777777777777778,0.7777777777777778,0.859375,14,14,6,2
11,2,300,300,val_loss,1.9641715288162231,1.9641715288162231,29,6,4,,,0.608455126670827,0.7714285714285715,0.7598684210526316,0.8333333333333334,0.625,0.8947368421052632,0.7142857142857143,0.7619047619047619,0.881578947368421,10,17,2,6
12,2,300,300,val_loss,2.0580573081970215,2.0580573081970215,29,6,4,,,0.6356151976954972,0.6857142857142857,0.7055921052631579,0.6,0.9375,0.47368421052631576,0.7317073170731707,0.6761984861227923,0.8453947368421053,15,9,10,1
13,2,300,300,val_loss,1.9411972761154175,1.9411972761154175,29,6,4,,,0.6207473104678155,0.7142857142857143,0.7083333333333333,0.6666666666666666,0.6666666666666666,0.75,0.6666666666666666,0.7083333333333333,0.7566666666666666,10,15,5,5
14,2,300,300,val_loss,2.0044596195220947,2.0044596195220947,29,6,4,,,0.6367074164347241,0.6857142857142857,0.7083333333333334,0.5909090909090909,0.8666666666666667,0.55,0.7027027027027027,0.6846846846846847,0.8333333333333334,13,11,9,2
15,2,300,300,val_loss,2.0319535732269287,2.0319535732269287,29,6,4,,,0.6819012989496146,0.4857142857142857,0.5083333333333333,0.43478260869565216,0.6666666666666666,0.35,0.5263157894736842,0.4819078947368421,0.5866666666666667,10,7,13,5
16,2,300,300,val_loss,1.9450726509094238,1.9450726509094238,29,6,4,,,0.6389668409132458,0.6285714285714286,0.675,0.5357142857142857,1.0,0.35,0.6976744186046512,0.6080964685615848,0.8466666666666667,15,7,13,0
17,2,74,49,val_loss,2.228464126586914,2.228464126586914,29,6,4,,,0.7000899286530774,0.5714285714285714,0.5416666666666666,0.5,0.3333333333333333,0.75,0.4,0.5333333333333333,0.5,5,15,5,10
18,2,300,300,val_loss,1.9683141708374023,1.9683141708374023,29,6,4,,,0.6304363132985638,0.6571428571428571,0.625,0.6666666666666666,0.4,0.85,0.5,0.6195652173913043,0.75,6,17,3,9
19,2,300,300,val_loss,1.942521572113037,1.942521572113037,29,6,4,,,0.639197957833072,0.6285714285714286,0.675,0.5357142857142857,1.0,0.35,0.6976744186046512,0.6080964685615848,0.8466666666666667,15,7,13,0
