fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.387564778327942,1.387564778327942,50,9,7,,,0.6710054765163017,0.6271186440677966,0.6076470588235294,0.5714285714285714,0.48,0.7352941176470589,0.5217391304347826,0.6080917874396135,0.6729411764705883,12,25,9,13
2,1,26,1,val_loss,1.654158353805542,1.654158353805542,50,9,7,,,0.6933922885326284,0.559322033898305,0.4852941176470588,0.0,0.0,0.9705882352941176,0.0,0.358695652173913,0.4341176470588235,0,33,1,25
3,1,300,300,val_loss,1.4097086191177368,1.4097086191177368,50,9,7,,,0.6620964411704048,0.6101694915254238,0.5823529411764705,0.5555555555555556,0.4,0.7647058823529411,0.46511627906976744,0.5792248062015504,0.6282352941176471,10,26,8,15
4,1,300,300,val_loss,1.383775234222412,1.383775234222412,50,9,7,,,0.6833203667552404,0.576271186440678,0.5529411764705883,0.5,0.4,0.7058823529411765,0.4444444444444444,0.5509893455098934,0.5976470588235294,10,24,10,15
5,1,300,300,val_loss,1.4409595727920532,1.4409595727920532,50,9,7,,,0.6722025548638686,0.6610169491525424,0.6211764705882352,0.6923076923076923,0.36,0.8823529411764706,0.47368421052631576,0.6118421052631579,0.5882352941176471,9,30,4,16
6,1,300,300,val_loss,1.4616448879241943,1.4616448879241943,50,9,7,,,0.6658901497800799,0.6271186440677966,0.6394117647058823,0.5454545454545454,0.72,0.5588235294117647,0.6206896551724138,0.6270114942528735,0.6976470588235295,18,19,15,7
7,1,300,300,val_loss,1.4682434797286987,1.4682434797286987,51,9,6,,,0.6379250372360762,0.6166666666666667,0.62,0.5333333333333333,0.64,0.6,0.5818181818181818,0.613986013986014,0.6685714285714285,16,21,14,9
8,1,300,300,val_loss,1.3935174942016602,1.3935174942016602,51,9,6,,,0.6716713257532322,0.6,0.5428571428571428,0.5555555555555556,0.2,0.8857142857142857,0.29411764705882354,0.5075239398084815,0.608,5,31,4,20
9,1,30,5,val_loss,1.6106022596359253,1.6106022596359253,51,9,6,,,0.6855890386905815,0.5833333333333334,0.5554298642533937,0.5294117647058824,0.34615384615384615,0.7647058823529411,0.4186046511627907,0.546964663243733,0.5565610859728507,9,26,8,17
10,1,300,300,val_loss,1.4348911046981812,1.4348911046981812,51,9,6,,,0.693844088373325,0.48333333333333334,0.503393665158371,0.4358974358974359,0.6538461538461539,0.35294117647058826,0.5230769230769231,0.47972027972027975,0.5554298642533936,17,12,22,9
11,2,300,300,val_loss,1.3949986696243286,1.3949986696243286,50,9,7,,,0.6385353763602023,0.6779661016949152,0.6623529411764706,0.6363636363636364,0.56,0.7647058823529411,0.5957446808510638,0.6640695235241234,0.7752941176470588,14,26,8,11
