fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,73,48,val_loss,0.689910888671875,0.689910888671875,50,9,7,,,0.6250326215621679,0.711864406779661,0.6652941176470588,0.9,0.36,0.9705882352941176,0.5142857142857142,0.6547332185886403,0.8400000000000001,9,33,1,16
2,1,300,300,val_loss,0.4383396506309509,0.4383396506309509,50,9,7,,,0.33898355114622986,0.8813559322033898,0.8705882352941177,0.9090909090909091,0.8,0.9411764705882353,0.851063829787234,0.8762361402457297,0.963529411764706,20,32,2,5
3,1,158,133,val_loss,0.6377665996551514,0.6377665996551514,50,9,7,,,0.538308729856848,0.7627118644067796,0.7464705882352941,0.7619047619047619,0.64,0.8529411764705882,0.6956521739130435,0.7506038647342995,0.8623529411764707,16,29,5,9
4,1,300,276,val_loss,0.48034313321113586,0.48034313321113586,50,9,7,,,0.2777530002733178,0.9322033898305084,0.9199999999999999,1.0,0.84,1.0,0.9130434782608695,0.9287439613526569,0.9811764705882353,21,34,0,4
5,1,59,34,val_loss,0.7147592306137085,0.7147592306137085,50,9,7,,,0.6723499815379385,0.6610169491525424,0.6158823529411764,0.7272727272727273,0.32,0.9117647058823529,0.4444444444444444,0.6002710027100271,0.7023529411764706,8,31,3,17
6,1,131,106,val_loss,0.6452837586402893,0.6452837586402893,50,9,7,,,0.5794803700198282,0.711864406779661,0.6705882352941177,0.8333333333333334,0.4,0.9411764705882353,0.5405405405405406,0.665331998665332,0.848235294117647,10,32,2,15
7,1,42,17,val_loss,0.6832016706466675,0.6832016706466675,51,9,6,,,0.6638864629106505,0.65,0.5857142857142857,0.8333333333333334,0.2,0.9714285714285714,0.3225806451612903,0.5433127944907575,0.752,5,34,1,20
8,1,69,44,val_loss,0.6977812051773071,0.6977812051773071,51,9,6,,,0.6535917616499922,0.7333333333333333,0.6971428571428571,0.8,0.48,0.9142857142857143,0.6,0.7,0.8022857142857144,12,32,3,13
9,1,130,105,val_loss,0.6478678584098816,0.6478678584098816,51,9,6,,,0.5739032218095484,0.75,0.7386877828054299,0.7391304347826086,0.6538461538461539,0.8235294117647058,0.6938775510204082,0.7413049726933026,0.8246606334841629,17,28,6,9
10,1,26,1,val_loss,0.6758449077606201,0.6758449077606201,51,9,6,,,0.6887415056827858,0.4666666666666667,0.41628959276018096,0.125,0.038461538461538464,0.7941176470588235,0.058823529411764705,0.3433652530779754,0.49321266968325794,1,27,7,25
11,2,26,1,val_loss,0.7092060446739197,0.7092060446739197,50,9,7,,,0.6779490129891189,0.576271186440678,0.5052941176470588,0.5,0.04,0.9705882352941176,0.07407407407407407,0.39967439967439966,0.6352941176470588,1,33,1,24
12,2,49,24,val_loss,0.6992972493171692,0.6992972493171692,50,9,7,,,0.6744184107594647,0.6440677966101694,0.58,1.0,0.16,1.0,0.27586206896551724,0.519953506392871,0.6376470588235293,4,34,0,21
13,2,52,27,val_loss,0.6891739368438721,0.6891739368438721,50,9,7,,,0.6704230624332725,0.576271186440678,0.5,0.0,0.0,1.0,0.0,0.3655913978494624,0.7294117647058823,0,34,0,25
14,2,106,81,val_loss,0.6785469055175781,0.6785469055175781,50,9,7,,,0.6043538784681426,0.7457627118644068,0.7105882352941176,0.8571428571428571,0.48,0.9411764705882353,0.6153846153846154,0.7127555988315482,0.8247058823529412,12,32,2,13
15,2,158,133,val_loss,0.6295876502990723,0.6295876502990723,50,9,7,,,0.5294580315507629,0.711864406779661,0.6864705882352942,0.7222222222222222,0.52,0.8529411764705882,0.6046511627906976,0.6889922480620154,0.868235294117647,13,29,5,12
16,2,151,126,val_loss,0.6542186141014099,0.6542186141014099,50,9,7,,,0.5548135816879346,0.7457627118644068,0.7052941176470588,0.9166666666666666,0.44,0.9705882352941176,0.5945945945945946,0.7047047047047047,0.8294117647058823,11,33,1,14
17,2,48,23,val_loss,0.6810900568962097,0.6810900568962097,51,9,6,,,0.6812678013811839,0.65,0.6142857142857143,0.625,0.4,0.8285714285714286,0.4878048780487805,0.6109910466193269,0.6891428571428571,10,29,6,15
18,2,153,128,val_loss,0.6473814845085144,0.6473814845085144,51,9,6,,,0.5528787894481447,0.75,0.7114285714285714,0.8571428571428571,0.48,0.9428571428571428,0.6153846153846154,0.7150997150997151,0.8925714285714286,12,33,2,13
19,2,300,300,val_loss,0.5808566808700562,0.5808566808700562,51,9,6,,,0.29169069965424754,0.9333333333333333,0.9276018099547512,0.9583333333333334,0.8846153846153846,0.9705882352941176,0.92,0.9314285714285715,0.9762443438914028,23,33,1,3
20,2,129,104,val_loss,0.6625774502754211,0.6625774502754211,51,9,6,,,0.5473332493436597,0.7666666666666667,0.744343891402715,0.8333333333333334,0.5769230769230769,0.9117647058823529,0.6818181818181818,0.7488038277511961,0.8540723981900453,15,31,3,11
21,3,57,32,val_loss,0.6864204406738281,0.6864204406738281,50,9,7,,,0.6488215577452522,0.6271186440677966,0.5652941176470588,0.8,0.16,0.9705882352941176,0.26666666666666666,0.5083333333333333,0.7505882352941177,4,33,1,21
22,3,83,58,val_loss,0.6535478830337524,0.6535478830337524,50,9,7,,,0.6169930093040323,0.7288135593220338,0.7064705882352942,0.7368421052631579,0.56,0.8529411764705882,0.6363636363636364,0.71007371007371,0.8152941176470587,14,29,5,11
23,3,53,28,val_loss,0.6790487766265869,0.6790487766265869,50,9,7,,,0.6719241506633257,0.576271186440678,0.5,0.0,0.0,1.0,0.0,0.3655913978494624,0.7094117647058823,0,34,0,25
24,3,154,129,val_loss,0.609302818775177,0.609302818775177,50,9,7,,,0.5331928185560842,0.7966101694915254,0.7705882352941176,0.8823529411764706,0.6,0.9411764705882353,0.7142857142857143,0.7781954887218046,0.8870588235294118,15,32,2,10
25,3,26,1,val_loss,0.6761167049407959,0.6761167049407959,50,9,7,,,0.688847488722495,0.4915254237288136,0.5323529411764706,0.4444444444444444,0.8,0.2647058823529412,0.5714285714285714,0.4732142857142857,0.6305882352941178,20,9,25,5
26,3,149,124,val_loss,0.6661261320114136,0.6661261320114136,50,9,7,,,0.553624352314634,0.7627118644067796,0.7305882352941176,0.8666666666666667,0.52,0.9411764705882353,0.65,0.7352564102564103,0.8505882352941176,13,32,2,12
27,3,37,12,val_loss,0.6898778676986694,0.6898778676986694,51,9,6,,,0.6813855401307617,0.6333333333333333,0.5657142857142857,0.8,0.16,0.9714285714285714,0.26666666666666666,0.5111111111111111,0.6628571428571429,4,34,1,21
28,3,26,1,val_loss,0.7152278423309326,0.7152278423309326,51,9,6,,,0.6941570873346313,0.48333333333333334,0.5514285714285714,0.4444444444444444,0.96,0.14285714285714285,0.6075949367088608,0.4257486878666255,0.6582857142857143,24,5,30,1
29,3,300,300,val_loss,0.4733281135559082,0.4733281135559082,51,9,6,,,0.23049134039701252,0.9333333333333333,0.9321266968325792,0.9230769230769231,0.9230769230769231,0.9411764705882353,0.9230769230769231,0.9321266968325792,0.9852941176470589,24,32,2,2
30,3,180,155,val_loss,0.6159319281578064,0.6159319281578064,51,9,6,,,0.4477497038235486,0.85,0.8404977375565611,0.8695652173913043,0.7692307692307693,0.9117647058823529,0.8163265306122449,0.8447829836159816,0.9128959276018099,20,31,3,6
31,4,186,161,val_loss,0.6463931798934937,0.6463931798934937,50,9,7,,,0.4569391801865003,0.7627118644067796,0.7464705882352941,0.7619047619047619,0.64,0.8529411764705882,0.6956521739130435,0.7506038647342995,0.8882352941176471,16,29,5,9
32,4,26,1,val_loss,0.70346599817276,0.70346599817276,50,9,7,,,0.7013442214365694,0.3898305084745763,0.44941176470588234,0.39622641509433965,0.84,0.058823529411764705,0.5384615384615384,0.3192307692307692,0.49764705882352944,21,2,32,4
33,4,223,198,val_loss,0.5020556449890137,0.5020556449890137,50,9,7,,,0.41244538284145327,0.847457627118644,0.8305882352941176,0.9,0.72,0.9411764705882353,0.8,0.8383561643835616,0.9529411764705882,18,32,2,7
34,4,240,215,val_loss,0.5287294983863831,0.5287294983863831,50,9,7,,,0.39643533510018103,0.864406779661017,0.8611764705882352,0.84,0.84,0.8823529411764706,0.84,0.8611764705882352,0.9176470588235295,21,30,4,4
35,4,229,204,val_loss,0.6172139644622803,0.6172139644622803,50,9,7,,,0.4974168494684877,0.7457627118644068,0.7317647058823529,0.7272727272727273,0.64,0.8235294117647058,0.6808510638297872,0.7347917290979922,0.8741176470588234,16,28,6,9
36,4,39,14,val_loss,0.7072603702545166,0.7072603702545166,50,9,7,,,0.6711874753251126,0.6779661016949152,0.6623529411764706,0.6363636363636364,0.56,0.7647058823529411,0.5957446808510638,0.6640695235241234,0.7270588235294118,14,26,8,11
37,4,71,46,val_loss,0.6767821907997131,0.6767821907997131,51,9,6,,,0.6429713707139104,0.6833333333333333,0.62,1.0,0.24,1.0,0.3870967741935484,0.5868068140630663,0.784,6,35,0,19
38,4,44,19,val_loss,0.6976362466812134,0.6976362466812134,51,9,6,,,0.6711203892042508,0.5666666666666667,0.4857142857142857,0.0,0.0,0.9714285714285714,0.0,0.3617021276595745,0.6982857142857144,0,34,1,25
39,4,203,178,val_loss,0.5352316498756409,0.5352316498756409,51,9,6,,,0.4426262302259323,0.8,0.7873303167420814,0.8181818181818182,0.6923076923076923,0.8823529411764706,0.75,0.7916666666666667,0.9049773755656109,18,30,4,8
40,4,34,9,val_loss,0.6939327716827393,0.6939327716827393,51,9,6,,,0.6713384454745862,0.6,0.5384615384615384,1.0,0.07692307692307693,1.0,0.14285714285714285,0.4409937888198757,0.6742081447963801,2,34,0,24
41,5,26,1,val_loss,0.6717748045921326,0.6717748045921326,50,9,7,,,0.686510683137429,0.6101694915254238,0.63,0.5277777777777778,0.76,0.5,0.6229508196721312,0.6097210238711532,0.64,19,17,17,6
42,5,176,151,val_loss,0.6477769613265991,0.6477769613265991,50,9,7,,,0.5292943291030022,0.7457627118644068,0.7317647058823529,0.7272727272727273,0.64,0.8235294117647058,0.6808510638297872,0.7347917290979922,0.871764705882353,16,28,6,9
43,5,89,64,val_loss,0.6754348278045654,0.6754348278045654,50,9,7,,,0.6055446297011937,0.7288135593220338,0.6852941176470588,0.9090909090909091,0.4,0.9705882352941176,0.5555555555555556,0.6802168021680217,0.8588235294117647,10,33,1,15
44,5,61,36,val_loss,0.6703819632530212,0.6703819632530212,50,9,7,,,0.643598078818991,0.6949152542372882,0.6558823529411765,0.7692307692307693,0.4,0.9117647058823529,0.5263157894736842,0.6506578947368421,0.8,10,31,3,15
45,5,37,12,val_loss,0.7013422846794128,0.7013422846794128,50,9,7,,,0.6890372211410523,0.576271186440678,0.6005882352941176,0.5,0.76,0.4411764705882353,0.6031746031746031,0.5743145743145743,0.6341176470588236,19,15,19,6
46,5,244,219,val_loss,0.6105043888092041,0.6105043888092041,50,9,7,,,0.40495141135785273,0.8305084745762712,0.8211764705882353,0.8260869565217391,0.76,0.8823529411764706,0.7916666666666666,0.8244047619047619,0.9305882352941177,19,30,4,6
47,5,73,48,val_loss,0.7035915851593018,0.7035915851593018,51,9,6,,,0.6551812856660439,0.5833333333333334,0.5,0.0,0.0,1.0,0.0,0.3684210526315789,0.7725714285714287,0,35,0,25
48,5,55,30,val_loss,0.6975939273834229,0.6975939273834229,51,9,6,,,0.642261235431888,0.6,0.52,1.0,0.04,1.0,0.07692307692307693,0.41080196399345337,0.8091428571428572,1,35,0,24
49,5,26,1,val_loss,0.6892988681793213,0.6892988681793213,51,9,6,,,0.6918198019787204,0.5833333333333334,0.5599547511312217,0.5263157894736842,0.38461538461538464,0.7352941176470589,0.4444444444444444,0.5555555555555556,0.4898190045248869,10,25,9,16
50,5,227,202,val_loss,0.569067120552063,0.569067120552063,51,9,6,,,0.46254313015957843,0.8,0.7873303167420814,0.8181818181818182,0.6923076923076923,0.8823529411764706,0.75,0.7916666666666667,0.9219457013574661,18,30,4,8
