fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.687921166419983,1.687921166419983,50,9,7,,,0.6739315045816068,0.6610169491525424,0.6847058823529412,0.5675675675675675,0.84,0.5294117647058824,0.6774193548387096,0.6601382488479263,0.6964705882352942,21,18,16,4
2,1,300,300,val_loss,1.7842134237289429,1.7842134237289429,50,9,7,,,0.6691327714772852,0.576271186440678,0.5052941176470588,0.5,0.04,0.9705882352941176,0.07407407407407407,0.39967439967439966,0.6164705882352941,1,33,1,24
3,1,300,300,val_loss,1.7085720300674438,1.7085720300674438,50,9,7,,,0.6753821629037916,0.5423728813559322,0.5235294117647059,0.45454545454545453,0.4,0.6470588235294118,0.425531914893617,0.522625112376386,0.6211764705882352,10,22,12,15
4,1,300,300,val_loss,1.607944130897522,1.607944130897522,50,9,7,,,0.670763592002979,0.559322033898305,0.5488235294117647,0.48,0.48,0.6176470588235294,0.48,0.5488235294117647,0.6047058823529411,12,21,13,13
5,1,300,300,val_loss,1.6829735040664673,1.6829735040664673,50,9,7,,,0.6689803040149022,0.5932203389830508,0.5623529411764705,0.5294117647058824,0.36,0.7647058823529411,0.42857142857142855,0.556390977443609,0.6235294117647059,9,26,8,16
6,1,300,300,val_loss,1.7029798030853271,1.7029798030853271,50,9,7,,,0.6816130772556092,0.559322033898305,0.5805882352941176,0.4864864864864865,0.72,0.4411764705882353,0.5806451612903226,0.5581797235023042,0.6211764705882352,18,15,19,7
7,1,300,300,val_loss,1.804551601409912,1.804551601409912,51,9,6,,,0.5977123013199647,0.7666666666666667,0.7828571428571429,0.6666666666666666,0.88,0.6857142857142857,0.7586206896551724,0.7664071190211346,0.8274285714285714,22,24,11,3
8,1,300,300,val_loss,1.6504709720611572,1.6504709720611572,51,9,6,,,0.6476854690755026,0.65,0.5857142857142857,0.8333333333333334,0.2,0.9714285714285714,0.3225806451612903,0.5433127944907575,0.7028571428571428,5,34,1,20
9,1,300,300,val_loss,1.7180575132369995,1.7180575132369995,51,9,6,,,0.6588764866781011,0.6833333333333333,0.6527149321266968,0.7333333333333333,0.4230769230769231,0.8823529411764706,0.5365853658536586,0.6480395183698673,0.7375565610859729,11,30,4,15
10,1,300,300,val_loss,1.6228983402252197,1.6228983402252197,51,9,6,,,0.6695756120199702,0.6333333333333333,0.6221719457013575,0.5833333333333334,0.5384615384615384,0.7058823529411765,0.56,0.6228571428571429,0.6730769230769231,14,24,10,12
11,2,300,300,val_loss,1.650820255279541,1.650820255279541,50,9,7,,,0.64293770928839,0.6949152542372882,0.6717647058823529,0.6842105263157895,0.52,0.8235294117647058,0.5909090909090909,0.6738329238329239,0.7235294117647058,13,28,6,12
12,2,300,300,val_loss,1.8237957954406738,1.8237957954406738,50,9,7,,,0.6979060775044279,0.4745762711864407,0.4964705882352941,0.42105263157894735,0.64,0.35294117647058826,0.5079365079365079,0.4721500721500721,0.49764705882352944,16,12,22,9
13,2,300,300,val_loss,1.7047204971313477,1.7047204971313477,50,9,7,,,0.636904724465913,0.711864406779661,0.6758823529411765,0.7857142857142857,0.44,0.9117647058823529,0.5641025641025641,0.6744563453424213,0.6964705882352942,11,31,3,14
14,2,300,300,val_loss,1.6309924125671387,1.6309924125671387,50,9,7,,,0.6614223710147417,0.6440677966101694,0.6541176470588235,0.5625,0.72,0.5882352941176471,0.631578947368421,0.6436583261432269,0.6870588235294117,18,20,14,7
15,2,300,300,val_loss,1.6151351928710938,1.6151351928710938,50,9,7,,,0.6660919683305648,0.6610169491525424,0.6688235294117647,0.5806451612903226,0.72,0.6176470588235294,0.6428571428571429,0.6601382488479263,0.6952941176470588,18,21,13,7
16,2,300,300,val_loss,1.655483603477478,1.655483603477478,50,9,7,,,0.6361484523283204,0.6610169491525424,0.6847058823529412,0.5675675675675675,0.84,0.5294117647058824,0.6774193548387096,0.6601382488479263,0.7729411764705882,21,18,16,4
