fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.2328091859817505,1.2328091859817505,139,25,19,0.8373493975903614,1.2410714285714286,0.660957093697197,0.6707317073170732,0.6675943104514532,0.581081081081081,0.6515151515151515,0.6836734693877551,0.6142857142857143,0.6635258358662615,0.7039270253555969,43,67,31,23
2,1,300,300,val_loss,1.3307256698608398,1.3307256698608398,139,25,19,0.8373493975903614,1.2410714285714286,0.6947318330369887,0.5365853658536586,0.518243661100804,0.42424242424242425,0.42424242424242425,0.6122448979591837,0.42424242424242425,0.518243661100804,0.4782003710575139,28,60,38,38
3,1,300,300,val_loss,1.250117301940918,1.250117301940918,139,25,19,0.8373493975903614,1.2410714285714286,0.6801041948373991,0.6158536585365854,0.5697278911564626,0.5365853658536586,0.3333333333333333,0.8061224489795918,0.411214953271028,0.5630735399839303,0.6335807050092764,22,79,19,44
4,1,300,300,val_loss,1.175441861152649,1.175441861152649,140,25,18,0.8333333333333334,1.25,0.6730008578950157,0.6303030303030303,0.5631313131313131,0.6,0.22727272727272727,0.898989898989899,0.32967032967032966,0.5372201020736586,0.6322314049586777,15,89,10,51
5,1,300,300,val_loss,1.205439567565918,1.205439567565918,140,25,18,0.8433734939759037,1.2280701754385965,0.6752025087520981,0.593939393939394,0.5424916235150776,0.5,0.26865671641791045,0.8163265306122449,0.34951456310679613,0.5271801890423848,0.5956442278403898,18,80,18,49
6,1,300,300,val_loss,1.300694465637207,1.300694465637207,140,25,18,0.8433734939759037,1.2280701754385965,0.6817643942787545,0.5454545454545454,0.5441669204995431,0.45,0.5373134328358209,0.5510204081632653,0.4897959183673469,0.5399799263967882,0.6143770941212305,36,54,44,31
7,1,26,1,val_loss,1.615598201751709,1.615598201751709,140,25,18,0.8433734939759037,1.2280701754385965,0.677026190972468,0.593939393939394,0.5212458117575388,0.5,0.13432835820895522,0.9081632653061225,0.21176470588235294,0.4691476590636255,0.5692963752665245,9,89,9,58
8,1,300,300,val_loss,1.2404788732528687,1.2404788732528687,140,25,18,0.8433734939759037,1.2280701754385965,0.6836566284061599,0.503030303030303,0.5084526347852574,0.41379310344827586,0.5373134328358209,0.47959183673469385,0.4675324675324675,0.5008116883116883,0.5628997867803837,36,47,51,31
9,1,300,300,val_loss,1.3116254806518555,1.3116254806518555,140,25,18,0.8433734939759037,1.2280701754385965,0.690339073801764,0.5818181818181818,0.5275662503807493,0.47058823529411764,0.23880597014925373,0.8163265306122449,0.31683168316831684,0.5077608197500972,0.49634480657934815,16,80,18,51
10,1,300,300,val_loss,1.1978729963302612,1.1978729963302612,140,25,18,0.8433734939759037,1.2280701754385965,0.6800367521549151,0.6181818181818182,0.614833993298812,0.5263157894736842,0.5970149253731343,0.6326530612244898,0.5594405594405595,0.6112710818593172,0.6477307340846785,40,62,36,27
11,2,300,300,val_loss,1.2291929721832275,1.2291929721832275,139,25,19,0.8373493975903614,1.2410714285714286,0.672979189881148,0.5792682926829268,0.568800247371676,0.4788732394366197,0.5151515151515151,0.6224489795918368,0.49635036496350365,0.5675469102304429,0.6066790352504638,34,61,37,32
12,2,300,300,val_loss,1.3285815715789795,1.3285815715789795,139,25,19,0.8373493975903614,1.2410714285714286,0.682320382109013,0.5975609756097561,0.5915275200989487,0.5,0.5606060606060606,0.6224489795918368,0.5285714285714286,0.5887537993920973,0.6179653679653679,37,61,37,29
13,2,300,300,val_loss,1.2414954900741577,1.2414954900741577,139,25,19,0.8373493975903614,1.2410714285714286,0.6716110584574777,0.5670731707317073,0.5882807668521954,0.4742268041237113,0.696969696969697,0.47959183673469385,0.5644171779141104,0.56705707380554,0.6611008039579469,46,47,51,20
14,2,300,300,val_loss,1.1910184621810913,1.1910184621810913,140,25,18,0.8333333333333334,1.25,0.6762707579770949,0.6060606060606061,0.5429292929292929,0.5172413793103449,0.22727272727272727,0.8585858585858586,0.3157894736842105,0.5195968645016797,0.6449341903887359,15,85,14,51
15,2,300,300,val_loss,1.1964727640151978,1.1964727640151978,140,25,18,0.8433734939759037,1.2280701754385965,0.6780088564527511,0.5333333333333333,0.581175753883643,0.45901639344262296,0.835820895522388,0.32653061224489793,0.5925925925925926,0.5232466509062254,0.6634176058483093,56,32,66,11
16,2,26,1,val_loss,1.625268816947937,1.625268816947937,140,25,18,0.8433734939759037,1.2280701754385965,0.6843114890510699,0.6060606060606061,0.5432531221443802,0.5384615384615384,0.208955223880597,0.8775510204081632,0.3010752688172043,0.5134068327208384,0.6165092902832775,14,86,12,53
17,2,26,1,val_loss,1.5743862390518188,1.5743862390518188,140,25,18,0.8433734939759037,1.2280701754385965,0.6872412823790962,0.5818181818181818,0.4897959183673469,0.0,0.0,0.9795918367346939,0.0,0.367816091954023,0.4690831556503198,0,96,2,67
18,2,300,300,val_loss,1.1354551315307617,1.1354551315307617,140,25,18,0.8433734939759037,1.2280701754385965,0.6745369816322961,0.6060606060606061,0.5361711848918672,0.55,0.16417910447761194,0.9081632653061225,0.25287356321839083,0.4926919256421172,0.6232104782211392,11,89,9,56
19,2,28,3,val_loss,1.5708357095718384,1.5708357095718384,140,25,18,0.8433734939759037,1.2280701754385965,0.6978723749281439,0.40606060606060607,0.48347547974413646,0.3973509933774834,0.8955223880597015,0.07142857142857142,0.5504587155963303,0.33772935779816515,0.5901614377094122,60,7,91,7
20,2,300,300,val_loss,1.1243438720703125,1.1243438720703125,140,25,18,0.8433734939759037,1.2280701754385965,0.6835297876858464,0.5818181818181818,0.5700578738958271,0.4857142857142857,0.5074626865671642,0.6326530612244898,0.49635036496350365,0.569418705797814,0.6171184891867195,34,62,36,33
21,3,300,300,val_loss,1.3101837635040283,1.3101837635040283,139,25,19,0.8373493975903614,1.2410714285714286,0.6853293581080092,0.5426829268292683,0.5258194186765616,0.43283582089552236,0.4393939393939394,0.6122448979591837,0.43609022556390975,0.5257374204742626,0.5279839208410637,29,60,38,37
22,3,300,300,val_loss,1.1395671367645264,1.1395671367645264,139,25,19,0.8373493975903614,1.2410714285714286,0.69814415479951,0.47560975609756095,0.5191713048855906,0.4152542372881356,0.7424242424242424,0.29591836734693877,0.532608695652174,0.46769323671497587,0.5706555349412492,49,29,69,17
23,3,300,300,val_loss,1.3329156637191772,1.3329156637191772,139,25,19,0.8373493975903614,1.2410714285714286,0.6909038992364227,0.5121951219512195,0.5547309833024119,0.4396551724137931,0.7727272727272727,0.336734693877551,0.5604395604395604,0.5062471774800542,0.5952380952380952,51,33,65,15
24,3,300,300,val_loss,1.4020189046859741,1.4020189046859741,140,25,18,0.8333333333333334,1.25,0.7091908542572849,0.4121212121212121,0.48737373737373735,0.3931034482758621,0.8636363636363636,0.1111111111111111,0.5402843601895735,0.3625791548847027,0.5638200183654729,57,11,88,9
25,3,300,300,val_loss,1.272935152053833,1.272935152053833,140,25,18,0.8433734939759037,1.2280701754385965,0.6863247009230318,0.5757575757575758,0.574398416082851,0.4810126582278481,0.5671641791044776,0.5816326530612245,0.5205479452054794,0.5700565812983919,0.5834602497715503,38,57,41,29
26,3,300,300,val_loss,1.1045066118240356,1.1045066118240356,140,25,18,0.8433734939759037,1.2280701754385965,0.6793743227323206,0.6242424242424243,0.5963295766067621,0.5454545454545454,0.44776119402985076,0.7448979591836735,0.4918032786885246,0.5968631778058007,0.6405726469692354,30,73,25,37
27,3,300,300,val_loss,1.3286396265029907,1.3286396265029907,140,25,18,0.8433734939759037,1.2280701754385965,0.6748696112469328,0.5818181818181818,0.5842217484008528,0.4878048780487805,0.5970149253731343,0.5714285714285714,0.5369127516778524,0.5778486410322963,0.6459031373743527,40,56,42,27
28,3,300,300,val_loss,1.3298611640930176,1.3298611640930176,140,25,18,0.8433734939759037,1.2280701754385965,0.663370630661441,0.6121212121212121,0.5412732257081937,0.5789473684210527,0.16417910447761194,0.9183673469387755,0.2558139534883721,0.4967594357605795,0.6367651538227231,11,90,8,56
29,3,300,300,val_loss,1.2702927589416504,1.2702927589416504,140,25,18,0.8433734939759037,1.2280701754385965,0.6939969015541183,0.5151515151515151,0.5729515686871763,0.45038167938931295,0.8805970149253731,0.2653061224489796,0.5959595959595959,0.4949494949494949,0.604629911666159,59,26,72,8
30,3,300,300,val_loss,1.2030292749404907,1.2030292749404907,140,25,18,0.8433734939759037,1.2280701754385965,0.6853469186173959,0.6242424242424243,0.6081328053609503,0.5384615384615384,0.5223880597014925,0.6938775510204082,0.5303030303030303,0.6085858585858586,0.5913798355162961,35,68,30,32
