fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,35,10,val_loss,0.690521240234375,0.690521240234375,139,25,19,,,0.6674873125368087,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.6229128014842301,0,98,0,66
2,1,192,167,val_loss,0.5769112706184387,0.5769112706184387,139,25,19,,,0.4913372687806937,0.7804878048780488,0.7495361781076066,0.8125,0.5909090909090909,0.9081632653061225,0.6842105263157895,0.7579931136251845,0.8733766233766234,39,89,9,27
3,1,98,73,val_loss,0.6777437329292297,0.6777437329292297,139,25,19,,,0.6075636689712041,0.6951219512195121,0.6286332714904144,0.8636363636363636,0.2878787878787879,0.9693877551020408,0.4318181818181818,0.6117424242424242,0.7980828695114409,19,95,3,47
4,1,94,69,val_loss,0.6654785871505737,0.6654785871505737,140,25,18,,,0.6176994185457333,0.6242424242424243,0.5328282828282829,0.8333333333333334,0.07575757575757576,0.98989898989899,0.1388888888888889,0.4492894056847545,0.7745638200183655,5,98,1,61
5,1,162,137,val_loss,0.6513863205909729,0.6513863205909729,140,25,18,,,0.5090739264932096,0.7757575757575758,0.7451264087724643,0.8125,0.582089552238806,0.9081632653061225,0.6782608695652174,0.7530839231547017,0.8448065793481572,39,89,9,28
6,1,167,142,val_loss,0.5810599327087402,0.5810599327087402,140,25,18,,,0.4803030591155911,0.7878787878787878,0.7671337191593055,0.7857142857142857,0.6567164179104478,0.8775510204081632,0.7154471544715447,0.77318251443384,0.8592750533049041,44,86,12,23
7,1,69,44,val_loss,0.6698367595672607,0.6698367595672607,140,25,18,,,0.6467358038306307,0.6181818181818182,0.5322113920194944,0.8333333333333334,0.07462686567164178,0.9897959183673469,0.136986301369863,0.4459250572997175,0.7424611635699057,5,97,1,62
8,1,79,54,val_loss,0.6761269569396973,0.6761269569396973,140,25,18,,,0.6537922772062057,0.6242424242424243,0.5373134328358209,1.0,0.07462686567164178,1.0,0.1388888888888889,0.4492894056847545,0.7208346024977156,5,98,0,62
9,1,119,94,val_loss,0.620065450668335,0.620065450668335,140,25,18,,,0.5739168616234519,0.7333333333333333,0.6905269570514774,0.7948717948717948,0.4626865671641791,0.9183673469387755,0.5849056603773585,0.6942385444743935,0.8062747487054523,31,90,8,36
10,1,133,108,val_loss,0.6183924674987793,0.6183924674987793,140,25,18,,,0.5446841282366403,0.7454545454545455,0.7054523301858057,0.8048780487804879,0.4925373134328358,0.9183673469387755,0.6111111111111112,0.7109609609609611,0.838866890039598,33,90,8,34
11,2,86,61,val_loss,0.6750509738922119,0.6750509738922119,139,25,19,,,0.6425957556868863,0.6097560975609756,0.5151515151515151,1.0,0.030303030303030304,1.0,0.058823529411764705,0.4063348416289593,0.7277365491651205,2,98,0,64
12,2,131,106,val_loss,0.6636055707931519,0.6636055707931519,139,25,19,,,0.5910197065212426,0.6707317073170732,0.598330241187384,0.8333333333333334,0.22727272727272727,0.9693877551020408,0.35714285714285715,0.5679156908665105,0.7996289424860853,15,95,3,51
13,2,150,125,val_loss,0.5978597402572632,0.5978597402572632,139,25,19,,,0.5350048117385251,0.7317073170731707,0.7111935683364254,0.6896551724137931,0.6060606060606061,0.8163265306122449,0.6451612903225806,0.7147375079063883,0.8093692022263451,40,80,18,26
14,2,267,242,val_loss,0.5273818969726562,0.5273818969726562,140,25,18,,,0.3595846632661737,0.8666666666666667,0.8484848484848485,0.8928571428571429,0.7575757575757576,0.9393939393939394,0.819672131147541,0.8569514501891551,0.9323538414447506,50,93,6,16
15,2,181,156,val_loss,0.6409457325935364,0.6409457325935364,140,25,18,,,0.5020512148516465,0.8,0.7726165092902832,0.84,0.6268656716417911,0.9183673469387755,0.717948717948718,0.7815095702419645,0.8659762412427658,42,90,8,25
16,2,119,94,val_loss,0.678041934967041,0.678041934967041,140,25,18,,,0.5894951348562882,0.6848484848484848,0.642628693268352,0.6829268292682927,0.417910447761194,0.8673469387755102,0.5185185185185185,0.642142142142142,0.7822113920194944,28,85,13,39
17,2,160,135,val_loss,0.6612805724143982,0.6612805724143982,140,25,18,,,0.5619817771825119,0.7575757575757576,0.7369022235759977,0.7368421052631579,0.6268656716417911,0.8469387755102041,0.6774193548387096,0.7416222987785781,0.8254645141638746,42,83,15,25
18,2,263,238,val_loss,0.5906822681427002,0.5906822681427002,140,25,18,,,0.39076341983318513,0.8484848484848485,0.8323180018275967,0.8620689655172413,0.746268656716418,0.9183673469387755,0.8,0.8390243902439025,0.9252208346024977,50,90,8,17
19,2,49,24,val_loss,0.6722227334976196,0.6722227334976196,140,25,18,,,0.6609447681965332,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.7109351203167834,1,98,0,66
20,2,89,64,val_loss,0.6646297574043274,0.6646297574043274,140,25,18,,,0.6160614270413098,0.6424242424242425,0.5644227840389887,0.8333333333333334,0.14925373134328357,0.9795918367346939,0.25316455696202533,0.509052398002925,0.7724642095644227,10,96,2,57
21,3,64,39,val_loss,0.6424820423126221,0.6424820423126221,139,25,19,,,0.6396762014418732,0.6463414634146342,0.5680272108843537,0.7857142857142857,0.16666666666666666,0.9693877551020408,0.275,0.5205645161290322,0.7346938775510204,11,95,3,55
22,3,75,50,val_loss,0.6745193600654602,0.6745193600654602,139,25,19,,,0.6435152660696972,0.6524390243902439,0.5904452690166976,0.6666666666666666,0.2727272727272727,0.9081632653061225,0.3870967741935484,0.5722717913520934,0.7056277056277056,18,89,9,48
23,3,76,51,val_loss,0.6616214513778687,0.6616214513778687,139,25,19,,,0.6353380159385155,0.6341463414634146,0.5553494124922697,0.7142857142857143,0.15151515151515152,0.9591836734693877,0.25,0.5040322580645161,0.7424242424242424,10,94,4,56
24,3,29,4,val_loss,0.6677520871162415,0.6677520871162415,140,25,18,,,0.6766946086451378,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.4429139883685339,0,99,0,66
25,3,131,106,val_loss,0.6468824148178101,0.6468824148178101,140,25,18,,,0.5815076419438696,0.6909090909090909,0.6500913798355162,0.6904761904761905,0.43283582089552236,0.8673469387755102,0.5321100917431193,0.6506704304869443,0.7876941821504722,29,85,13,38
26,3,52,27,val_loss,0.6748085618019104,0.6748085618019104,140,25,18,,,0.6620431400840303,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.7339323789217179,1,98,0,66
27,3,122,97,val_loss,0.629440426826477,0.629440426826477,140,25,18,,,0.5789915055007222,0.703030303030303,0.662656107219007,0.7142857142857143,0.44776119402985076,0.8775510204081632,0.5504587155963303,0.6643696292913779,0.7808406944867499,30,86,12,37
28,3,36,11,val_loss,0.6775048971176147,0.6775048971176147,140,25,18,,,0.6798025094900113,0.5878787878787879,0.49489795918367346,0.0,0.0,0.9897959183673469,0.0,0.3702290076335878,0.5156868717636308,0,97,1,67
29,3,113,88,val_loss,0.6033465266227722,0.6033465266227722,140,25,18,,,0.569734867231054,0.6909090909090909,0.6548126713371916,0.6739130434782609,0.4626865671641791,0.8469387755102041,0.5486725663716814,0.6568247624485135,0.7905878769418215,31,83,15,36
30,3,193,168,val_loss,0.5850505828857422,0.5850505828857422,140,25,18,,,0.4915065323834938,0.7878787878787878,0.7647730734084679,0.7962962962962963,0.6417910447761194,0.8877551020408163,0.7107438016528925,0.7716398434101783,0.8735912275357904,43,87,11,24
31,4,168,143,val_loss,0.6119601726531982,0.6119601726531982,139,25,19,,,0.48786995889227397,0.774390243902439,0.7419604205318491,0.8085106382978723,0.5757575757575758,0.9081632653061225,0.672566371681416,0.750236674212801,0.8812615955473099,38,89,9,28
32,4,133,108,val_loss,0.6545852422714233,0.6545852422714233,139,25,19,,,0.567598270581243,0.7682926829268293,0.7269635126777985,0.85,0.5151515151515151,0.9387755102040817,0.6415094339622641,0.7351691313955464,0.8158627087198517,34,92,6,32
33,4,29,4,val_loss,0.6797522902488708,0.6797522902488708,139,25,19,,,0.6721969966251936,0.6036585365853658,0.5075757575757576,1.0,0.015151515151515152,1.0,0.029850746268656716,0.3904043003373935,0.6020408163265307,1,98,0,65
34,4,39,14,val_loss,0.6767557263374329,0.6767557263374329,140,25,18,,,0.6688507032618316,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.5827976737067646,0,99,0,66
35,4,141,116,val_loss,0.6058133840560913,0.6058133840560913,140,25,18,,,0.542915798297649,0.7575757575757576,0.7180170575692963,0.8292682926829268,0.5074626865671642,0.9285714285714286,0.6296296296296297,0.7247247247247247,0.8336886993603412,34,91,7,33
36,4,187,162,val_loss,0.5139157176017761,0.5139157176017761,140,25,18,,,0.43082057900372206,0.806060606060606,0.7918824246116356,0.7868852459016393,0.7164179104477612,0.8673469387755102,0.75,0.7957920792079207,0.9000913798355162,48,85,13,19
37,4,63,38,val_loss,0.6699566841125488,0.6699566841125488,140,25,18,,,0.6400938177254653,0.6242424242424243,0.5396740785866585,0.8571428571428571,0.08955223880597014,0.9897959183673469,0.16216216216216217,0.4599873310810811,0.7756625038074931,6,97,1,61
38,4,150,125,val_loss,0.6177465319633484,0.6177465319633484,140,25,18,,,0.4997601230166348,0.7575757575757576,0.7227383490709717,0.8,0.5373134328358209,0.9081632653061225,0.6428571428571429,0.7296854521625165,0.8539445628997868,36,89,9,31
39,4,109,84,val_loss,0.637809693813324,0.637809693813324,140,25,18,,,0.5901286448331028,0.7333333333333333,0.6834450197989643,0.8484848484848485,0.417910447761194,0.9489795918367347,0.56,0.6843478260869565,0.7773378007919586,28,93,5,39
40,4,29,4,val_loss,0.6863492727279663,0.6863492727279663,140,25,18,,,0.6803249638857445,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.477155041120926,1,98,0,66
41,5,84,59,val_loss,0.6577473282814026,0.6577473282814026,139,25,19,,,0.6183515314788469,0.6707317073170732,0.6156462585034014,0.6875,0.3333333333333333,0.8979591836734694,0.4489795918367347,0.6070984915705413,0.7575757575757577,22,88,10,44
42,5,46,21,val_loss,0.679119884967804,0.679119884967804,139,25,19,,,0.6667461795589604,0.6036585365853658,0.5075757575757576,1.0,0.015151515151515152,1.0,0.029850746268656716,0.3904043003373935,0.6250773036487323,1,98,0,65
