fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.7034623622894287,0.7034623622894287,139,25,19,0.8373493975903614,1.2410714285714286,0.6891522140199444,0.5792682926829268,0.5613790970933827,0.47692307692307695,0.4696969696969697,0.6530612244897959,0.4732824427480916,0.5615143178207462,0.5667903525046382,31,64,34,35
2,1,174,149,val_loss,0.5962556600570679,0.5962556600570679,139,25,19,0.8373493975903614,1.2410714285714286,0.5227193034095925,0.75,0.7512368583797155,0.6666666666666666,0.7575757575757576,0.7448979591836735,0.7092198581560284,0.7449842606288164,0.8582251082251082,50,73,25,16
3,1,95,70,val_loss,0.6848905682563782,0.6848905682563782,139,25,19,0.8373493975903614,1.2410714285714286,0.6292348583050636,0.725609756097561,0.70856524427953,0.6721311475409836,0.6212121212121212,0.7959183673469388,0.6456692913385826,0.7108943471618286,0.7880333951762524,41,78,20,25
4,1,98,73,val_loss,0.6658698320388794,0.6658698320388794,140,25,18,0.8333333333333334,1.25,0.6217722210036208,0.7151515151515152,0.6565656565656566,0.8275862068965517,0.36363636363636365,0.9494949494949495,0.5052631578947369,0.6526315789473685,0.790480563207836,24,94,5,42
5,1,73,48,val_loss,0.6919466257095337,0.6919466257095337,140,25,18,0.8433734939759037,1.2280701754385965,0.6538178390937458,0.6545454545454545,0.6525281754492842,0.5657894736842105,0.6417910447761194,0.6632653061224489,0.6013986013986014,0.6482928835870012,0.7359122753579044,43,65,33,24
6,1,174,149,val_loss,0.5891304016113281,0.5891304016113281,140,25,18,0.8433734939759037,1.2280701754385965,0.4651238955303256,0.8121212121212121,0.8087876941821505,0.7571428571428571,0.7910447761194029,0.826530612244898,0.7737226277372263,0.8065504330395976,0.8705452330185806,53,81,17,14
7,1,89,64,val_loss,0.6861790418624878,0.6861790418624878,140,25,18,0.8433734939759037,1.2280701754385965,0.6375767294274908,0.703030303030303,0.6815412732257082,0.6551724137931034,0.5671641791044776,0.7959183673469388,0.608,0.6844878048780487,0.7762717027109352,38,78,20,29
8,1,69,44,val_loss,0.7046847343444824,0.7046847343444824,140,25,18,0.8433734939759037,1.2280701754385965,0.6836114505093629,0.5515151515151515,0.6106457508376485,0.4732824427480916,0.9253731343283582,0.29591836734693877,0.6262626262626263,0.5328282828282829,0.7031678342978983,62,29,69,5
9,1,117,92,val_loss,0.6314336657524109,0.6314336657524109,140,25,18,0.8433734939759037,1.2280701754385965,0.5882708023062067,0.703030303030303,0.6957051477307341,0.6285714285714286,0.6567164179104478,0.7346938775510204,0.6423357664233577,0.6942248780303317,0.7965275662503807,44,72,26,23
10,1,135,110,val_loss,0.6401872038841248,0.6401872038841248,140,25,18,0.8433734939759037,1.2280701754385965,0.5453401299981865,0.7696969696969697,0.7683521169661894,0.6986301369863014,0.7611940298507462,0.7755102040816326,0.7285714285714285,0.7642857142857142,0.8464818763326226,51,76,22,16
11,2,26,1,val_loss,0.6888323426246643,0.6888323426246643,139,25,19,0.8373493975903614,1.2410714285714286,0.6874532528820594,0.5853658536585366,0.4972170686456401,0.375,0.045454545454545456,0.9489795918367347,0.08108108108108109,0.40668227282400515,0.46815089672232535,3,93,5,63
12,2,95,70,val_loss,0.6810680627822876,0.6810680627822876,139,25,19,0.8373493975903614,1.2410714285714286,0.6365479261825329,0.676829268292683,0.6504329004329004,0.6181818181818182,0.5151515151515151,0.7857142857142857,0.5619834710743802,0.6529724118656925,0.7490723562152134,34,77,21,32
13,2,158,133,val_loss,0.5951297879219055,0.5951297879219055,139,25,19,0.8373493975903614,1.2410714285714286,0.5314794264914726,0.725609756097561,0.7407235621521335,0.6206896551724138,0.8181818181818182,0.6632653061224489,0.7058823529411765,0.7243697478991598,0.820191713048856,54,65,33,12
14,2,300,300,val_loss,0.5193822979927063,0.5193822979927063,140,25,18,0.8333333333333334,1.25,0.28306089693444475,0.9151515151515152,0.9141414141414141,0.8823529411764706,0.9090909090909091,0.9191919191919192,0.8955223880597015,0.9120469083155651,0.9611264156718702,60,91,8,6
15,2,182,157,val_loss,0.6396068334579468,0.6396068334579468,140,25,18,0.8433734939759037,1.2280701754385965,0.4944538694394768,0.7757575757575758,0.7687328662808407,0.7205882352941176,0.7313432835820896,0.8061224489795918,0.725925925925926,0.7680911680911682,0.8769418215047213,49,79,19,18
16,2,26,1,val_loss,0.7012876272201538,0.7012876272201538,140,25,18,0.8433734939759037,1.2280701754385965,0.6952839381421622,0.44242424242424244,0.48339932988120626,0.3949579831932773,0.7014925373134329,0.2653061224489796,0.5053763440860215,0.43324372759856633,0.5127931769722814,47,26,72,20
17,2,26,1,val_loss,0.7105526924133301,0.7105526924133301,140,25,18,0.8433734939759037,1.2280701754385965,0.7125469741127891,0.40606060606060607,0.5,0.40606060606060607,1.0,0.0,0.5775862068965517,0.28879310344827586,0.5293938470910752,67,0,98,0
18,2,192,167,val_loss,0.6301451921463013,0.6301451921463013,140,25,18,0.8433734939759037,1.2280701754385965,0.523230306245721,0.7757575757575758,0.7781754492841912,0.6973684210526315,0.7910447761194029,0.7653061224489796,0.7412587412587412,0.7716988893459482,0.8486140724946696,53,75,23,14
19,2,26,1,val_loss,0.6865798234939575,0.6865798234939575,140,25,18,0.8433734939759037,1.2280701754385965,0.6907121823549757,0.5757575757575758,0.5366280840694487,0.46808510638297873,0.3283582089552239,0.7448979591836735,0.38596491228070173,0.5309454191033138,0.5036551934206518,22,73,25,45
20,2,98,73,val_loss,0.6673415303230286,0.6673415303230286,140,25,18,0.8433734939759037,1.2280701754385965,0.6018392051005969,0.696969696969697,0.6764392324093816,0.6440677966101694,0.5671641791044776,0.7857142857142857,0.6031746031746031,0.6790382819794585,0.7773378007919586,38,77,21,29
21,3,26,1,val_loss,0.6688987612724304,0.6688987612724304,139,25,19,0.8373493975903614,1.2410714285714286,0.6836186107550867,0.6158536585365854,0.5672541743970315,0.5384615384615384,0.3181818181818182,0.8163265306122449,0.4,0.5587443946188341,0.5984848484848485,21,80,18,45
22,3,43,18,val_loss,0.7129846215248108,0.7129846215248108,139,25,19,0.8373493975903614,1.2410714285714286,0.7032310519305406,0.40853658536585363,0.5026283240568955,0.40372670807453415,0.9848484848484849,0.02040816326530612,0.5726872246696035,0.3061455925328216,0.6839826839826839,65,2,96,1
23,3,26,1,val_loss,0.6877755522727966,0.6877755522727966,139,25,19,0.8373493975903614,1.2410714285714286,0.6862660507311684,0.5914634146341463,0.49984539270253553,0.4,0.030303030303030304,0.9693877551020408,0.056338028169014086,0.3978188195319779,0.5652442795299939,2,95,3,64
24,3,26,1,val_loss,0.6685339212417603,0.6685339212417603,140,25,18,0.8333333333333334,1.25,0.6798652544501289,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.42026323844505664,0,99,0,66
25,3,26,1,val_loss,0.6887763142585754,0.6887763142585754,140,25,18,0.8433734939759037,1.2280701754385965,0.6950699365750974,0.4484848484848485,0.5121078282059093,0.41304347826086957,0.8507462686567164,0.17346938775510204,0.5560975609756098,0.4140487804878049,0.5679256777337801,57,17,81,10
26,3,26,1,val_loss,0.6869463324546814,0.6869463324546814,140,25,18,0.8433734939759037,1.2280701754385965,0.6886838758631768,0.593939393939394,0.5731800182759671,0.5,0.4626865671641791,0.6836734693877551,0.4806201550387597,0.5736434108527132,0.5763021626561072,31,67,31,36
27,3,107,82,val_loss,0.6509532332420349,0.6509532332420349,140,25,18,0.8433734939759037,1.2280701754385965,0.5971626964514225,0.7212121212121212,0.7180932074322266,0.6438356164383562,0.7014925373134329,0.7346938775510204,0.6714285714285714,0.7146616541353383,0.7777946999695401,47,72,26,20
28,3,26,1,val_loss,0.7000113129615784,0.7000113129615784,140,25,18,0.8433734939759037,1.2280701754385965,0.7035214255368525,0.3878787878787879,0.4681693572951569,0.38961038961038963,0.8955223880597015,0.04081632653061224,0.5429864253393665,0.30819046037610526,0.4826378312519037,60,4,94,7
29,3,99,74,val_loss,0.6242519617080688,0.6242519617080688,140,25,18,0.8433734939759037,1.2280701754385965,0.5978618674897179,0.7454545454545455,0.7479439537008834,0.6623376623376623,0.7611940298507462,0.7346938775510204,0.7083333333333334,0.741263440860215,0.7797745964057264,51,72,26,16
30,3,190,165,val_loss,0.5997170209884644,0.5997170209884644,140,25,18,0.8433734939759037,1.2280701754385965,0.4894632182830795,0.8242424242424242,0.8307950045689918,0.7435897435897436,0.8656716417910447,0.7959183673469388,0.8,0.8216216216216217,0.8773987206823027,58,78,20,9
31,4,185,160,val_loss,0.6102762222290039,0.6102762222290039,139,25,19,0.8373493975903614,1.2410714285714286,0.4583321585741148,0.8292682926829268,0.8299319727891157,0.7638888888888888,0.8333333333333334,0.826530612244898,0.7971014492753623,0.8248665141113654,0.9008967223252937,55,81,17,11
32,4,139,114,val_loss,0.6675290465354919,0.6675290465354919,139,25,19,0.8373493975903614,1.2410714285714286,0.5760085013395773,0.7012195121951219,0.7054730983302412,0.6075949367088608,0.7272727272727273,0.6836734693877551,0.6620689655172414,0.6971547013378556,0.8140074211502782,48,67,31,18
33,4,26,1,val_loss,0.683851957321167,0.683851957321167,139,25,19,0.8373493975903614,1.2410714285714286,0.6791305729546177,0.5853658536585366,0.49226963512677796,0.25,0.015151515151515152,0.9693877551020408,0.02857142857142857,0.38250276854928017,0.5780766852195424,1,95,3,65
34,4,26,1,val_loss,0.6869916319847107,0.6869916319847107,140,25,18,0.8333333333333334,1.25,0.6852481407829029,0.6060606060606061,0.5176767676767676,0.5555555555555556,0.07575757575757576,0.9595959595959596,0.13333333333333333,0.4392156862745098,0.4931129476584022,5,95,4,61
35,4,159,134,val_loss,0.604935884475708,0.604935884475708,140,25,18,0.8433734939759037,1.2280701754385965,0.5224186924266867,0.7818181818181819,0.7761955528480049,0.7246376811594203,0.746268656716418,0.8061224489795918,0.7352941176470589,0.7748635536688903,0.8513554675601582,50,79,19,17
36,4,185,160,val_loss,0.5300161838531494,0.5300161838531494,140,25,18,0.8433734939759037,1.2280701754385965,0.4358090463673143,0.793939393939394,0.7982028632348461,0.7142857142857143,0.8208955223880597,0.7755102040816326,0.7638888888888888,0.7905465949820789,0.8996344806579348,55,76,22,12
37,4,26,1,val_loss,0.684234082698822,0.684234082698822,140,25,18,0.8433734939759037,1.2280701754385965,0.6832372691199361,0.593939393939394,0.5023606457508376,0.5,0.014925373134328358,0.9897959183673469,0.028985507246376812,0.3861402632017325,0.5915321352421565,1,97,1,66
38,4,167,142,val_loss,0.5976191163063049,0.5976191163063049,140,25,18,0.8433734939759037,1.2280701754385965,0.4666088148757148,0.8,0.7938623210478222,0.75,0.7611940298507462,0.826530612244898,0.7555555555555555,0.7931623931623932,0.8773987206823027,51,81,17,16
39,4,108,83,val_loss,0.648436963558197,0.648436963558197,140,25,18,0.8433734939759037,1.2280701754385965,0.5970309286013178,0.7272727272727273,0.7184739567468779,0.6617647058823529,0.6716417910447762,0.7653061224489796,0.6666666666666666,0.717948717948718,0.7939384709107522,45,75,23,22
40,4,26,1,val_loss,0.6901101469993591,0.6901101469993591,140,25,18,0.8433734939759037,1.2280701754385965,0.6846346775341617,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.4287237282972891,1,98,0,66
41,5,106,81,val_loss,0.6823785901069641,0.6823785901069641,139,25,19,0.8373493975903614,1.2410714285714286,0.6139303604978716,0.7134146341463414,0.7132034632034632,0.6266666666666667,0.7121212121212122,0.7142857142857143,0.6666666666666666,0.7076648841354723,0.7784477427334571,47,70,28,19
42,5,176,151,val_loss,0.6436280012130737,0.6436280012130737,139,25,19,0.8373493975903614,1.2410714285714286,0.4762537921540874,0.8109756097560976,0.8022572665429808,0.7692307692307693,0.7575757575757576,0.8469387755102041,0.7633587786259542,0.8029991862672918,0.8682745825602969,50,83,15,16
43,5,26,1,val_loss,0.6852248311042786,0.6852248311042786,139,25,19,0.8373493975903614,1.2410714285714286,0.684640025842429,0.5914634146341463,0.49489795918367346,0.0,0.0,0.9897959183673469,0.0,0.3716475095785441,0.4837662337662338,0,97,1,66
44,5,84,59,val_loss,0.675700843334198,0.675700843334198,140,25,18,0.8333333333333334,1.25,0.630790082736426,0.6727272727272727,0.6565656565656566,0.59375,0.5757575757575758,0.7373737373737373,0.5846153846153846,0.6573076923076924,0.7534435261707988,38,73,26,28
45,5,47,22,val_loss,0.6936526298522949,0.6936526298522949,140,25,18,0.8433734939759037,1.2280701754385965,0.6803029812113397,0.6181818181818182,0.6313585135546755,0.5222222222222223,0.7014925373134329,0.5612244897959183,0.5987261146496815,0.6172821324693494,0.6999695400548278,47,55,43,20
46,5,87,62,val_loss,0.6709548234939575,0.6709548234939575,140,25,18,0.8433734939759037,1.2280701754385965,0.6311004470052131,0.6848484848484848,0.663874505025891,0.6271186440677966,0.5522388059701493,0.7755102040816326,0.5873015873015873,0.6661998132586369,0.7666768199817241,37,76,22,30
47,5,26,1,val_loss,0.6904911994934082,0.6904911994934082,140,25,18,0.8433734939759037,1.2280701754385965,0.6908520523280833,0.5333333333333333,0.548126713371916,0.44680851063829785,0.6268656716417911,0.46938775510204084,0.5217391304347826,0.5330589143298173,0.558026195552848,42,46,52,25
48,5,187,162,val_loss,0.5957890152931213,0.5957890152931213,140,25,18,0.8433734939759037,1.2280701754385965,0.5055770139565335,0.7818181818181819,0.7761955528480049,0.7246376811594203,0.746268656716418,0.8061224489795918,0.7352941176470589,0.7748635536688903,0.8623210478221139,50,79,19,17
49,5,141,116,val_loss,0.651955246925354,0.651955246925354,140,25,18,0.8433734939759037,1.2280701754385965,0.5707587882180887,0.7636363636363637,0.7656107219007006,0.6842105263157895,0.7761194029850746,0.7551020408163265,0.7272727272727273,0.7593582887700535,0.847852573865367,52,74,24,15
50,5,113,88,val_loss,0.6797498464584351,0.6797498464584351,140,25,18,0.8433734939759037,1.2280701754385965,0.6215808970280379,0.7212121212121212,0.7228144989339019,0.6363636363636364,0.7313432835820896,0.7142857142857143,0.6805555555555556,0.7166218637992832,0.7610417301248859,49,70,28,18
