fold,repeat,n_fit,n_inner_val,n_outer_val,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,139,25,19,0.8536585365853658,0.8577612863327149,0.7837837837837838,0.8787878787878788,0.8367346938775511,0.8285714285714286,0.8504559270516718,0.8964131106988249,58,82,16,8
2,1,139,25,19,0.8292682926829268,0.8274582560296846,0.7714285714285715,0.8181818181818182,0.8367346938775511,0.7941176470588235,0.8241421568627451,0.8860544217687074,54,82,16,12
3,1,139,25,19,0.8536585365853658,0.8577612863327149,0.7837837837837838,0.8787878787878788,0.8367346938775511,0.8285714285714286,0.8504559270516718,0.8886827458256029,58,82,16,8
4,1,140,25,18,0.7757575757575758,0.7752525252525253,0.6986301369863014,0.7727272727272727,0.7777777777777778,0.7338129496402878,0.7700478360766884,0.8406795224977044,51,77,22,15
5,1,140,25,18,0.8,0.808026195552848,0.7125,0.8507462686567164,0.7653061224489796,0.7755102040816326,0.7975911676145868,0.874048126713372,57,75,23,10
6,1,140,25,18,0.8242424242424242,0.8237130673164789,0.7638888888888888,0.8208955223880597,0.826530612244898,0.7913669064748201,0.8197672228709179,0.8859275053304904,55,81,17,12
7,1,140,25,18,0.7878787878787878,0.7860188851660067,0.7222222222222222,0.7761194029850746,0.7959183673469388,0.7482014388489209,0.7824776827752458,0.8758757234236978,52,78,20,15
8,1,140,25,18,0.8363636363636363,0.8386384404508072,0.7702702702702703,0.8507462686567164,0.826530612244898,0.8085106382978723,0.8328267477203647,0.8804447151995127,57,81,17,10
9,1,140,25,18,0.7878787878787878,0.7954614681693573,0.7,0.835820895522388,0.7551020408163265,0.7619047619047619,0.7853239656518345,0.8565336582394152,56,74,24,11
10,1,140,25,18,0.7818181818181819,0.7761955528480049,0.7246376811594203,0.746268656716418,0.8061224489795918,0.7352941176470589,0.7748635536688903,0.8952177886079805,50,79,19,17
11,2,139,25,19,0.8109756097560976,0.809678416821274,0.7464788732394366,0.803030303030303,0.8163265306122449,0.7737226277372263,0.8057094814078802,0.8580705009276437,53,80,18,13
12,2,139,25,19,0.8292682926829268,0.8274582560296846,0.7714285714285715,0.8181818181818182,0.8367346938775511,0.7941176470588235,0.8241421568627451,0.8667285095856525,54,82,16,12
13,2,139,25,19,0.8353658536585366,0.827612863327149,0.8,0.7878787878787878,0.8673469387755102,0.7938931297709924,0.8284186461037704,0.8937847866419296,52,85,13,14
14,2,140,25,18,0.8121212121212121,0.8181818181818181,0.7272727272727273,0.8484848484848485,0.7878787878787878,0.7832167832167832,0.8087206910736322,0.9009794918885827,56,78,21,10
15,2,140,25,18,0.8,0.808026195552848,0.7125,0.8507462686567164,0.7653061224489796,0.7755102040816326,0.7975911676145868,0.8848614072494669,57,75,23,10
16,2,140,25,18,0.7818181818181819,0.7809168443496801,0.7123287671232876,0.7761194029850746,0.7857142857142857,0.7428571428571429,0.7766917293233082,0.8413036856533658,52,77,21,15
17,2,140,25,18,0.806060606060606,0.8060462991166616,0.7397260273972602,0.8059701492537313,0.8061224489795918,0.7714285714285715,0.8015037593984963,0.8630825464514164,54,79,19,13
18,2,140,25,18,0.806060606060606,0.8107675906183369,0.7272727272727273,0.835820895522388,0.7857142857142857,0.7777777777777778,0.8028673835125448,0.8836430094425829,56,77,21,11
