fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,75,50,val_loss,0.6720329523086548,0.6720329523086548,139,25,19,,,0.657849398747089,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.7152133580705009,0,98,0,66
2,1,300,300,val_loss,0.5874636173248291,0.5874636173248291,139,25,19,,,0.5969998981529546,0.6829268292682927,0.6332714904143475,0.6944444444444444,0.3787878787878788,0.8877551020408163,0.49019607843137253,0.6300537914280756,0.7510822510822511,25,87,11,41
3,1,129,104,val_loss,0.6728359460830688,0.6728359460830688,139,25,19,,,0.648698398741321,0.5975609756097561,0.5024737167594311,0.5,0.015151515151515152,0.9897959183673469,0.029411764705882353,0.38778280542986426,0.7537105751391465,1,97,1,65
4,1,51,26,val_loss,0.680270254611969,0.680270254611969,140,25,18,,,0.6708648207003544,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.5742271196816651,0,99,0,66
5,1,180,155,val_loss,0.6605288982391357,0.6605288982391357,140,25,18,,,0.6230861728894195,0.6848484848484848,0.6331861102650015,0.7272727272727273,0.3582089552238806,0.9081632653061225,0.48,0.6269565217391304,0.6996649406031069,24,89,9,43
6,1,300,278,val_loss,0.5713227987289429,0.5713227987289429,140,25,18,,,0.5654146645096952,0.7090909090909091,0.6772007310386842,0.6938775510204082,0.5074626865671642,0.8469387755102041,0.5862068965517241,0.6809539155655817,0.780231495583308,34,83,15,33
7,1,59,34,val_loss,0.6744745373725891,0.6744745373725891,140,25,18,,,0.6687050360262699,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.6574779165397502,0,98,0,67
8,1,104,79,val_loss,0.6725972890853882,0.6725972890853882,140,25,18,,,0.6556444093558988,0.6121212121212121,0.5365519342065185,0.6,0.13432835820895522,0.9387755102040817,0.21951219512195122,0.48072383949645947,0.6646360036551934,9,92,6,58
9,1,300,295,val_loss,0.6083872318267822,0.6083872318267822,140,25,18,,,0.5998411397771957,0.6606060606060606,0.6151385927505331,0.6410256410256411,0.373134328358209,0.8571428571428571,0.4716981132075472,0.6108490566037736,0.7470301553457205,25,84,14,42
10,1,297,272,val_loss,0.6225725412368774,0.6225725412368774,140,25,18,,,0.5901173401640788,0.6666666666666666,0.6084374048126713,0.7142857142857143,0.29850746268656714,0.9183673469387755,0.42105263157894735,0.593505039193729,0.7761194029850744,20,90,8,47
11,2,151,126,val_loss,0.6553043127059937,0.6553043127059937,139,25,19,,,0.6477982395910225,0.6158536585365854,0.5276747062461348,0.7142857142857143,0.07575757575757576,0.9795918367346939,0.136986301369863,0.4449637389202256,0.6624922696351268,5,96,2,61
12,2,195,170,val_loss,0.66098952293396,0.66098952293396,139,25,19,,,0.6355726195222687,0.6219512195121951,0.5352504638218923,0.75,0.09090909090909091,0.9795918367346939,0.16216216216216217,0.4590338369865929,0.7119666048237477,6,96,2,60
13,2,300,300,val_loss,0.6172530055046082,0.6172530055046082,139,25,19,,,0.5855980385954813,0.6890243902439024,0.6556895485466914,0.6530612244897959,0.48484848484848486,0.826530612244898,0.5565217391304348,0.6585425597060625,0.7379406307977736,32,81,17,34
14,2,300,300,val_loss,0.6095141768455505,0.6095141768455505,140,25,18,,,0.5850229545221683,0.6727272727272727,0.6136363636363636,0.7,0.3181818181818182,0.9090909090909091,0.4375,0.6033653846153846,0.7708907254361799,21,90,9,45
15,2,160,135,val_loss,0.6602439880371094,0.6602439880371094,140,25,18,,,0.6388706571926236,0.6363636363636364,0.5640420347243376,0.7058823529411765,0.1791044776119403,0.9489795918367347,0.2857142857142857,0.5209059233449478,0.6850441669204995,12,93,5,55
16,2,131,106,val_loss,0.6698918342590332,0.6698918342590332,140,25,18,,,0.6367892437982623,0.6060606060606061,0.5408924763935425,0.5416666666666666,0.19402985074626866,0.8877551020408163,0.2857142857142857,0.5068738792588166,0.7212915016752971,13,87,11,54
17,2,171,146,val_loss,0.681094229221344,0.681094229221344,140,25,18,,,0.6437005847631876,0.6424242424242425,0.6069144075540664,0.5833333333333334,0.417910447761194,0.7959183673469388,0.48695652173913045,0.6062689585439839,0.7016448370392933,28,78,20,39
18,2,74,49,val_loss,0.6696609258651733,0.6696609258651733,140,25,18,,,0.6685914006256553,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.6215351812366737,0,98,0,67
