fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6868172287940979,0.6868172287940979,139,25,19,0.8373493975903614,1.2410714285714286,0.6899570122664502,0.5914634146341463,0.5122139764996908,0.4666666666666667,0.10606060606060606,0.9183673469387755,0.1728395061728395,0.4507922227220473,0.5134508348794063,7,90,8,59
2,1,26,1,val_loss,0.683011531829834,0.683011531829834,139,25,19,0.8373493975903614,1.2410714285714286,0.6840598894209841,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.5720470006184292,0,98,0,66
3,1,84,59,val_loss,0.6873037815093994,0.6873037815093994,139,25,19,0.8373493975903614,1.2410714285714286,0.6778707683631017,0.676829268292683,0.6751700680272108,0.5866666666666667,0.6666666666666666,0.6836734693877551,0.624113475177305,0.6703455076421284,0.7404143475572047,44,67,31,22
4,1,71,46,val_loss,0.6882575750350952,0.6882575750350952,140,25,18,0.8333333333333334,1.25,0.672000504467479,0.6424242424242425,0.5909090909090909,0.5945945945945946,0.3333333333333333,0.8484848484848485,0.42718446601941745,0.5836362858731449,0.6603917967554331,22,84,15,44
5,1,169,144,val_loss,0.6784986257553101,0.6784986257553101,140,25,18,0.8433734939759037,1.2280701754385965,0.6372584005257855,0.6484848484848484,0.6403441973804447,0.5633802816901409,0.5970149253731343,0.6836734693877551,0.5797101449275363,0.6388134057971014,0.6950959488272921,40,67,31,27
6,1,268,243,val_loss,0.5913571715354919,0.5913571715354919,140,25,18,0.8433734939759037,1.2280701754385965,0.5838576460315267,0.7090909090909091,0.7055284800487359,0.6301369863013698,0.6865671641791045,0.7244897959183674,0.6571428571428571,0.7022556390977444,0.7742918062747487,46,71,27,21
7,1,59,34,val_loss,0.6922852993011475,0.6922852993011475,140,25,18,0.8433734939759037,1.2280701754385965,0.6810289822839097,0.6848484848484848,0.6827596710325922,0.6,0.6716417910447762,0.6938775510204082,0.6338028169014085,0.6786035361102787,0.6874809625342674,45,68,30,22
8,1,26,1,val_loss,0.6915495991706848,0.6915495991706848,140,25,18,0.8433734939759037,1.2280701754385965,0.6908847651462255,0.5272727272727272,0.5713524215656411,0.453781512605042,0.8059701492537313,0.336734693877551,0.5806451612903226,0.519489247311828,0.6685957965275663,54,33,65,13
9,1,300,300,val_loss,0.6195124983787537,0.6195124983787537,140,25,18,0.8433734939759037,1.2280701754385965,0.6119264529634094,0.696969696969697,0.6906031069144076,0.6197183098591549,0.6567164179104478,0.7244897959183674,0.6376811594202898,0.6886322463768115,0.7484008528784648,44,71,27,23
10,1,300,278,val_loss,0.6348975896835327,0.6348975896835327,140,25,18,0.8433734939759037,1.2280701754385965,0.5920006688290437,0.7090909090909091,0.7008071885470606,0.6376811594202898,0.6567164179104478,0.7448979591836735,0.6470588235294118,0.6998180715585203,0.7767286018885167,44,73,25,23
11,2,151,126,val_loss,0.6748654246330261,0.6748654246330261,139,25,19,0.8373493975903614,1.2410714285714286,0.6613060124318364,0.5853658536585366,0.5763760049474336,0.4861111111111111,0.5303030303030303,0.6224489795918368,0.5072463768115942,0.5746758199847445,0.6601731601731602,35,61,37,31
12,2,193,168,val_loss,0.6653125882148743,0.6653125882148743,139,25,19,0.8373493975903614,1.2410714285714286,0.6400090777337695,0.6402439024390244,0.609925788497217,0.5660377358490566,0.45454545454545453,0.7653061224489796,0.5042016806722689,0.6109525149772828,0.7179962894248609,30,75,23,36
13,2,300,300,val_loss,0.6046462059020996,0.6046462059020996,139,25,19,0.8373493975903614,1.2410714285714286,0.5976543196782979,0.6646341463414634,0.6600185528756957,0.5753424657534246,0.6363636363636364,0.6836734693877551,0.60431654676259,0.6566556278786495,0.7397959183673469,42,67,31,24
14,2,300,300,val_loss,0.6111060380935669,0.6111060380935669,140,25,18,0.8333333333333334,1.25,0.5846193383619019,0.6909090909090909,0.6666666666666666,0.631578947368421,0.5454545454545454,0.7878787878787878,0.5853658536585366,0.6694945210321668,0.7725742271196816,36,78,21,30
15,2,118,93,val_loss,0.6789259314537048,0.6789259314537048,140,25,18,0.8433734939759037,1.2280701754385965,0.6614041899610554,0.6181818181818182,0.6006701187937862,0.53125,0.5074626865671642,0.6938775510204082,0.5190839694656488,0.6012505274463922,0.6719463904964971,34,68,30,33
16,2,26,1,val_loss,0.6959173679351807,0.6959173679351807,140,25,18,0.8433734939759037,1.2280701754385965,0.6944010990398546,0.4303030303030303,0.5180475175144684,0.41509433962264153,0.9850746268656716,0.05102040816326531,0.584070796460177,0.3401123213070116,0.5974718245507158,66,5,93,1
17,2,26,1,val_loss,0.6862168312072754,0.6862168312072754,140,25,18,0.8433734939759037,1.2280701754385965,0.6858364456126298,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.5723423697837344,0,98,0,67
18,2,26,1,val_loss,0.682639479637146,0.682639479637146,140,25,18,0.8433734939759037,1.2280701754385965,0.686231786006375,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.4760889430399025,0,98,0,67
19,2,26,1,val_loss,0.6937065124511719,0.6937065124511719,140,25,18,0.8433734939759037,1.2280701754385965,0.6954873372485487,0.4121212121212121,0.42484008528784645,0.34375,0.4925373134328358,0.35714285714285715,0.4049079754601227,0.4120348260534146,0.3795309168443497,33,35,63,34
20,2,181,156,val_loss,0.6741886138916016,0.6741886138916016,140,25,18,0.8433734939759037,1.2280701754385965,0.631757207510206,0.6242424242424243,0.5916082851050868,0.5490196078431373,0.417910447761194,0.7653061224489796,0.4745762711864407,0.5910617204988807,0.7132196162046909,28,75,23,39
21,3,26,1,val_loss,0.6900563836097717,0.6900563836097717,139,25,19,0.8373493975903614,1.2410714285714286,0.6913568505652337,0.5548780487804879,0.47912801484230055,0.3157894736842105,0.09090909090909091,0.8673469387755102,0.1411764705882353,0.42038247397724526,0.4556277056277056,6,85,13,60
22,3,26,1,val_loss,0.6914915442466736,0.6914915442466736,139,25,19,0.8373493975903614,1.2410714285714286,0.6914529143033066,0.5548780487804879,0.5434446505875077,0.4507042253521127,0.48484848484848486,0.6020408163265306,0.46715328467153283,0.5424771658959758,0.5759121830550402,32,59,39,34
23,3,26,1,val_loss,0.7004900574684143,0.7004900574684143,139,25,19,0.8373493975903614,1.2410714285714286,0.6976864359134873,0.40853658536585363,0.49520717377860235,0.4,0.9393939393939394,0.05102040816326531,0.5610859728506787,0.3272719583879562,0.5102040816326531,62,5,93,4
24,3,26,1,val_loss,0.6914733052253723,0.6914733052253723,140,25,18,0.8333333333333334,1.25,0.6936438858137081,0.46060606060606063,0.5025252525252526,0.4017094017094017,0.7121212121212122,0.29292929292929293,0.5136612021857924,0.45410951265752203,0.5344352617079889,47,29,70,19
25,3,26,1,val_loss,0.6975531578063965,0.6975531578063965,140,25,18,0.8433734939759037,1.2280701754385965,0.6953217618657828,0.4666666666666667,0.5156107219007006,0.416,0.7761194029850746,0.25510204081632654,0.5416666666666666,0.45199275362318836,0.4518732866280841,52,25,73,15
26,3,26,1,val_loss,0.6925996541976929,0.6925996541976929,140,25,18,0.8433734939759037,1.2280701754385965,0.6921100231603687,0.5818181818181818,0.5157630216265611,0.4583333333333333,0.16417910447761194,0.8673469387755102,0.24175824175824176,0.47652765644397443,0.43070362473347545,11,85,13,56
27,3,185,160,val_loss,0.6583606600761414,0.6583606600761414,140,25,18,0.8433734939759037,1.2280701754385965,0.6190432200668251,0.6909090909090909,0.685501066098081,0.6111111111111112,0.6567164179104478,0.7142857142857143,0.6330935251798561,0.6830389091867867,0.7441364605543711,44,70,28,23
28,3,40,15,val_loss,0.6929560303688049,0.6929560303688049,140,25,18,0.8433734939759037,1.2280701754385965,0.6892005598916687,0.593939393939394,0.6251142247943954,0.5,0.7910447761194029,0.45918367346938777,0.6127167630057804,0.5929825853245463,0.6442278403898873,53,45,53,14
29,3,115,90,val_loss,0.6739721894264221,0.6739721894264221,140,25,18,0.8433734939759037,1.2280701754385965,0.6575370366045947,0.6545454545454545,0.6501675296984466,0.5675675675675675,0.6268656716417911,0.673469387755102,0.5957446808510638,0.6470786896318811,0.7059092293633872,42,66,32,25
30,3,267,242,val_loss,0.6531250476837158,0.6531250476837158,140,25,18,0.8433734939759037,1.2280701754385965,0.6191201225974655,0.6424242424242425,0.6446847395674689,0.55,0.6567164179104478,0.6326530612244898,0.5986394557823129,0.6381175420988068,0.720986902223576,44,62,36,23
31,4,297,272,val_loss,0.5811931490898132,0.5811931490898132,139,25,19,0.8373493975903614,1.2410714285714286,0.5910043640414352,0.7012195121951219,0.7005256648113791,0.6133333333333333,0.696969696969697,0.7040816326530612,0.6524822695035462,0.6952250919710243,0.7888064316635746,46,69,29,20
32,4,144,119,val_loss,0.6933594346046448,0.6933594346046448,139,25,19,0.8373493975903614,1.2410714285714286,0.6672335313777799,0.6158536585365854,0.6439393939393939,0.5148514851485149,0.7878787878787878,0.5,0.6227544910179641,0.6157250715959386,0.7042362399505256,52,49,49,14
33,4,26,1,val_loss,0.6913488507270813,0.6913488507270813,139,25,19,0.8373493975903614,1.2410714285714286,0.6902149839849963,0.5792682926829268,0.4846938775510204,0.0,0.0,0.9693877551020408,0.0,0.3667953667953668,0.46165739022881885,0,95,3,66
34,4,26,1,val_loss,0.6908381581306458,0.6908381581306458,140,25,18,0.8333333333333334,1.25,0.6914165644040353,0.5696969696969697,0.5277777777777778,0.44680851063829785,0.3181818181818182,0.7373737373737373,0.37168141592920356,0.5222462379185189,0.5006887052341598,21,73,26,45
35,4,300,300,val_loss,0.6207838654518127,0.6207838654518127,140,25,18,0.8433734939759037,1.2280701754385965,0.5967308515678366,0.696969696969697,0.6976850441669205,0.6103896103896104,0.7014925373134329,0.6938775510204082,0.6527777777777778,0.6919802867383513,0.7811452939384708,47,68,30,20
36,4,267,242,val_loss,0.5820187926292419,0.5820187926292419,140,25,18,0.8433734939759037,1.2280701754385965,0.5894532562146456,0.703030303030303,0.7145903137374352,0.6046511627906976,0.7761194029850746,0.6530612244897959,0.6797385620915033,0.7014512019497064,0.7681998172403289,52,64,34,15
37,4,81,56,val_loss,0.6925432682037354,0.6925432682037354,140,25,18,0.8433734939759037,1.2280701754385965,0.6719344073356609,0.6,0.6136917453548584,0.5054945054945055,0.6865671641791045,0.5408163265306123,0.5822784810126582,0.59927877539005,0.6678342978982639,46,53,45,21
38,4,275,250,val_loss,0.6411241292953491,0.6411241292953491,140,25,18,0.8433734939759037,1.2280701754385965,0.5834245477426414,0.6909090909090909,0.6784191288455681,0.6212121212121212,0.6119402985074627,0.7448979591836735,0.6165413533834586,0.678829052326247,0.7616509290283279,41,73,25,26
39,4,123,98,val_loss,0.6718732714653015,0.6718732714653015,140,25,18,0.8433734939759037,1.2280701754385965,0.649767355258211,0.6121212121212121,0.6120925982333232,0.5189873417721519,0.6119402985074627,0.6122448979591837,0.5616438356164384,0.6069088743299583,0.6893085592445933,41,60,38,26
40,4,26,1,val_loss,0.7000964879989624,0.7000964879989624,140,25,18,0.8433734939759037,1.2280701754385965,0.6981881483108026,0.40606060606060607,0.49291806274748706,0.4025157232704403,0.9552238805970149,0.030612244897959183,0.5663716814159292,0.31203199455411845,0.45278708498324705,64,3,95,3
41,5,26,1,val_loss,0.6889860033988953,0.6889860033988953,139,25,19,0.8373493975903614,1.2410714285714286,0.6895172863300112,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.4684601113172542,0,98,0,66
42,5,300,300,val_loss,0.626865804195404,0.626865804195404,139,25,19,0.8373493975903614,1.2410714285714286,0.5774448404609688,0.7195121951219512,0.7133580705009277,0.6428571428571429,0.6818181818181818,0.7448979591836735,0.6617647058823529,0.7110906862745098,0.773500309214595,45,73,25,21
43,5,26,1,val_loss,0.6959965229034424,0.6959965229034424,139,25,19,0.8373493975903614,1.2410714285714286,0.6947854539632328,0.4573170731707317,0.5112863327149041,0.4094488188976378,0.7878787878787878,0.23469387755102042,0.538860103626943,0.43980042218384185,0.5303030303030303,52,23,75,14
44,5,106,81,val_loss,0.6846882700920105,0.6846882700920105,140,25,18,0.8333333333333334,1.25,0.6653957036104852,0.6242424242424243,0.6085858585858586,0.5303030303030303,0.5303030303030303,0.6868686868686869,0.5303030303030303,0.6085858585858586,0.6948270584634222,35,68,31,31
45,5,26,1,val_loss,0.6886026859283447,0.6886026859283447,140,25,18,0.8433734939759037,1.2280701754385965,0.6868007078125374,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.4619250685348767,1,98,0,66
46,5,151,126,val_loss,0.6849610209465027,0.6849610209465027,140,25,18,0.8433734939759037,1.2280701754385965,0.65311697559437,0.6303030303030303,0.599070971672251,0.5576923076923077,0.43283582089552236,0.7653061224489796,0.48739495798319327,0.5991477159584213,0.6737739872068231,29,75,23,38
47,5,26,1,val_loss,0.6963084936141968,0.6963084936141968,140,25,18,0.8433734939759037,1.2280701754385965,0.6929071592752467,0.503030303030303,0.5367803837953091,0.43243243243243246,0.7164179104477612,0.35714285714285715,0.5393258426966292,0.49992607924305144,0.568839476088943,48,35,63,19
48,5,300,300,val_loss,0.6230617761611938,0.6230617761611938,140,25,18,0.8433734939759037,1.2280701754385965,0.6176654571130887,0.6545454545454545,0.6407249466950959,0.5757575757575758,0.5671641791044776,0.7142857142857143,0.5714285714285714,0.6410442349528644,0.7383490709716722,38,70,28,29
49,5,300,300,val_loss,0.6465069651603699,0.6465069651603699,140,25,18,0.8433734939759037,1.2280701754385965,0.603135233846654,0.6787878787878788,0.6705756929637527,0.6,0.6268656716417911,0.7142857142857143,0.6131386861313869,0.6692636435838282,0.7598233323180019,42,70,28,25
50,5,111,86,val_loss,0.6956086754798889,0.6956086754798889,140,25,18,0.8433734939759037,1.2280701754385965,0.6674938056014386,0.6242424242424243,0.6388212001218397,0.5274725274725275,0.7164179104477612,0.5612244897959183,0.6075949367088608,0.6235649102148955,0.6844349680170576,48,55,43,19
