fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4534183740615845,1.4534183740615845,139,25,19,,,0.6260209323265317,0.7073170731707317,0.7081014223871367,0.618421052631579,0.7121212121212122,0.7040816326530612,0.6619718309859155,0.7019536574284416,0.7724180581323439,47,69,29,19
2,1,300,300,val_loss,1.5940662622451782,1.5940662622451782,139,25,19,,,0.5416778557015345,0.7378048780487805,0.7212430426716141,0.6885245901639344,0.6363636363636364,0.8061224489795918,0.6614173228346457,0.7237434872879696,0.8263760049474336,42,79,19,24
3,1,300,300,val_loss,1.5294591188430786,1.5294591188430786,139,25,19,,,0.5851488211361073,0.7439024390243902,0.7016079158936301,0.8,0.48484848484848486,0.9183673469387755,0.6037735849056604,0.7072921978582356,0.8477118119975262,32,90,8,34
4,1,300,300,val_loss,1.5080734491348267,1.5080734491348267,140,25,18,,,0.6240274999277337,0.6909090909090909,0.648989898989899,0.6744186046511628,0.4393939393939394,0.8585858585858586,0.5321100917431193,0.6506704304869443,0.7800734618916436,29,85,14,37
5,1,300,300,val_loss,1.4802422523498535,1.4802422523498535,140,25,18,,,0.599412573382627,0.703030303030303,0.6484922327139812,0.8,0.3582089552238806,0.9387755102040817,0.4948453608247423,0.6422724658200964,0.7866280840694487,24,92,6,43
6,1,300,300,val_loss,1.552342176437378,1.552342176437378,140,25,18,,,0.604741622620217,0.7393939393939394,0.7145141638745051,0.7222222222222222,0.582089552238806,0.8469387755102041,0.6446280991735537,0.7194432361896477,0.7825159914712153,39,83,15,28
7,1,300,300,val_loss,1.7274082899093628,1.7274082899093628,140,25,18,,,0.6089033586682326,0.703030303030303,0.6839019189765458,0.65,0.582089552238806,0.7857142857142857,0.6141732283464567,0.6863969590008145,0.7639354249162352,39,77,21,28
8,1,300,300,val_loss,1.4920672178268433,1.4920672178268433,140,25,18,,,0.6255309432799012,0.6848484848484848,0.6803990252817544,0.6027397260273972,0.6567164179104478,0.7040816326530612,0.6285714285714286,0.6774436090225564,0.770027413950655,44,69,29,23
9,1,300,300,val_loss,1.6054710149765015,1.6054710149765015,140,25,18,,,0.5978757370306667,0.7515151515151515,0.7105543710021323,0.825,0.4925373134328358,0.9285714285714286,0.616822429906542,0.7164829638321948,0.8251599147121534,33,91,7,34
10,1,300,300,val_loss,1.4951282739639282,1.4951282739639282,140,25,18,,,0.6289104893574842,0.7454545454545455,0.696009747182455,0.8787878787878788,0.43283582089552236,0.9591836734693877,0.58,0.698695652173913,0.8315565031982942,29,94,4,38
11,2,300,300,val_loss,1.53350031375885,1.53350031375885,139,25,19,,,0.5959145337511579,0.7926829268292683,0.7918985776128633,0.7222222222222222,0.7878787878787878,0.7959183673469388,0.7536231884057971,0.7873379099923723,0.8423005565862709,52,78,20,14
12,2,300,300,val_loss,1.6871933937072754,1.6871933937072754,139,25,19,,,0.6215754738194232,0.6951219512195121,0.6706864564007421,0.6428571428571429,0.5454545454545454,0.7959183673469388,0.5901639344262295,0.6737227439121438,0.7628324056895486,36,78,20,30
13,2,300,300,val_loss,1.5822350978851318,1.5822350978851318,139,25,19,,,0.5244528859484369,0.7804878048780488,0.7569573283858998,0.7777777777777778,0.6363636363636364,0.8775510204081632,0.7,0.7634615384615384,0.8685837971552258,42,86,12,24
14,2,300,300,val_loss,1.495345950126648,1.495345950126648,140,25,18,,,0.5910705077695543,0.7636363636363637,0.7323232323232323,0.7755102040816326,0.5757575757575758,0.8888888888888888,0.6608695652173913,0.739737108190091,0.8102234465870829,38,88,11,28
15,2,300,300,val_loss,1.426030158996582,1.426030158996582,140,25,18,,,0.605150476071165,0.7818181818181819,0.7643923240938166,0.7627118644067796,0.6716417910447762,0.8571428571428571,0.7142857142857143,0.76890756302521,0.8451111787998782,45,84,14,22
16,2,300,300,val_loss,1.679652452468872,1.679652452468872,140,25,18,,,0.5437454124892672,0.7818181818181819,0.8045233018580566,0.6666666666666666,0.9253731343283582,0.6836734693877551,0.775,0.7816176470588235,0.8964361864148644,62,67,31,5
17,2,300,300,val_loss,1.618229627609253,1.618229627609253,140,25,18,,,0.6034721574314379,0.7454545454545455,0.7455833079500458,0.6666666666666666,0.746268656716418,0.7448979591836735,0.704225352112676,0.7404105483967636,0.8242461163569905,50,73,25,17
18,2,300,300,val_loss,1.3067928552627563,1.3067928552627563,140,25,18,,,0.612768589844315,0.703030303030303,0.6532135242156565,0.7647058823529411,0.3880597014925373,0.9183673469387755,0.5148514851485149,0.6504388430109387,0.7860188851660067,26,90,8,41
19,2,300,300,val_loss,1.47612726688385,1.47612726688385,140,25,18,,,0.6054598973819179,0.7151515151515152,0.7224337496192507,0.6219512195121951,0.7611940298507462,0.6836734693877551,0.6845637583892618,0.7124476250509845,0.8310996040207128,51,67,31,16
20,2,300,300,val_loss,1.286869764328003,1.286869764328003,140,25,18,,,0.6064925915902001,0.7212121212121212,0.6897654584221748,0.7142857142857143,0.5223880597014925,0.8571428571428571,0.603448275862069,0.6942475024170158,0.8294243070362474,35,84,14,32
21,3,300,300,val_loss,1.6560947895050049,1.6560947895050049,139,25,19,,,0.6000998745619643,0.7378048780487805,0.7261904761904762,0.676923076923077,0.6666666666666666,0.7857142857142857,0.6717557251908397,0.7267408067578565,0.7914347557204701,44,77,21,22
22,3,300,300,val_loss,1.4044288396835327,1.4044288396835327,139,25,19,,,0.66440565643233,0.5853658536585366,0.601113172541744,0.4891304347826087,0.6818181818181818,0.5204081632653061,0.569620253164557,0.5848101265822785,0.7065553494124922,45,51,47,21
23,3,300,300,val_loss,1.650724172592163,1.650724172592163,139,25,19,,,0.6241055428392901,0.725609756097561,0.711038961038961,0.6666666666666666,0.6363636363636364,0.7857142857142857,0.6511627906976745,0.7125160687156714,0.7733457019171305,42,77,21,24
24,3,300,300,val_loss,1.765599012374878,1.765599012374878,140,25,18,,,0.6395246658170299,0.696969696969697,0.6717171717171717,0.6428571428571429,0.5454545454545454,0.797979797979798,0.5901639344262295,0.674889659520807,0.7385981022344659,36,79,20,30
25,3,300,300,val_loss,1.6233028173446655,1.6233028173446655,140,25,18,,,0.5961166461243308,0.696969696969697,0.6693572951568687,0.660377358490566,0.5223880597014925,0.8163265306122449,0.5833333333333334,0.6726190476190477,0.7799268961315868,35,80,18,32
