fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.5132135152816772,1.5132135152816772,139,25,19,0.8373493975903614,1.2410714285714286,0.637646551063674,0.6585365853658537,0.6920222634508348,0.5480769230769231,0.8636363636363636,0.5204081632653061,0.6705882352941176,0.6580789277736411,0.7719542362399505,57,51,47,9
2,1,300,300,val_loss,1.6291704177856445,1.6291704177856445,139,25,19,0.8373493975903614,1.2410714285714286,0.557004703455234,0.7134146341463414,0.7156771799628943,0.6233766233766234,0.7272727272727273,0.7040816326530612,0.6713286713286714,0.7086373086373087,0.8191094619666048,48,69,29,18
3,1,300,300,val_loss,1.516176462173462,1.516176462173462,139,25,19,0.8373493975903614,1.2410714285714286,0.5909435858650613,0.7865853658536586,0.7694805194805194,0.7627118644067796,0.6818181818181818,0.8571428571428571,0.72,0.7737931034482759,0.8593073593073592,45,84,14,21
4,1,300,300,val_loss,1.4900323152542114,1.4900323152542114,140,25,18,0.8333333333333334,1.25,0.6274291203032916,0.7333333333333333,0.7095959595959596,0.6964285714285714,0.5909090909090909,0.8282828282828283,0.639344262295082,0.7139029003783102,0.7990511172329353,39,82,17,27
5,1,300,300,val_loss,1.50850248336792,1.50850248336792,140,25,18,0.8433734939759037,1.2280701754385965,0.6112513373858343,0.7696969696969697,0.7400243679561377,0.7959183673469388,0.582089552238806,0.8979591836734694,0.6724137931034483,0.7474218498227522,0.7872372829728906,39,88,10,28
6,1,300,300,val_loss,1.553931474685669,1.553931474685669,140,25,18,0.8433734939759037,1.2280701754385965,0.6084858423585084,0.7151515151515152,0.7059092293633871,0.6470588235294118,0.6567164179104478,0.7551020408163265,0.6518518518518519,0.7054131054131054,0.7858665854401461,44,74,24,23
7,1,300,300,val_loss,1.7599236965179443,1.7599236965179443,140,25,18,0.8433734939759037,1.2280701754385965,0.616885670947561,0.703030303030303,0.7216722509899482,0.5978260869565217,0.8208955223880597,0.6224489795918368,0.6918238993710691,0.702637095884365,0.7598233323180018,55,61,37,12
8,1,300,300,val_loss,1.5471985340118408,1.5471985340118408,140,25,18,0.8433734939759037,1.2280701754385965,0.635476023960006,0.7090909090909091,0.7291349375571123,0.6021505376344086,0.835820895522388,0.6224489795918368,0.7,0.7088235294117646,0.7541882424611636,56,61,37,11
9,1,300,300,val_loss,1.6211551427841187,1.6211551427841187,140,25,18,0.8433734939759037,1.2280701754385965,0.6055438125540226,0.7696969696969697,0.7636308254645141,0.7101449275362319,0.7313432835820896,0.7959183673469388,0.7205882352941176,0.7623559733171619,0.8274444106000609,49,78,20,18
10,1,300,300,val_loss,1.4926657676696777,1.4926657676696777,140,25,18,0.8433734939759037,1.2280701754385965,0.6333843253417965,0.7696969696969697,0.7494669509594882,0.7543859649122807,0.6417910447761194,0.8571428571428571,0.6935483870967742,0.7545411838396492,0.8333840999086202,43,84,14,24
