fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,28,3,val_loss,0.691952645778656,0.691952645778656,139,25,19,,,0.6711645025292206,0.5853658536585366,0.49226963512677796,0.25,0.015151515151515152,0.9693877551020408,0.02857142857142857,0.38250276854928017,0.5545763760049475,1,95,3,65
2,1,98,73,val_loss,0.5276639461517334,0.5276639461517334,139,25,19,,,0.4778797665321377,0.774390243902439,0.7617501546072976,0.7301587301587301,0.696969696969697,0.826530612244898,0.7131782945736435,0.7636243231662188,0.854978354978355,46,81,17,20
3,1,26,1,val_loss,0.6855993866920471,0.6855993866920471,139,25,19,,,0.6811608443480964,0.5975609756097561,0.5123685837971552,0.5,0.07575757575757576,0.9489795918367347,0.13157894736842105,0.4348370927318296,0.49613481756338906,5,93,5,61
4,1,29,4,val_loss,0.6829493641853333,0.6829493641853333,140,25,18,,,0.6749626692273774,0.6,0.5025252525252526,0.5,0.015151515151515152,0.98989898989899,0.029411764705882353,0.38875168387965875,0.5125497398224671,1,98,1,65
5,1,28,3,val_loss,0.690134584903717,0.690134584903717,140,25,18,,,0.6734843180282672,0.593939393939394,0.5047212915016753,0.5,0.029850746268656716,0.9795918367346939,0.056338028169014086,0.3988253847408777,0.5490405117270789,2,96,2,65
6,1,31,6,val_loss,0.6644753217697144,0.6644753217697144,140,25,18,,,0.6603859604879624,0.6060606060606061,0.517286018885166,0.75,0.04477611940298507,0.9897959183673469,0.08450704225352113,0.41677089564413505,0.6123971976850442,3,97,1,64
7,1,28,3,val_loss,0.6902790665626526,0.6902790665626526,140,25,18,,,0.6689567055738812,0.6121212121212121,0.5341912884556808,0.6153846153846154,0.11940298507462686,0.9489795918367347,0.2,0.472,0.5598537922631739,8,93,5,59
8,1,71,46,val_loss,0.5845199823379517,0.5845199823379517,140,25,18,,,0.5819473883885701,0.696969696969697,0.6669966494060311,0.6666666666666666,0.5074626865671642,0.826530612244898,0.576271186440678,0.6702110649184523,0.7726165092902832,34,81,17,33
9,1,36,11,val_loss,0.6810809373855591,0.6810809373855591,140,25,18,,,0.6641171006027875,0.6121212121212121,0.5223880597014925,1.0,0.04477611940298507,1.0,0.08571428571428572,0.4197802197802198,0.5871154431922022,3,98,0,64
10,1,75,50,val_loss,0.6749597191810608,0.6749597191810608,140,25,18,,,0.5600361854790112,0.703030303030303,0.6555741699664941,0.75,0.40298507462686567,0.9081632653061225,0.5242718446601942,0.6542064069115949,0.789217179409077,27,89,9,40
11,2,42,17,val_loss,0.6751183271408081,0.6751183271408081,139,25,19,,,0.647106759484721,0.5914634146341463,0.5047928262213977,0.4444444444444444,0.06060606060606061,0.9489795918367347,0.10666666666666667,0.42092226613965744,0.6781076066790354,4,93,5,62
12,2,91,66,val_loss,0.6716606616973877,0.6716606616973877,139,25,19,,,0.5367306131550112,0.7439024390243902,0.7065553494124923,0.7727272727272727,0.5151515151515151,0.8979591836734694,0.6181818181818182,0.7127606338615513,0.7946815089672232,34,88,10,32
