fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.4620906114578247,1.4620906114578247,139,25,19,0.8373493975903614,1.2410714285714286,0.6531503424345408,0.6463414634146342,0.6793444650587508,0.5384615384615384,0.8484848484848485,0.5102040816326531,0.6588235294117647,0.6458674609084141,0.7482993197278911,56,50,48,10
2,1,300,300,val_loss,1.6162171363830566,1.6162171363830566,139,25,19,0.8373493975903614,1.2410714285714286,0.6414852267124642,0.6707317073170732,0.6453308596165739,0.6071428571428571,0.5151515151515151,0.7755102040816326,0.5573770491803278,0.6476205634251153,0.7014533085961657,34,76,22,32
3,1,300,300,val_loss,1.495985746383667,1.495985746383667,139,25,19,0.8373493975903614,1.2410714285714286,0.6633253045758578,0.6463414634146342,0.6422387136672851,0.5540540540540541,0.6212121212121212,0.6632653061224489,0.5857142857142857,0.6386018237082067,0.6918676561533704,41,65,33,25
4,1,300,300,val_loss,1.4414088726043701,1.4414088726043701,140,25,18,0.8333333333333334,1.25,0.6365709511593601,0.6545454545454545,0.6111111111111112,0.6046511627906976,0.3939393939393939,0.8282828282828283,0.47706422018348627,0.6095728340736436,0.7246709519436793,26,82,17,40
5,1,300,300,val_loss,1.458992600440979,1.458992600440979,140,25,18,0.8433734939759037,1.2280701754385965,0.6449217677873819,0.703030303030303,0.6909838562290588,0.6363636363636364,0.6268656716417911,0.7551020408163265,0.631578947368421,0.691423991450708,0.7616509290283278,42,74,24,25
6,1,300,300,val_loss,1.5412628650665283,1.5412628650665283,140,25,18,0.8433734939759037,1.2280701754385965,0.6425748954538704,0.696969696969697,0.7165702101736218,0.5913978494623656,0.8208955223880597,0.6122448979591837,0.6875,0.6966911764705883,0.767286018885166,55,60,38,12
7,1,300,300,val_loss,1.6679892539978027,1.6679892539978027,140,25,18,0.8433734939759037,1.2280701754385965,0.6569033157676671,0.6424242424242425,0.6517666768199817,0.5465116279069767,0.7014925373134329,0.6020408163265306,0.6143790849673203,0.6405228758169934,0.6982942430703625,47,59,39,20
8,1,300,300,val_loss,1.5011916160583496,1.5011916160583496,140,25,18,0.8433734939759037,1.2280701754385965,0.6458410234647838,0.696969696969697,0.6622753579043558,0.6808510638297872,0.47761194029850745,0.8469387755102041,0.5614035087719298,0.6649610136452242,0.7250989948218093,32,83,15,35
9,1,300,300,val_loss,1.5678194761276245,1.5678194761276245,140,25,18,0.8433734939759037,1.2280701754385965,0.652374020039823,0.703030303030303,0.7075083764849224,0.6125,0.7313432835820896,0.6836734693877551,0.6666666666666666,0.6994535519125683,0.7831251903746573,49,67,31,18
10,1,300,300,val_loss,1.4622234106063843,1.4622234106063843,140,25,18,0.8433734939759037,1.2280701754385965,0.6711941867119302,0.6181818181818182,0.6195552848004874,0.525,0.6268656716417911,0.6122448979591837,0.5714285714285714,0.6135831381733021,0.6722509899482181,42,60,38,25
