fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.410683274269104,1.410683274269104,139,25,19,,,0.645053976076064,0.6463414634146342,0.6496598639455782,0.55,0.6666666666666666,0.6326530612244898,0.6027397260273972,0.6420292036730393,0.7367037724180582,44,62,36,22
2,1,300,300,val_loss,1.5925276279449463,1.5925276279449463,139,25,19,,,0.6335793441398595,0.676829268292683,0.6182745825602969,0.7241379310344828,0.3181818181818182,0.9183673469387755,0.4421052631578947,0.6073187259995482,0.7028447742733457,21,90,8,45
3,1,300,300,val_loss,1.499274730682373,1.499274730682373,139,25,19,,,0.6605695152124144,0.6280487804878049,0.5898268398268398,0.5531914893617021,0.3939393939393939,0.7857142857142857,0.46017699115044247,0.5882280304589421,0.6621830550401978,26,77,21,40
4,1,300,300,val_loss,1.4697800874710083,1.4697800874710083,140,25,18,,,0.6373116139646223,0.6545454545454545,0.5984848484848485,0.6363636363636364,0.3181818181818182,0.8787878787878788,0.42424242424242425,0.5887445887445888,0.6951331496786042,21,87,12,45
5,1,300,300,val_loss,1.4144461154937744,1.4144461154937744,140,25,18,,,0.6298715368149267,0.7090909090909091,0.6512336277794699,0.8518518518518519,0.34328358208955223,0.9591836734693877,0.48936170212765956,0.6429859358095925,0.7581480353335365,23,94,4,44
6,1,300,300,val_loss,1.5274314880371094,1.5274314880371094,140,25,18,,,0.6347993283932689,0.7151515151515152,0.7035485836125495,0.6515151515151515,0.6417910447761194,0.7653061224489796,0.6466165413533834,0.7040189305751688,0.7485531526043253,43,75,23,24
7,1,300,300,val_loss,1.6215976476669312,1.6215976476669312,140,25,18,,,0.6440093859291695,0.6727272727272727,0.6324246116356991,0.6511627906976745,0.417910447761194,0.8469387755102041,0.509090909090909,0.6318181818181818,0.6885470606152909,28,83,15,39
8,1,300,300,val_loss,1.4461541175842285,1.4461541175842285,140,25,18,,,0.6390057445950595,0.6666666666666666,0.6178799878160219,0.6666666666666666,0.3582089552238806,0.8775510204081632,0.46601941747572817,0.6118643342885248,0.7136765153822723,24,86,12,43
9,1,300,300,val_loss,1.5310699939727783,1.5310699939727783,140,25,18,,,0.6373602806509492,0.703030303030303,0.6484922327139812,0.8,0.3582089552238806,0.9387755102040817,0.4948453608247423,0.6422724658200964,0.766981419433445,24,92,6,43
10,1,300,300,val_loss,1.470572829246521,1.470572829246521,140,25,18,,,0.6613606882224438,0.6787878787878788,0.6422479439537009,0.6521739130434783,0.44776119402985076,0.8367346938775511,0.5309734513274337,0.643366909995514,0.6717940907706366,30,82,16,37
11,2,300,300,val_loss,1.4383867979049683,1.4383867979049683,139,25,19,,,0.6355517717437927,0.6951219512195121,0.6410018552875696,0.75,0.36363636363636365,0.9183673469387755,0.4897959183673469,0.6362023070097604,0.7571119356833642,24,90,8,42
12,2,300,300,val_loss,1.5836552381515503,1.5836552381515503,139,25,19,,,0.6483086511563222,0.7073170731707317,0.6561533704390847,0.7647058823529411,0.3939393939393939,0.9183673469387755,0.52,0.6547368421052632,0.7348484848484849,26,90,8,40
13,2,300,300,val_loss,1.5356494188308716,1.5356494188308716,139,25,19,,,0.6474201284024639,0.6341463414634146,0.575139146567718,0.6,0.2727272727272727,0.8775510204081632,0.375,0.5581896551724138,0.6859925788497218,18,86,12,48
14,2,300,300,val_loss,1.4135991334915161,1.4135991334915161,140,25,18,,,0.6043937074430282,0.6848484848484848,0.638888888888889,0.675,0.4090909090909091,0.8686868686868687,0.5094339622641509,0.6386455525606469,0.7606366697275789,27,86,13,39
15,2,300,300,val_loss,1.4572314023971558,1.4572314023971558,140,25,18,,,0.6542193408726649,0.6848484848484848,0.6449893390191898,0.6744186046511628,0.43283582089552236,0.8571428571428571,0.5272727272727272,0.6454545454545455,0.6906792567773378,29,84,14,38
16,2,300,300,val_loss,1.558921456336975,1.558921456336975,140,25,18,,,0.6595578021436341,0.6,0.6396588486140725,0.504424778761062,0.8507462686567164,0.42857142857142855,0.6333333333333333,0.5966666666666667,0.7107828205909229,57,42,56,10
17,2,300,300,val_loss,1.5408152341842651,1.5408152341842651,140,25,18,,,0.6448207303614741,0.6909090909090909,0.6831404203472433,0.6142857142857143,0.6417910447761194,0.7244897959183674,0.6277372262773723,0.6817442608070798,0.7226621992080414,43,71,27,24
18,2,300,300,val_loss,1.325615644454956,1.325615644454956,140,25,18,,,0.6461316930833906,0.703030303030303,0.6532135242156565,0.7647058823529411,0.3880597014925373,0.9183673469387755,0.5148514851485149,0.6504388430109387,0.6885470606152908,26,90,8,41
