fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.496227741241455,1.496227741241455,139,25,19,0.8373493975903614,1.2410714285714286,0.6488606855008485,0.6585365853658537,0.6722325293753866,0.5568181818181818,0.7424242424242424,0.6020408163265306,0.6363636363636364,0.657262277951933,0.7173778602350029,49,59,39,17
2,1,300,300,val_loss,1.6060607433319092,1.6060607433319092,139,25,19,0.8373493975903614,1.2410714285714286,0.6340147364364015,0.6707317073170732,0.6304885590599877,0.6363636363636364,0.42424242424242425,0.8367346938775511,0.509090909090909,0.6306922435362803,0.7042362399505256,28,82,16,38
3,1,300,300,val_loss,1.5384047031402588,1.5384047031402588,139,25,19,0.8373493975903614,1.2410714285714286,0.640767618067885,0.7012195121951219,0.6584724799010513,0.7073170731707317,0.4393939393939394,0.8775510204081632,0.5420560747663551,0.6601683088763902,0.75139146567718,29,86,12,37
4,1,300,300,val_loss,1.4550799131393433,1.4550799131393433,140,25,18,0.8333333333333334,1.25,0.6434585888723505,0.6848484848484848,0.6464646464646464,0.6521739130434783,0.45454545454545453,0.8383838383838383,0.5357142857142857,0.6485910878112713,0.7601775329048056,30,83,16,36
5,1,300,300,val_loss,1.449650526046753,1.449650526046753,140,25,18,0.8433734939759037,1.2280701754385965,0.6243034679734938,0.6727272727272727,0.6442278403898873,0.6226415094339622,0.4925373134328358,0.7959183673469388,0.55,0.6464285714285715,0.720986902223576,33,78,20,34
6,1,300,300,val_loss,1.5289684534072876,1.5289684534072876,140,25,18,0.8433734939759037,1.2280701754385965,0.6289803785436201,0.6606060606060606,0.6481876332622601,0.582089552238806,0.582089552238806,0.7142857142857143,0.582089552238806,0.6481876332622601,0.7260127931769722,39,70,28,28
7,1,300,297,val_loss,1.7980265617370605,1.7980265617370605,140,25,18,0.8433734939759037,1.2280701754385965,0.6410138908744335,0.6606060606060606,0.6812366737739872,0.5578947368421052,0.7910447761194029,0.5714285714285714,0.654320987654321,0.6604938271604939,0.7359122753579043,53,56,42,14
8,1,300,300,val_loss,1.5174063444137573,1.5174063444137573,140,25,18,0.8433734939759037,1.2280701754385965,0.6565502769781528,0.6181818181818182,0.6077520560462991,0.5285714285714286,0.5522388059701493,0.6632653061224489,0.5401459854014599,0.6068605574675693,0.6678342978982638,37,65,33,30
9,1,300,300,val_loss,1.5613102912902832,1.5613102912902832,140,25,18,0.8433734939759037,1.2280701754385965,0.6273628993143424,0.6606060606060606,0.6340237587572342,0.6,0.4925373134328358,0.7755102040816326,0.5409836065573771,0.6358764186633039,0.7605848309473042,33,76,22,34
10,1,300,300,val_loss,1.4678415060043335,1.4678415060043335,140,25,18,0.8433734939759037,1.2280701754385965,0.6556946044231212,0.6848484848484848,0.6662351507767286,0.6229508196721312,0.5671641791044776,0.7653061224489796,0.59375,0.6681621287128713,0.7385013706975327,38,75,23,29
11,2,300,300,val_loss,1.518121361732483,1.518121361732483,139,25,19,0.8373493975903614,1.2410714285714286,0.6393936072603226,0.7012195121951219,0.7153679653679654,0.5977011494252874,0.7878787878787878,0.6428571428571429,0.6797385620915033,0.6998692810457516,0.7918985776128634,52,63,35,14
12,2,300,300,val_loss,1.6544195413589478,1.6544195413589478,139,25,19,0.8373493975903614,1.2410714285714286,0.6642007193974108,0.5792682926829268,0.5935374149659864,0.4835164835164835,0.6666666666666666,0.5204081632653061,0.5605095541401274,0.5785003911051514,0.6818181818181818,44,51,47,22
13,2,300,300,val_loss,1.565109133720398,1.565109133720398,139,25,19,0.8373493975903614,1.2410714285714286,0.6043521140800618,0.7134146341463414,0.7181508967223253,0.620253164556962,0.7424242424242424,0.6938775510204082,0.6758620689655173,0.7095157339363105,0.7832405689548547,49,68,30,17
14,2,300,300,val_loss,1.4979602098464966,1.4979602098464966,140,25,18,0.8333333333333334,1.25,0.617465350097205,0.6848484848484848,0.6641414141414141,0.6166666666666667,0.5606060606060606,0.7676767676767676,0.5873015873015873,0.6661998132586369,0.7646158555249465,37,76,23,29
15,2,300,300,val_loss,1.457318902015686,1.457318902015686,140,25,18,0.8433734939759037,1.2280701754385965,0.6460028702511329,0.696969696969697,0.6929637526652452,0.6164383561643836,0.6716417910447762,0.7142857142857143,0.6428571428571429,0.6898496240601504,0.7724642095644227,45,70,28,22
16,2,31,6,val_loss,2.1363635063171387,2.1363635063171387,140,25,18,0.8433734939759037,1.2280701754385965,0.6804172089696875,0.5636363636363636,0.5051781906792567,0.41935483870967744,0.19402985074626866,0.8163265306122449,0.2653061224489796,0.4774806474313864,0.5485836125494974,13,80,18,54
