fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,47,22,val_loss,0.6809141039848328,0.6809141039848328,139,25,19,,,0.6575884396129803,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.6753246753246754,0,98,0,66
2,1,177,152,val_loss,0.5900604724884033,0.5900604724884033,139,25,19,,,0.5008128863734935,0.7987804878048781,0.7648423005565863,0.8666666666666667,0.5909090909090909,0.9387755102040817,0.7027027027027027,0.7753144849919044,0.8741496598639455,39,92,6,27
3,1,114,89,val_loss,0.6512813568115234,0.6512813568115234,139,25,19,,,0.5824326024992228,0.6951219512195121,0.6335807050092764,0.8076923076923077,0.3181818181818182,0.9489795918367347,0.45652173913043476,0.6223286661753868,0.8155534941249227,21,93,5,45
4,1,26,1,val_loss,0.6777287125587463,0.6777287125587463,140,25,18,,,0.6743213380212368,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.5059687786960514,0,99,0,66
5,1,110,85,val_loss,0.6643668413162231,0.6643668413162231,140,25,18,,,0.5949750225954891,0.6727272727272727,0.6182607371306732,0.7096774193548387,0.3283582089552239,0.9081632653061225,0.4489795918367347,0.6081104855735397,0.7625647273834907,22,89,9,45
6,1,152,127,val_loss,0.5591215491294861,0.5591215491294861,140,25,18,,,0.4786608186774398,0.793939393939394,0.779317697228145,0.7704918032786885,0.7014925373134329,0.8571428571428571,0.734375,0.7830290841584158,0.8630825464514165,47,84,14,20
7,1,63,38,val_loss,0.6744241118431091,0.6744241118431091,140,25,18,,,0.6554719261922484,0.6060606060606061,0.5149253731343284,1.0,0.029850746268656716,1.0,0.057971014492753624,0.40446443444944197,0.7028632348461773,2,98,0,65
8,1,53,28,val_loss,0.6845247149467468,0.6845247149467468,140,25,18,,,0.6729649266334787,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.6206213828815107,0,98,0,67
9,1,125,100,val_loss,0.6121238470077515,0.6121238470077515,140,25,18,,,0.5677293546327731,0.6909090909090909,0.6548126713371916,0.6739130434782609,0.4626865671641791,0.8469387755102041,0.5486725663716814,0.6568247624485135,0.7950045689917759,31,83,15,36
10,1,103,78,val_loss,0.634193480014801,0.634193480014801,140,25,18,,,0.585092457853949,0.6666666666666666,0.610798050563509,0.7,0.31343283582089554,0.9081632653061225,0.4329896907216495,0.5984690942878634,0.7995735607675907,21,89,9,46
11,2,103,78,val_loss,0.6580782532691956,0.6580782532691956,139,25,19,,,0.623273660575003,0.6219512195121951,0.5377241805813234,0.7,0.10606060606060606,0.9693877551020408,0.18421052631578946,0.4690893901420217,0.7705627705627707,7,95,3,59
12,2,94,69,val_loss,0.6726731657981873,0.6726731657981873,139,25,19,,,0.6212286731079438,0.6829268292682927,0.6060606060606061,1.0,0.21212121212121213,1.0,0.35,0.5701612903225806,0.7665429808286952,14,98,0,52
13,2,273,248,val_loss,0.5226739645004272,0.5226739645004272,139,25,19,,,0.31622613167134944,0.8780487804878049,0.8633271490414347,0.896551724137931,0.7878787878787878,0.9387755102040817,0.8387096774193549,0.8703352308665402,0.9477427334570191,52,92,6,14
14,2,294,269,val_loss,0.49528929591178894,0.49528929591178894,140,25,18,,,0.34449837700629854,0.8666666666666667,0.8484848484848485,0.8928571428571429,0.7575757575757576,0.9393939393939394,0.819672131147541,0.8569514501891551,0.9348025711662076,50,93,6,16
15,2,146,121,val_loss,0.6535468101501465,0.6535468101501465,140,25,18,,,0.5428289276732401,0.7333333333333333,0.6905269570514774,0.7948717948717948,0.4626865671641791,0.9183673469387755,0.5849056603773585,0.6942385444743935,0.8285105086810844,31,90,8,36
16,2,82,57,val_loss,0.6868830919265747,0.6868830919265747,140,25,18,,,0.6416745480044009,0.6545454545454545,0.5817088029241547,0.8125,0.19402985074626866,0.9693877551020408,0.3132530120481928,0.541241890639481,0.7276880901614377,13,95,3,54
17,2,190,165,val_loss,0.6465814709663391,0.6465814709663391,140,25,18,,,0.5367101046267637,0.7757575757575758,0.7640115747791654,0.734375,0.7014925373134329,0.826530612244898,0.7175572519083969,0.7658138018335954,0.8332318001827597,47,81,17,20
18,2,241,216,val_loss,0.5858892202377319,0.5858892202377319,140,25,18,,,0.46942203131092913,0.8,0.7796984465427963,0.8035714285714286,0.6716417910447762,0.8877551020408163,0.7317073170731707,0.7861435136090491,0.8720682302771855,45,87,11,22
19,2,50,25,val_loss,0.6725367903709412,0.6725367903709412,140,25,18,,,0.6605599299114413,0.6060606060606061,0.5149253731343284,1.0,0.029850746268656716,1.0,0.057971014492753624,0.40446443444944197,0.7081937252512945,2,98,0,65
20,2,86,61,val_loss,0.6693377494812012,0.6693377494812012,140,25,18,,,0.6357000002897126,0.6060606060606061,0.5149253731343284,1.0,0.029850746268656716,1.0,0.057971014492753624,0.40446443444944197,0.742004264392324,2,98,0,65
21,3,65,40,val_loss,0.642792820930481,0.642792820930481,139,25,19,,,0.6353086868114252,0.6646341463414634,0.5981756338899196,0.7391304347826086,0.25757575757575757,0.9387755102040817,0.38202247191011235,0.5759484744487801,0.7255720470006185,17,92,6,49
22,3,74,49,val_loss,0.6830066442489624,0.6830066442489624,139,25,19,,,0.654635276322122,0.6585365853658537,0.5930735930735931,0.7083333333333334,0.25757575757575757,0.9285714285714286,0.37777777777777777,0.5712418300653594,0.6900123685837971,17,91,7,49
23,3,63,38,val_loss,0.6687208414077759,0.6687208414077759,139,25,19,,,0.6510600832630816,0.6036585365853658,0.5075757575757576,1.0,0.015151515151515152,1.0,0.029850746268656716,0.3904043003373935,0.722943722943723,1,98,0,65
24,3,80,55,val_loss,0.6553792357444763,0.6553792357444763,140,25,18,,,0.6257483310236539,0.6666666666666666,0.601010101010101,0.72,0.2727272727272727,0.9292929292929293,0.3956043956043956,0.5827394362959216,0.7736455463728191,18,92,7,48
25,3,104,79,val_loss,0.6576039791107178,0.6576039791107178,140,25,18,,,0.6144444457001591,0.6545454545454545,0.6053152604325311,0.6388888888888888,0.34328358208955223,0.8673469387755102,0.44660194174757284,0.5977503100808349,0.7622601279317697,23,85,13,44
26,3,55,30,val_loss,0.6725032329559326,0.6725032329559326,140,25,18,,,0.6600640058370117,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.7156564118184587,0,98,0,67
27,3,97,72,val_loss,0.6342410445213318,0.6342410445213318,140,25,18,,,0.6015613138037329,0.6666666666666666,0.6084374048126713,0.7142857142857143,0.29850746268656714,0.9183673469387755,0.42105263157894735,0.593505039193729,0.7698751142247944,20,90,8,47
28,3,42,17,val_loss,0.6691660284996033,0.6691660284996033,140,25,18,,,0.6764836837735135,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.5169052695705147,0,98,0,67
29,3,103,78,val_loss,0.5978740453720093,0.5978740453720093,140,25,18,,,0.5806333930202529,0.6909090909090909,0.6548126713371916,0.6739130434782609,0.4626865671641791,0.8469387755102041,0.5486725663716814,0.6568247624485135,0.7755102040816326,31,83,15,36
30,3,109,84,val_loss,0.6391153931617737,0.6391153931617737,140,25,18,,,0.6163621822368043,0.6666666666666666,0.5966341760584831,0.8333333333333334,0.22388059701492538,0.9693877551020408,0.35294117647058826,0.5642256902761105,0.7717027109351202,15,95,3,52
31,4,173,148,val_loss,0.5662475824356079,0.5662475824356079,139,25,19,,,0.4809979179781223,0.8109756097560976,0.7849412492269635,0.8431372549019608,0.6515151515151515,0.9183673469387755,0.7350427350427351,0.7940616518815571,0.8783240568954855,43,90,8,23
32,4,120,95,val_loss,0.6686758399009705,0.6686758399009705,139,25,19,,,0.5902520617149931,0.7012195121951219,0.6485776128633272,0.7575757575757576,0.3787878787878788,0.9183673469387755,0.5050505050505051,0.6455383529619337,0.786178107606679,25,90,8,41
33,4,30,5,val_loss,0.680101215839386,0.680101215839386,139,25,19,,,0.6715576287658669,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.6122448979591837,0,98,0,66
34,4,88,63,val_loss,0.667206883430481,0.667206883430481,140,25,18,,,0.6307669858856623,0.6484848484848484,0.5656565656565656,0.8333333333333334,0.15151515151515152,0.9797979797979798,0.2564102564102564,0.5131257631257631,0.7138047138047138,10,97,2,56
35,4,114,89,val_loss,0.6300493478775024,0.6300493478775024,140,25,18,,,0.5742554993546571,0.696969696969697,0.6528327749010052,0.717948717948718,0.417910447761194,0.8877551020408163,0.5283018867924528,0.6525438005390836,0.8052086506244288,28,87,11,39
36,4,148,123,val_loss,0.5554527044296265,0.5554527044296265,140,25,18,,,0.5023745923812948,0.7636363636363637,0.7467255558939994,0.7333333333333333,0.6567164179104478,0.8367346938775511,0.6929133858267716,0.7503975796128932,0.8495278708498324,44,82,16,23
37,4,74,49,val_loss,0.6584925055503845,0.6584925055503845,140,25,18,,,0.62086792659285,0.6363636363636364,0.5687633262260128,0.6666666666666666,0.208955223880597,0.9285714285714286,0.3181818181818182,0.5351239669421488,0.7494669509594883,14,91,7,53
38,4,167,142,val_loss,0.5729255676269531,0.5729255676269531,140,25,18,,,0.478012841705693,0.7878787878787878,0.7600517819067926,0.82,0.6119402985074627,0.9081632653061225,0.7008547008547008,0.7682677260142048,0.8624733475479744,41,89,9,26
39,4,92,67,val_loss,0.6487880945205688,0.6487880945205688,140,25,18,,,0.6095674064407129,0.6727272727272727,0.6064575083764849,0.8095238095238095,0.2537313432835821,0.9591836734693877,0.38636363636363635,0.5816115702479339,0.7727688090161438,17,94,4,50
40,4,29,4,val_loss,0.685288667678833,0.685288667678833,140,25,18,,,0.6803471682388434,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.4794395370088334,0,98,0,67
41,5,115,90,val_loss,0.6396297216415405,0.6396297216415405,139,25,19,,,0.5901300715274544,0.6707317073170732,0.6280148423005566,0.6428571428571429,0.4090909090909091,0.8469387755102041,0.5,0.6272727272727272,0.7840136054421769,27,83,15,39
42,5,41,16,val_loss,0.6818809509277344,0.6818809509277344,139,25,19,,,0.6705052492182485,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.6059059987631417,0,98,0,66
43,5,54,29,val_loss,0.6721545457839966,0.6721545457839966,139,25,19,,,0.6611226250991767,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.7040816326530612,0,98,0,66
44,5,124,99,val_loss,0.6482129096984863,0.6482129096984863,140,25,18,,,0.5698193682219976,0.7151515151515152,0.6717171717171717,0.7317073170731707,0.45454545454545453,0.8888888888888888,0.5607476635514018,0.6749926658564184,0.7918579736761555,30,88,11,36
45,5,300,296,val_loss,0.5468045473098755,0.5468045473098755,140,25,18,,,0.22778137239836777,0.9272727272727272,0.9175296984465428,0.9508196721311475,0.8656716417910447,0.9693877551020408,0.90625,0.9234220297029703,0.9753274444106,58,95,3,9
46,5,64,39,val_loss,0.6679607629776001,0.6679607629776001,140,25,18,,,0.6507144177053477,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.7275357904355771,0,98,0,67
47,5,78,53,val_loss,0.675028920173645,0.675028920173645,140,25,18,,,0.6322262887525616,0.6787878787878788,0.6162808406944867,0.7916666666666666,0.2835820895522388,0.9489795918367347,0.4175824175824176,0.5979125477033427,0.7447456594578128,19,93,5,48
48,5,132,107,val_loss,0.6283366084098816,0.6283366084098816,140,25,18,,,0.5726516924052906,0.7090909090909091,0.6606762107828206,0.7714285714285715,0.40298507462686567,0.9183673469387755,0.5294117647058824,0.6594427244582044,0.7960706670727993,27,90,8,40
49,5,188,163,val_loss,0.5974200963973999,0.5974200963973999,140,25,18,,,0.4570297644553041,0.8121212121212121,0.7946238196771246,0.8103448275862069,0.7014925373134329,0.8877551020408163,0.752,0.8003902439024391,0.8943039902528175,47,87,11,20
50,5,93,68,val_loss,0.6495963931083679,0.6495963931083679,140,25,18,,,0.625056717458031,0.6545454545454545,0.5911513859275054,0.7083333333333334,0.2537313432835821,0.9285714285714286,0.37362637362637363,0.5675663248885006,0.7453548583612549,17,91,7,50
