fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,28,3,val_loss,0.690224826335907,0.690224826335907,139,25,19,,,0.6754133723152002,0.5975609756097561,0.5024737167594311,0.5,0.015151515151515152,0.9897959183673469,0.029411764705882353,0.38778280542986426,0.5214904143475572,1,97,1,65
2,1,81,56,val_loss,0.5715978741645813,0.5715978741645813,139,25,19,,,0.5591434916104662,0.75,0.7289734075448362,0.7192982456140351,0.6212121212121212,0.8367346938775511,0.6666666666666666,0.7333333333333334,0.7815398886827459,41,82,16,25
3,1,27,2,val_loss,0.6805551052093506,0.6805551052093506,139,25,19,,,0.6761756206882045,0.5914634146341463,0.49489795918367346,0.0,0.0,0.9897959183673469,0.0,0.3716475095785441,0.5040197897340755,0,97,1,66
4,1,29,4,val_loss,0.7038686871528625,0.7038686871528625,140,25,18,,,0.680850404383332,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.42592592592592593,0,99,0,66
5,1,86,61,val_loss,0.5988034605979919,0.5988034605979919,140,25,18,,,0.49620483337939075,0.7878787878787878,0.7624124276576303,0.8076923076923077,0.6268656716417911,0.8979591836734694,0.7058823529411765,0.7700027878449958,0.825921413341456,42,88,10,25
6,1,30,5,val_loss,0.6657700538635254,0.6657700538635254,140,25,18,,,0.6738292129912853,0.6060606060606061,0.5149253731343284,1.0,0.029850746268656716,1.0,0.057971014492753624,0.40446443444944197,0.5245202558635395,2,98,0,65
7,1,28,3,val_loss,0.6897149085998535,0.6897149085998535,140,25,18,,,0.669212077911446,0.6,0.5169052695705147,0.5555555555555556,0.07462686567164178,0.9591836734693877,0.13157894736842105,0.43586821384169083,0.5656411818458726,5,94,4,62
8,1,30,5,val_loss,0.6474878191947937,0.6474878191947937,140,25,18,,,0.6581657353193578,0.6424242424242425,0.5620621382881511,0.9,0.13432835820895522,0.9897959183673469,0.23376623376623376,0.5002823263692829,0.6562595187328664,9,97,1,58
9,1,86,61,val_loss,0.6062087416648865,0.6062087416648865,140,25,18,,,0.5460012678218282,0.7090909090909091,0.6772007310386842,0.6938775510204082,0.5074626865671642,0.8469387755102041,0.5862068965517241,0.6809539155655817,0.7948522692659152,34,83,15,33
10,1,76,51,val_loss,0.5908989906311035,0.5908989906311035,140,25,18,,,0.5341724500058591,0.7151515151515152,0.6752208346024977,0.7380952380952381,0.4626865671641791,0.8877551020408163,0.5688073394495413,0.6780688280958114,0.8105391410295462,31,87,11,36
11,2,61,36,val_loss,0.6629573106765747,0.6629573106765747,139,25,19,,,0.6160659720597,0.676829268292683,0.6133271490414348,0.76,0.2878787878787879,0.9387755102040817,0.4175824175824176,0.5969768627996476,0.7385590599876314,19,92,6,47
12,2,69,44,val_loss,0.677521288394928,0.677521288394928,139,25,19,,,0.5958386311970416,0.6951219512195121,0.6261595547309833,0.9,0.2727272727272727,0.9795918367346939,0.4186046511627907,0.6059965404574285,0.7625231910946196,18,96,2,48
13,2,91,66,val_loss,0.5864604711532593,0.5864604711532593,139,25,19,,,0.46237574957617017,0.7621951219512195,0.7490723562152133,0.7142857142857143,0.6818181818181818,0.8163265306122449,0.6976744186046512,0.7508472595535819,0.8529684601113172,45,80,18,21
14,2,74,49,val_loss,0.6187382340431213,0.6187382340431213,140,25,18,,,0.5452587245533266,0.7333333333333333,0.6893939393939394,0.775,0.4696969696969697,0.9090909090909091,0.5849056603773585,0.6942385444743935,0.7865013774104683,31,90,9,35
15,2,69,44,val_loss,0.6138231754302979,0.6138231754302979,140,25,18,,,0.5687941407929602,0.6909090909090909,0.6500913798355162,0.6904761904761905,0.43283582089552236,0.8673469387755102,0.5321100917431193,0.6506704304869443,0.7776424002436795,29,85,13,38
