fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6574352979660034,0.6574352979660034,139,25,19,,,0.6661442825000253,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.6110080395794681,0,98,0,66
2,1,54,29,val_loss,0.5351338982582092,0.5351338982582092,139,25,19,,,0.5391012941272891,0.7621951219512195,0.729282622139765,0.7872340425531915,0.5606060606060606,0.8979591836734694,0.6548672566371682,0.7367359538999794,0.7965367965367965,37,88,10,29
3,1,28,3,val_loss,0.6606738567352295,0.6606738567352295,139,25,19,,,0.6701627011778084,0.5975609756097561,0.5,0.0,0.0,1.0,0.0,0.37404580152671757,0.5691094619666048,0,98,0,66
4,1,28,3,val_loss,0.6937253475189209,0.6937253475189209,140,25,18,,,0.6676104671910734,0.6,0.5,0.0,0.0,1.0,0.0,0.375,0.5691766146311601,0,99,0,66
5,1,50,25,val_loss,0.6187124252319336,0.6187124252319336,140,25,18,,,0.580933270529496,0.7090909090909091,0.6724794395370088,0.7111111111111111,0.47761194029850745,0.8673469387755102,0.5714285714285714,0.6756225425950196,0.7505330490405118,32,85,13,35
6,1,62,37,val_loss,0.478333443403244,0.478333443403244,140,25,18,,,0.44037775437575644,0.7878787878787878,0.7718550106609807,0.7666666666666667,0.6865671641791045,0.8571428571428571,0.7244094488188977,0.7759978278577246,0.874657325616814,46,84,14,21
7,1,29,4,val_loss,0.6771076917648315,0.6771076917648315,140,25,18,,,0.6600046823816437,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.6847395674687785,0,98,0,67
8,1,38,13,val_loss,0.649989902973175,0.649989902973175,140,25,18,,,0.6266012131904275,0.6484848484848484,0.5860493451111788,0.68,0.2537313432835821,0.9183673469387755,0.3695652173913043,0.5629338691998538,0.7240328967407859,17,90,8,50
9,1,54,29,val_loss,0.5896221399307251,0.5896221399307251,140,25,18,,,0.5573038449558612,0.7454545454545455,0.7172555589399938,0.7450980392156863,0.5671641791044776,0.8673469387755102,0.6440677966101694,0.7229772945314998,0.7837343892780994,38,85,13,29
10,1,50,25,val_loss,0.6165067553520203,0.6165067553520203,140,25,18,,,0.5802699083690003,0.6666666666666666,0.6060767590618337,0.7307692307692307,0.2835820895522388,0.9285714285714286,0.40860215053763443,0.5882673199945556,0.7927200731038684,19,91,7,48
11,2,51,26,val_loss,0.6568779945373535,0.6568779945373535,139,25,19,,,0.6004886114787453,0.676829268292683,0.6158008658008658,0.7407407407407407,0.30303030303030304,0.9285714285714286,0.43010752688172044,0.6022878059940517,0.746134817563389,20,91,7,46
12,2,48,23,val_loss,0.6794403195381165,0.6794403195381165,139,25,19,,,0.6088486706760908,0.6524390243902439,0.5731292517006803,0.8461538461538461,0.16666666666666666,0.9795918367346939,0.27848101265822783,0.5247826750038127,0.7711811997526283,11,96,2,55
13,2,52,27,val_loss,0.6506574749946594,0.6506574749946594,139,25,19,,,0.5664308932707748,0.7073170731707317,0.6808905380333952,0.6666666666666666,0.5454545454545454,0.8163265306122449,0.6,0.6846153846153846,0.7617501546072974,36,80,18,30
14,2,68,43,val_loss,0.5981191396713257,0.5981191396713257,140,25,18,,,0.43742061736620014,0.793939393939394,0.7676767676767677,0.8076923076923077,0.6363636363636364,0.898989898989899,0.711864406779661,0.7757435241445475,0.8809305172941537,42,89,10,24
15,2,46,21,val_loss,0.6510478258132935,0.6510478258132935,140,25,18,,,0.602073984912255,0.6848484848484848,0.6284648187633263,0.7586206896551724,0.3283582089552239,0.9285714285714286,0.4583333333333333,0.6180555555555556,0.7502284495887908,22,91,7,45
16,2,30,5,val_loss,0.6744354963302612,0.6744354963302612,140,25,18,,,0.655601394810968,0.6181818181818182,0.5298507462686567,1.0,0.05970149253731343,1.0,0.11267605633802817,0.43471640654739246,0.6908315565031983,4,98,0,63
17,2,48,23,val_loss,0.6678889989852905,0.6678889989852905,140,25,18,,,0.6111620370624324,0.7454545454545455,0.7266981419433445,0.711864406779661,0.6268656716417911,0.826530612244898,0.6666666666666666,0.7303921568627451,0.7717027109351202,42,81,17,25
18,2,56,31,val_loss,0.6568916440010071,0.6568916440010071,140,25,18,,,0.578659036952872,0.6848484848484848,0.6591532135242156,0.6363636363636364,0.5223880597014925,0.7959183673469388,0.5737704918032787,0.6618852459016393,0.7551020408163266,35,78,20,32
19,2,29,4,val_loss,0.6856117248535156,0.6856117248535156,140,25,18,,,0.6730405348100568,0.593939393939394,0.5,0.0,0.0,1.0,0.0,0.3726235741444867,0.5833079500456899,0,98,0,67
20,2,71,46,val_loss,0.6510406732559204,0.6510406732559204,140,25,18,,,0.39859883335815094,0.8363636363636363,0.8173926286932683,0.8571428571428571,0.7164179104477612,0.9183673469387755,0.7804878048780488,0.8250265111346766,0.8971976850441669,48,90,8,19
21,3,31,6,val_loss,0.6809187531471252,0.6809187531471252,139,25,19,,,0.6598984453274321,0.6341463414634146,0.5528756957328386,0.75,0.13636363636363635,0.9693877551020408,0.23076923076923078,0.4953846153846154,0.6055967841682126,9,95,3,57
22,3,26,1,val_loss,0.6725573539733887,0.6725573539733887,139,25,19,,,0.6824116181833594,0.6097560975609756,0.5225726654298083,0.625,0.07575757575757576,0.9693877551020408,0.13513513513513514,0.4415833155990636,0.48747680890538037,5,95,3,61
23,3,48,23,val_loss,0.6394709348678589,0.6394709348678589,139,25,19,,,0.6030452052245965,0.6707317073170732,0.6082251082251082,0.7307692307692307,0.2878787878787879,0.9285714285714286,0.41304347826086957,0.5921149594694178,0.74860853432282,19,91,7,47
24,3,36,11,val_loss,0.6670422554016113,0.6670422554016113,140,25,18,,,0.6390955830860049,0.6484848484848484,0.5681818181818182,0.7857142857142857,0.16666666666666666,0.9696969696969697,0.275,0.5215000000000001,0.7173247627793083,11,96,3,55
25,3,44,19,val_loss,0.6626200079917908,0.6626200079917908,140,25,18,,,0.619563502370889,0.6666666666666666,0.6060767590618337,0.7307692307692307,0.2835820895522388,0.9285714285714286,0.40860215053763443,0.5882673199945556,0.75616813889735,19,91,7,48
26,3,42,17,val_loss,0.6711949110031128,0.6711949110031128,140,25,18,,,0.639292945177386,0.6303030303030303,0.5565793481571734,0.6875,0.16417910447761194,0.9489795918367347,0.26506024096385544,0.5090483391054095,0.7156564118184587,11,93,5,56
27,3,48,23,val_loss,0.636837899684906,0.636837899684906,140,25,18,,,0.5624727773711481,0.7393939393939394,0.7050715808711544,0.7608695652173914,0.5223880597014925,0.8877551020408163,0.6194690265486725,0.7106561722605114,0.7832774901005177,35,87,11,32
28,3,30,5,val_loss,0.6497456431388855,0.6497456431388855,140,25,18,,,0.66556328915301,0.6,0.5074626865671642,1.0,0.014925373134328358,1.0,0.029411764705882353,0.38875168387965875,0.5950350289369479,1,98,0,66
29,3,59,34,val_loss,0.6247608661651611,0.6247608661651611,140,25,18,,,0.535916016744103,0.7454545454545455,0.7196162046908315,0.7358490566037735,0.582089552238806,0.8571428571428571,0.65,0.7250000000000001,0.8006396588486141,39,84,14,28
30,3,44,19,val_loss,0.676626443862915,0.676626443862915,140,25,18,,,0.6234883320588074,0.6787878787878788,0.6210021321961621,0.75,0.31343283582089554,0.9285714285714286,0.4421052631578947,0.6082866741321389,0.7005787389582699,21,91,7,46
31,4,52,27,val_loss,0.5052967071533203,0.5052967071533203,139,25,19,,,0.4926677445799009,0.7621951219512195,0.7416512059369202,0.7368421052631579,0.6363636363636364,0.8469387755102041,0.6829268292682927,0.7463414634146341,0.8395176252319109,42,83,15,24
32,4,37,12,val_loss,0.6967996954917908,0.6967996954917908,139,25,19,,,0.6570201145990258,0.6158536585365854,0.5252009894867038,0.8,0.06060606060606061,0.9897959183673469,0.11267605633802817,0.43376993478380005,0.6314162028447743,4,97,1,62
33,4,71,46,val_loss,0.5603435039520264,0.5603435039520264,139,25,19,,,0.3875834500680709,0.823170731707317,0.8223562152133581,0.7605633802816901,0.8181818181818182,0.826530612244898,0.7883211678832117,0.8182443535751137,0.8991960420531849,54,81,17,12
34,4,47,22,val_loss,0.647214949131012,0.647214949131012,140,25,18,,,0.6156449187735363,0.6545454545454545,0.5782828282828283,0.7647058823529411,0.19696969696969696,0.9595959595959596,0.3132530120481928,0.541241890639481,0.7268135904499541,13,95,4,53
35,4,46,21,val_loss,0.64066481590271,0.64066481590271,140,25,18,,,0.5864900641148469,0.6666666666666666,0.6202406335668595,0.6578947368421053,0.373134328358209,0.8673469387755102,0.47619047619047616,0.6158730158730159,0.7666768199817241,25,85,13,42
36,4,48,23,val_loss,0.5817127823829651,0.5817127823829651,140,25,18,,,0.5687256723530573,0.703030303030303,0.6815412732257082,0.6551724137931034,0.5671641791044776,0.7959183673469388,0.608,0.6844878048780487,0.767590618336887,38,78,20,29
37,4,41,16,val_loss,0.6466636657714844,0.6466636657714844,140,25,18,,,0.6226065951372878,0.6727272727272727,0.6088181541273225,0.782608695652174,0.26865671641791045,0.9489795918367347,0.4,0.5875,0.7185501066098081,18,93,5,49
38,4,56,31,val_loss,0.6247206926345825,0.6247206926345825,140,25,18,,,0.5236437667124879,0.7212121212121212,0.6874048126713372,0.723404255319149,0.5074626865671642,0.8673469387755102,0.5964912280701754,0.6917641325536062,0.8117575388364301,34,85,13,33
39,4,43,18,val_loss,0.6368316411972046,0.6368316411972046,140,25,18,,,0.6032764144754601,0.6848484848484848,0.6284648187633263,0.7586206896551724,0.3283582089552239,0.9285714285714286,0.4583333333333333,0.6180555555555556,0.7639354249162351,22,91,7,45
40,4,27,2,val_loss,0.690147340297699,0.690147340297699,140,25,18,,,0.6818920607301855,0.5878787878787879,0.49489795918367346,0.0,0.0,0.9897959183673469,0.0,0.3702290076335878,0.4541577825159915,0,97,1,67
41,5,48,23,val_loss,0.6635280847549438,0.6635280847549438,139,25,19,,,0.5994371775081139,0.6890243902439024,0.6457946815089672,0.6829268292682927,0.42424242424242425,0.8673469387755102,0.5233644859813084,0.6462976276060388,0.7441249226963513,28,85,13,38
42,5,53,28,val_loss,0.6384806036949158,0.6384806036949158,139,25,19,,,0.5261399932335344,0.7439024390243902,0.7139764996907854,0.74,0.5606060606060606,0.8673469387755102,0.6379310344827587,0.7199089134677945,0.8106060606060606,37,85,13,29
43,5,38,13,val_loss,0.692801296710968,0.692801296710968,139,25,19,,,0.6473350206218786,0.6158536585365854,0.5449907235621522,0.5714285714285714,0.18181818181818182,0.9081632653061225,0.27586206896551724,0.5072256402918873,0.6774891774891775,12,89,9,54
44,5,43,18,val_loss,0.6607351899147034,0.6607351899147034,140,25,18,,,0.6077215247040382,0.6606060606060606,0.5909090909090909,0.7272727272727273,0.24242424242424243,0.9393939393939394,0.36363636363636365,0.5661157024793388,0.7358432812978267,16,93,6,50
45,5,49,24,val_loss,0.5929819345474243,0.5929819345474243,140,25,18,,,0.5284757564069981,0.7636363636363637,0.7443649101431618,0.7413793103448276,0.6417910447761194,0.8469387755102041,0.688,0.7488780487804878,0.8070362473347548,43,83,15,24
46,5,38,13,val_loss,0.6718001365661621,0.6718001365661621,140,25,18,,,0.642458747532971,0.6,0.5121839780688394,0.6,0.04477611940298507,0.9795918367346939,0.08333333333333333,0.41375968992248063,0.7042339323789217,3,96,2,64
47,5,44,19,val_loss,0.6345612406730652,0.6345612406730652,140,25,18,,,0.5896557650384195,0.696969696969697,0.6528327749010052,0.717948717948718,0.417910447761194,0.8877551020408163,0.5283018867924528,0.6525438005390836,0.7747487054523302,28,87,11,39
48,5,72,47,val_loss,0.528664231300354,0.528664231300354,140,25,18,,,0.4521174688134369,0.7636363636363637,0.7538074931465124,0.7121212121212122,0.7014925373134329,0.8061224489795918,0.706766917293233,0.7543986870730124,0.872829728906488,47,79,19,20
49,5,56,31,val_loss,0.6682696342468262,0.6682696342468262,140,25,18,,,0.5696502812172518,0.6909090909090909,0.6406487968321657,0.7352941176470589,0.373134328358209,0.9081632653061225,0.49504950495049505,0.6361710406848545,0.7841912884556808,25,89,9,42
