fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,26,1,val_loss,0.6633093357086182,0.6633093357086182,139,25,19,0.8373493975903614,1.2410714285714286,0.6720095727097456,0.6280487804878049,0.547773654916512,0.6923076923076923,0.13636363636363635,0.9591836734693877,0.22784810126582278,0.49143409079355393,0.6120902906617193,9,94,4,57
2,1,57,32,val_loss,0.5301505923271179,0.5301505923271179,139,25,19,0.8373493975903614,1.2410714285714286,0.5399454276397488,0.7439024390243902,0.7337662337662337,0.6818181818181818,0.6818181818181818,0.7857142857142857,0.6818181818181818,0.7337662337662337,0.805813234384663,45,77,21,21
3,1,30,5,val_loss,0.6768490672111511,0.6768490672111511,139,25,19,0.8373493975903614,1.2410714285714286,0.679511995127187,0.6036585365853658,0.5743661100803958,0.509090909090909,0.42424242424242425,0.7244897959183674,0.4628099173553719,0.5744001277598116,0.6329622758194187,28,71,27,38
4,1,31,6,val_loss,0.7006483674049377,0.7006483674049377,140,25,18,0.8333333333333334,1.25,0.6694480617516241,0.6303030303030303,0.5757575757575758,0.5714285714285714,0.30303030303030304,0.8484848484848485,0.39603960396039606,0.5648320290544339,0.6267217630853994,20,84,15,46
5,1,48,23,val_loss,0.6359062790870667,0.6359062790870667,140,25,18,0.8433734939759037,1.2280701754385965,0.5904256502833288,0.7151515151515152,0.7011879378617119,0.65625,0.6268656716417911,0.7755102040816326,0.6412213740458015,0.7025202347615942,0.7529698446542795,42,76,22,25
6,1,59,34,val_loss,0.5033766031265259,0.5033766031265259,140,25,18,0.8433734939759037,1.2280701754385965,0.46338348791896056,0.7878787878787878,0.7860188851660067,0.7222222222222222,0.7761194029850746,0.7959183673469388,0.7482014388489209,0.7824776827752458,0.8679561376789522,52,78,20,15
7,1,26,1,val_loss,0.6884413361549377,0.6884413361549377,140,25,18,0.8433734939759037,1.2280701754385965,0.6764257273253617,0.6121212121212121,0.5507158087115444,0.5555555555555556,0.22388059701492538,0.8775510204081632,0.3191489361702128,0.5239812477461233,0.5992994212610416,15,86,12,52
8,1,45,20,val_loss,0.6704654097557068,0.6704654097557068,140,25,18,0.8433734939759037,1.2280701754385965,0.6181140792204813,0.6363636363636364,0.6443039902528176,0.5411764705882353,0.6865671641791045,0.6020408163265306,0.6052631578947368,0.6340922531046718,0.7375875723423697,46,59,39,21
9,1,55,30,val_loss,0.5813424587249756,0.5813424587249756,140,25,18,0.8433734939759037,1.2280701754385965,0.5528778132595075,0.7333333333333333,0.7235759975632043,0.6716417910447762,0.6716417910447762,0.7755102040816326,0.6716417910447762,0.7235759975632043,0.793481571733171,45,76,22,22
10,1,49,24,val_loss,0.6311827898025513,0.6311827898025513,140,25,18,0.8433734939759037,1.2280701754385965,0.5825389000215315,0.7151515151515152,0.7011879378617119,0.65625,0.6268656716417911,0.7755102040816326,0.6412213740458015,0.7025202347615942,0.7924154736521474,42,76,22,25
11,2,52,27,val_loss,0.656829297542572,0.656829297542572,139,25,19,0.8373493975903614,1.2410714285714286,0.584982043387052,0.725609756097561,0.706091527520099,0.6779661016949152,0.6060606060606061,0.8061224489795918,0.64,0.7091625615763547,0.7571119356833642,40,79,19,26
12,2,49,24,val_loss,0.676456093788147,0.676456093788147,139,25,19,0.8373493975903614,1.2410714285714286,0.605661596432637,0.7073170731707317,0.6734693877551021,0.6875,0.5,0.8469387755102041,0.5789473684210527,0.6773241515002459,0.7687074829931972,33,83,15,33
13,2,53,28,val_loss,0.636176347732544,0.636176347732544,139,25,19,0.8373493975903614,1.2410714285714286,0.5677457365058955,0.6890243902439024,0.6829004329004329,0.6056338028169014,0.6515151515151515,0.7142857142857143,0.6277372262773723,0.6803607597355448,0.7722634508348794,43,70,28,23
