fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.520505428314209,1.520505428314209,139,25,19,0.8373493975903614,1.2410714285714286,0.6221200481224513,0.676829268292683,0.7147495361781075,0.5607476635514018,0.9090909090909091,0.5204081632653061,0.6936416184971098,0.675853067313071,0.8070500927643786,60,51,47,6
2,1,300,300,val_loss,1.5916577577590942,1.5916577577590942,139,25,19,0.8373493975903614,1.2410714285714286,0.658582923301604,0.6707317073170732,0.6552257266542981,0.59375,0.5757575757575758,0.7346938775510204,0.5846153846153846,0.6559440559440559,0.7014533085961657,38,72,26,28
3,1,300,300,val_loss,1.5450688600540161,1.5450688600540161,139,25,19,0.8373493975903614,1.2410714285714286,0.6486200575450118,0.7012195121951219,0.6510513296227582,0.7428571428571429,0.3939393939393939,0.9081632653061225,0.5148514851485149,0.6494962271557552,0.7288188002473718,26,89,9,40
4,1,300,300,val_loss,1.477515697479248,1.477515697479248,140,25,18,0.8333333333333334,1.25,0.6465030322479904,0.6545454545454545,0.6212121212121212,0.5882352941176471,0.45454545454545453,0.7878787878787878,0.5128205128205128,0.6226074395088479,0.6882460973370064,30,78,21,36
5,1,300,300,val_loss,1.4472191333770752,1.4472191333770752,140,25,18,0.8433734939759037,1.2280701754385965,0.629684102333825,0.6787878787878788,0.654051172707889,0.625,0.5223880597014925,0.7857142857142857,0.5691056910569106,0.6565335218569577,0.7173317088029242,35,77,21,32
6,1,300,300,val_loss,1.5283172130584717,1.5283172130584717,140,25,18,0.8433734939759037,1.2280701754385965,0.647925383033826,0.6303030303030303,0.6155954919281146,0.5454545454545454,0.5373134328358209,0.6938775510204082,0.5413533834586466,0.6158543567039425,0.6868717636308254,36,68,30,31
7,1,300,300,val_loss,1.794510841369629,1.794510841369629,140,25,18,0.8433734939759037,1.2280701754385965,0.6368198795831461,0.6242424242424243,0.6388212001218397,0.5274725274725275,0.7164179104477612,0.5612244897959183,0.6075949367088608,0.6235649102148955,0.7037770332013402,48,55,43,19
8,1,300,300,val_loss,1.552545428276062,1.552545428276062,140,25,18,0.8433734939759037,1.2280701754385965,0.6472643183216195,0.6363636363636364,0.6466646360036552,0.5402298850574713,0.7014925373134329,0.5918367346938775,0.6103896103896104,0.6347402597402597,0.6973804447151996,47,58,40,20
9,1,300,300,val_loss,1.5222927331924438,1.5222927331924438,140,25,18,0.8433734939759037,1.2280701754385965,0.6138193770298535,0.6727272727272727,0.6418671946390496,0.6274509803921569,0.47761194029850745,0.8061224489795918,0.5423728813559322,0.6438279501119284,0.7496192506853487,32,79,19,35
10,1,300,300,val_loss,1.492639422416687,1.492639422416687,140,25,18,0.8433734939759037,1.2280701754385965,0.6506042657125806,0.6666666666666666,0.658010965580262,0.5857142857142857,0.6119402985074627,0.7040816326530612,0.5985401459854015,0.6567830263605764,0.7625647273834907,41,69,29,26
11,2,300,300,val_loss,1.5025339126586914,1.5025339126586914,139,25,19,0.8373493975903614,1.2410714285714286,0.6729531022457286,0.5853658536585366,0.6159554730983302,0.49038461538461536,0.7727272727272727,0.45918367346938777,0.6,0.5848101265822785,0.6762523191094619,51,45,53,15
12,2,300,300,val_loss,1.6530406475067139,1.6530406475067139,139,25,19,0.8373493975903614,1.2410714285714286,0.6662175900653783,0.6524390243902439,0.6597093382807668,0.5542168674698795,0.696969696969697,0.6224489795918368,0.6174496644295302,0.649506955119793,0.6977427334570192,46,61,37,20
13,2,300,300,val_loss,1.5309791564941406,1.5309791564941406,139,25,19,0.8373493975903614,1.2410714285714286,0.6206717815289734,0.6951219512195121,0.6855287569573284,0.6176470588235294,0.6363636363636364,0.7346938775510204,0.6268656716417911,0.6845668564394523,0.7390228818800249,42,72,26,24
14,2,300,300,val_loss,1.4706393480300903,1.4706393480300903,140,25,18,0.8333333333333334,1.25,0.6258193215479361,0.6606060606060606,0.6388888888888888,0.5833333333333334,0.5303030303030303,0.7474747474747475,0.5555555555555556,0.6405228758169934,0.7231404958677686,35,74,25,31
15,2,300,300,val_loss,1.5207316875457764,1.5207316875457764,140,25,18,0.8433734939759037,1.2280701754385965,0.6631070653086895,0.6545454545454545,0.6430855924459336,0.5735294117647058,0.582089552238806,0.7040816326530612,0.5777777777777777,0.6427350427350427,0.6915930551325008,39,69,29,28
16,2,300,300,val_loss,1.6464914083480835,1.6464914083480835,140,25,18,0.8433734939759037,1.2280701754385965,0.6284863275257867,0.6666666666666666,0.7028632348461773,0.5555555555555556,0.8955223880597015,0.5102040816326531,0.6857142857142857,0.6654377880184332,0.7791653975022845,60,50,48,7
17,2,300,300,val_loss,1.6234328746795654,1.6234328746795654,140,25,18,0.8433734939759037,1.2280701754385965,0.6526938779174408,0.6545454545454545,0.6902985074626866,0.5462962962962963,0.8805970149253731,0.5,0.6742857142857143,0.6532718894009216,0.7841912884556808,59,49,49,8
18,2,300,300,val_loss,1.344041347503662,1.344041347503662,140,25,18,0.8433734939759037,1.2280701754385965,0.6433471635435379,0.6727272727272727,0.639506548888212,0.6326530612244898,0.4626865671641791,0.8163265306122449,0.5344827586206896,0.6410731550112794,0.708650624428876,31,80,18,36
19,2,300,300,val_loss,1.5063443183898926,1.5063443183898926,140,25,18,0.8433734939759037,1.2280701754385965,0.6285606103140104,0.6545454545454545,0.6784952787084984,0.5510204081632653,0.8059701492537313,0.5510204081632653,0.6545454545454545,0.6545454545454545,0.7677429180627475,54,54,44,13
20,2,300,300,val_loss,1.3273602724075317,1.3273602724075317,140,25,18,0.8433734939759037,1.2280701754385965,0.6500431508151832,0.6727272727272727,0.679637526652452,0.5783132530120482,0.7164179104477612,0.6428571428571429,0.64,0.6699999999999999,0.7557112397197684,48,63,35,19
21,3,300,297,val_loss,1.6934138536453247,1.6934138536453247,139,25,19,0.8373493975903614,1.2410714285714286,0.646899154916216,0.6707317073170732,0.6700680272108843,0.5789473684210527,0.6666666666666666,0.673469387755102,0.6197183098591549,0.6646978646069968,0.7226345083487941,44,66,32,22
22,3,300,300,val_loss,1.381688117980957,1.381688117980957,139,25,19,0.8373493975903614,1.2410714285714286,0.6695942584670825,0.573170731707317,0.6008039579468151,0.4803921568627451,0.7424242424242424,0.45918367346938777,0.5833333333333334,0.5729166666666667,0.70856524427953,49,45,53,17
23,3,300,300,val_loss,1.6131900548934937,1.6131900548934937,139,25,19,0.8373493975903614,1.2410714285714286,0.6494594451551349,0.6341463414634146,0.6493506493506493,0.5333333333333333,0.7272727272727273,0.5714285714285714,0.6153846153846154,0.6332737030411449,0.6863017934446506,48,56,42,18
24,3,300,300,val_loss,1.7510955333709717,1.7510955333709717,140,25,18,0.8333333333333334,1.25,0.6938852588376604,0.5272727272727272,0.595959595959596,0.45588235294117646,0.9393939393939394,0.25252525252525254,0.6138613861386139,0.502243193069307,0.667584940312213,62,25,74,4
25,3,300,300,val_loss,1.5898878574371338,1.5898878574371338,140,25,18,0.8433734939759037,1.2280701754385965,0.6510914514562319,0.6181818181818182,0.6101127017971367,0.5277777777777778,0.5671641791044776,0.6530612244897959,0.5467625899280576,0.6084598289954424,0.664179104477612,38,64,34,29
