fold,repeat,n_epochs,best_epoch,early_stopping_monitor,best_monitor_value,restored_monitor_value,n_fit,n_inner_val,n_outer_val,class_weight_0,class_weight_1,loss,accuracy,balanced_accuracy,precision,recall,specificity,f1,f1_macro,auc,true_positives,true_negatives,false_positives,false_negatives
1,1,300,300,val_loss,1.489526391029358,1.489526391029358,135,24,18,,,0.6392346197658675,0.6855345911949685,0.6849477682811016,0.6823529411764706,0.7160493827160493,0.6538461538461539,0.6987951807228916,0.6849239061509195,0.737258626147515,58,51,27,23
2,1,300,300,val_loss,1.6666364669799805,1.6666364669799805,135,24,18,,,0.6411483203033331,0.6289308176100629,0.6317663817663818,0.6964285714285714,0.48148148148148145,0.782051282051282,0.5693430656934306,0.6216881074323507,0.7223805001582778,39,61,17,42
3,1,300,300,val_loss,1.5236471891403198,1.5236471891403198,135,24,18,,,0.6323104040723163,0.6855345911949685,0.6875593542260209,0.746031746031746,0.5802469135802469,0.7948717948717948,0.6527777777777778,0.6827107279693487,0.7193732193732193,47,62,16,34
4,1,300,299,val_loss,1.4605873823165894,1.4605873823165894,135,24,18,,,0.5944234688971217,0.7044025157232704,0.7086894586894587,0.8863636363636364,0.48148148148148145,0.9358974358974359,0.624,0.690238341968912,0.802469135802469,39,73,5,42
5,1,300,300,val_loss,1.5113590955734253,1.5113590955734253,135,24,18,,,0.5848032587268523,0.7169811320754716,0.7169990503323836,0.725,0.7160493827160493,0.717948717948718,0.7204968944099379,0.7169363452941409,0.8076923076923076,58,56,22,23
6,1,300,300,val_loss,1.5599764585494995,1.5599764585494995,135,24,18,,,0.5854740590229519,0.7169811320754716,0.7181861348528016,0.7571428571428571,0.654320987654321,0.782051282051282,0.7019867549668874,0.716262838561288,0.8023108578664133,53,61,17,28
7,1,300,300,val_loss,1.73578679561615,1.73578679561615,135,24,18,,,0.6139703206656668,0.6666666666666666,0.6623931623931624,0.6206896551724138,0.8888888888888888,0.4358974358974359,0.7309644670050761,0.6464739690397281,0.7380500158277936,72,34,44,9
8,1,300,300,val_loss,1.4684510231018066,1.4684510231018066,136,24,17,,,0.6253024160942778,0.70625,0.7047194874199094,0.67,0.8271604938271605,0.5822784810126582,0.7403314917127072,0.7011009976549147,0.7568370057821535,67,46,33,14
9,1,300,300,val_loss,1.6755423545837402,1.6755423545837402,136,24,17,,,0.643543996723493,0.7,0.7001093920925144,0.7088607594936709,0.691358024691358,0.7088607594936709,0.7,0.7,0.723863103609939,56,56,23,25
10,1,300,300,val_loss,1.5135892629623413,1.5135892629623413,136,24,17,,,0.6241499466874922,0.6875,0.6879199874980466,0.7066666666666667,0.654320987654321,0.7215189873417721,0.6794871794871795,0.6873045653533458,0.7590248476324426,53,57,22,28
11,2,300,300,val_loss,1.5896645784378052,1.5896645784378052,135,24,18,,,0.6302146552159569,0.6855345911949685,0.6835232668566001,0.6597938144329897,0.7901234567901234,0.5769230769230769,0.7191011235955056,0.6809791332263242,0.7659069325735992,64,45,33,17
12,2,300,300,val_loss,1.7180029153823853,1.7180029153823853,135,24,18,,,0.5949030263518372,0.7169811320754716,0.7158119658119658,0.7,0.7777777777777778,0.6538461538461539,0.7368421052631579,0.715359828141783,0.7673314339981007,63,51,27,18
13,2,300,300,val_loss,1.6550105810165405,1.6550105810165405,135,24,18,,,0.5855805960789647,0.710691823899371,0.7127255460588794,0.7777777777777778,0.6049382716049383,0.8205128205128205,0.6805555555555556,0.7080938697318008,0.7806267806267806,49,64,14,32
14,2,300,300,val_loss,1.5226119756698608,1.5226119756698608,135,24,18,,,0.6404198654508432,0.6540880503144654,0.6581196581196581,0.782608695652174,0.4444444444444444,0.8717948717948718,0.5669291338582677,0.6394855093375108,0.7540360873694206,36,68,10,45
15,2,300,300,val_loss,1.4777387380599976,1.4777387380599976,135,24,18,,,0.6024538163672413,0.7358490566037735,0.7369420702754036,0.7746478873239436,0.6790123456790124,0.7948717948717948,0.7236842105263158,0.7353360811667724,0.7939221272554605,55,62,16,26
